match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_outfielderBlock,stat_challengeLost,stat_blockedScoringAttempt,stat_fouls,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_goalAssist,stat_goodHighClaim,stat_punches,player_sofascoreId
11368739,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,True,25.0,14.0,20.0,9.0,5.0,6.0,9.0,19.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,90.0,29.0,6.4,11.0,0.0106026,0,-1.1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368739,home,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,D,20,20,False,,49.0,37.0,7.0,3.0,10.0,12.0,28.0,44.0,4.0,5.0,6.0,,,,,86.0,74.0,6.7,24.0,0.120423,2,,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.1259,1.0,,,,,,,,,,,,,,,,,,,,,,
11368739,home,Cádiz,Jorge Meré,jorge-mere,J. Meré,D,3,182,166,M,355046,EUR,861235200,D,22,22,False,,59.0,45.0,16.0,8.0,23.0,25.0,22.0,34.0,2.0,2.0,7.0,,,,,90.0,66.0,6.9,14.0,0.0149451,0,,,,1.0,5.0,,,,,,,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,
11368739,home,Cádiz,Víctor Chust,victor-chust,V. Chust,D,23,182,605,M,855831,EUR,952214400,D,5,5,False,,75.0,61.0,14.0,5.0,39.0,43.0,22.0,32.0,3.0,3.0,4.0,,,,,90.0,85.0,6.8,15.0,0.0103603,0,,,,1.0,3.0,,,,,,1.0,,,3.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,
11368739,home,Cádiz,Javier Hernández,javier-hernandez,J. Hernández,D,26,181,457,M,1031658,EUR,894067200,D,15,15,False,,69.0,52.0,7.0,3.0,28.0,37.0,27.0,40.0,2.0,7.0,8.0,,,,,90.0,100.0,6.7,25.0,0.335071,2,,8.0,3.0,3.0,6.0,2.0,,,,0.0262,2.0,1.0,1.0,,,2.0,1.0,,,,1.0,2.0,2.0,,,,,,,,,,
11368739,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,M,7,7,False,,22.0,20.0,1.0,1.0,6.0,6.0,14.0,18.0,3.0,6.0,4.0,,,,,65.0,40.0,7.2,6.0,0.0125864,1,,2.0,,3.0,11.0,,1.0,2.0,3.0,0.2253,,1.0,1.0,,1.0,4.0,2.0,,,,,,4.0,,,,,,,,,,
11368739,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,,63.0,47.0,15.0,7.0,23.0,26.0,24.0,40.0,3.0,4.0,11.0,,,,,90.0,85.0,7.5,21.0,0.0288639,6,,3.0,,6.0,9.0,1.0,3.0,,1.0,0.2961,,,,,2.0,2.0,1.0,,,,,1.0,,2.0,0.4709,,,,,,,,
11368739,home,Cádiz,Gonzalo Escalante,gonzalo-escalante,G. Escalante,M,8,182,258,M,316170,EUR,733190400,M,17,17,False,,42.0,30.0,4.0,,18.0,21.0,12.0,22.0,2.0,4.0,4.0,,,,,65.0,51.0,6.3,14.0,0.0042969,0,,1.0,,1.0,1.0,,,1.0,,,,,,2.0,,,,,,1.0,,,2.0,,,,,,,,,,
11368739,home,Cádiz,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,27,27,False,,32.0,26.0,3.0,1.0,6.0,6.0,21.0,34.0,3.0,8.0,8.0,,,,,87.0,62.0,6.6,25.0,0.0257101,1,,8.0,1.0,1.0,7.0,2.0,,7.0,3.0,0.0655,,4.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,,,,,,
11368739,home,Cádiz,Juanmi,juanmi,Juanmi,F,7,169,648,M,96369,EUR,737856000,F,9,9,False,,33.0,31.0,1.0,1.0,12.0,13.0,19.0,20.0,4.0,10.0,4.0,,,,,90.0,56.0,7.3,11.0,0.0298078,4,,,,1.0,6.0,1.0,2.0,5.0,3.0,1.0052,1.0,4.0,1.0,,1.0,1.0,1.0,,,,,,2.0,2.0,1.0279,1.0,1.0,2.0,,,,,
