match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_wonTackle,stat_aerialLost,stat_wasFouled,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_accurateCross,stat_totalOffside,stat_bigChanceCreated,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed
12117234,home,Grêmio,Agustín Marchesín,agustin-marchesin,A. Marchesín,G,1,188.0,1568,M,47339,EUR,574473600,G,1,1,False,27.0,17.0,13.0,4.0,0.0,15.0,17.0,2.0,10.0,8.0,3.0,6.0,90.0,38.0,7.4,10.0,0.00037696,0,0.3745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117234,home,Grêmio,João Pedro,joao-pedro,J. Pedro,D,18,179.0,1116,M,605528,EUR,848016000,D,18,18,False,47.0,41.0,4.0,1.0,1.0,20.0,21.0,21.0,27.0,3.0,,,90.0,64.0,6.7,10.0,0.0184058,2,,1.0,1.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0325,1.0,,,,,,,,,,,,,,,,,,,,,,
12117234,home,Grêmio,Gustavo Martins,gustavo-martins,G. Martins,D,53,191.0,1207,M,1105796,EUR,1029024000,D,53,53,False,50.0,43.0,7.0,3.0,0.0,33.0,35.0,10.0,15.0,4.0,,,90.0,60.0,6.8,8.0,0.00860579,0,,,,2.0,3.0,,,,,,,3.0,1.0,1.0,,,Gustavo Martins,,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,
12117234,home,Grêmio,Walter Kannemann,walter-kannemann,W. Kannemann,D,4,183.0,2119,M,249647,EUR,668908800,D,4,4,False,29.0,26.0,7.0,4.0,0.0,14.0,16.0,12.0,13.0,1.0,,,90.0,47.0,7.3,3.0,0.00550742,1,,,3.0,2.0,7.0,,,1.0,,,1.0,2.0,,,0.0707,,,,1.0,8.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,
12117234,home,Grêmio,Reinaldo,reinaldo,Reinaldo,D,6,178.0,2574,M,243109,EUR,622944000,D,6,6,False,31.0,19.0,4.0,,0.0,12.0,16.0,7.0,20.0,4.0,,,87.0,59.0,6.9,21.0,0.135175,0,,5.0,1.0,4.0,5.0,1.0,,,,,1.0,3.0,2.0,,,4.0,,,,5.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,
12117234,home,Grêmio,Dodi,dodi,Dodi,M,17,169.0,1040,M,870804,EUR,829699200,M,17,17,False,32.0,29.0,,,0.0,16.0,17.0,13.0,15.0,4.0,,,90.0,45.0,6.8,5.0,0.00460804,0,,,1.0,8.0,8.0,1.0,1.0,,,,,6.0,1.0,,,,,,4.0,2.0,1.0,4.0,3.0,,1.0,,,,,,,,,,,,,
12117234,home,Grêmio,Mathias Villasanti,mathias-villasanti,M. Villasanti,M,20,178.0,2843,M,1139775,EUR,854064000,M,20,20,False,49.0,43.0,2.0,1.0,0.0,22.0,25.0,21.0,24.0,5.0,,,90.0,68.0,6.6,13.0,0.039602,1,,,1.0,9.0,8.0,2.0,1.0,,1.0,,,4.0,2.0,1.0,0.0731,1.0,,,3.0,2.0,,2.0,1.0,2.0,3.0,True,,,,,,,,,,,,
12117234,home,Grêmio,Franco Cristaldo,franco-cristaldo,F. Cristaldo,M,10,175.0,2295,M,558820,EUR,840067200,M,10,10,False,23.0,20.0,3.0,3.0,0.0,7.0,8.0,13.0,17.0,1.0,,,74.0,34.0,7.5,6.0,0.00962297,2,,2.0,,3.0,2.0,,,,1.0,,1.0,2.0,,,0.0701,,,,1.0,,,2.0,1.0,,1.0,,1.0,1.0,0.315,,,,,,,,,
12117234,home,Grêmio,Miguel Monsalve,miguel-monsalve,M. Monsalve,M,11,177.0,2381,M,1066620,EUR,1077840000,M,11,11,False,25.0,19.0,,,0.0,10.0,14.0,9.0,12.0,3.0,,,87.0,40.0,7.0,11.0,0.0254469,1,,1.0,1.0,3.0,8.0,4.0,3.0,1.0,,,,1.0,2.0,2.0,0.1067,,Miguel Monsalve,,,1.0,,1.0,,3.0,1.0,,,,,,,,,,,,,
12117234,home,Grêmio,Yeferson Soteldo,yeferson-soteldo,Y. Soteldo,M,7,160.0,11184,M,789960,EUR,867628800,M,7,7,False,24.0,20.0,2.0,2.0,0.0,8.0,9.0,13.0,19.0,2.0,,,88.0,52.0,7.1,17.0,0.0552511,1,,4.0,,11.0,10.0,12.0,8.0,,1.0,,1.0,,1.0,,0.0546,2.0,,,1.0,,,,1.0,2.0,5.0,,,,,yefersonsoteldo1006,1.0,,,,,,,
