match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialWon,stat_goalAssist,stat_wasFouled,stat_fouls,stat_totalOffside,captain,stat_totalCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_accurateCross,stat_goals,stat_bigChanceCreated,stat_lastManTackle,stat_bigChanceMissed
11352251,home,Arsenal,Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8533,M,ARamsdale,839410,EUR,895104000,G,1,1,False,25.0,19.0,9.0,3.0,18.0,19.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,90.0,32.0,6.6,6.0,0.0,0.0,0.00016353,0,-0.0518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352251,home,Arsenal,Thomas Partey,,,thomas-partey,T. Partey,M,16,185,42575,M,TPartey5,316148,EUR,739929600,D,5,5,False,102.0,96.0,4.0,2.0,39.0,40.0,57.0,62.0,,9.0,,,,90.0,116.0,7.5,8.0,0.0,0.0,0.0587978,0,,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
11352251,home,Arsenal,Ben White,,,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,103.0,92.0,5.0,1.0,49.0,53.0,43.0,50.0,,3.0,,,,90.0,111.0,6.7,14.0,0.0,0.0,0.0264848,0,,1.0,2.0,1.0,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
11352251,home,Arsenal,William Saliba,,,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,2,2,False,130.0,127.0,2.0,2.0,70.0,71.0,57.0,59.0,1.0,5.0,,,,90.0,133.0,7.2,3.0,0.0,0.0,0.0311995,0,,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11352251,home,Arsenal,Jurriën Timber,,,jurrien-timber,J. Timber,D,12,179,21624,M,jurrientimber,958959,EUR,992736000,D,12,12,False,45.0,40.0,,,11.0,13.0,29.0,32.0,1.0,2.0,,,,50.0,51.0,6.7,5.0,0.0,0.0,0.0114566,0,,,2.0,2.0,,,,,,,1.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,
11352251,home,Arsenal,Martin Ødegaard,,,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,63.0,53.0,,,17.0,17.0,36.0,49.0,1.0,7.0,,,,90.0,83.0,7.3,17.0,0.1132,0.0,0.0864618,3,,,3.0,5.0,2.0,1.0,,,,,3.0,1.0,1.0,,,2.0,,,True,3.0,1.0,2.0,2.0,,,,,,,
11352251,home,Arsenal,Declan Rice,,,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,91.0,84.0,4.0,2.0,48.0,50.0,36.0,41.0,,5.0,,,,90.0,104.0,7.5,11.0,0.2459,1.1433,0.0252319,3,,4.0,8.0,6.0,1.0,,1.0,,,1.0,4.0,4.0,,1.0,,1.0,2.0,,,,,,3.0,3.0,1.0,,,,,
11352251,home,Arsenal,Kai Havertz,,,kai-havertz,K. Havertz,F,29,193,67778,M,KaiHav,836705,EUR,929059200,M,29,29,False,53.0,47.0,2.0,2.0,17.0,17.0,30.0,36.0,1.0,2.0,,,,90.0,69.0,7.2,10.0,0.052,0.0,0.237934,2,,4.0,8.0,8.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,3.0,,4.0,2.0,,,,,2.0,1.0,,,,,,,
11352251,home,Arsenal,Bukayo Saka,,,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,57.0,47.0,2.0,2.0,6.0,8.0,42.0,58.0,,,,,,90.0,83.0,8.2,21.0,0.1864,0.6567,0.17376,3,,1.0,7.0,6.0,2.0,1.0,1.0,,,,5.0,4.0,3.0,,,1.0,2.0,,,9.0,,1.0,1.0,2.0,,1.0,1.0,,,
11352251,home,Arsenal,Edward Nketiah,,,edward-nketiah,E. Nketiah,F,9,175,6443,M,EN9,858194,EUR,928022400,F,14,14,False,15.0,15.0,,,5.0,5.0,10.0,10.0,,1.0,,,,73.0,28.0,7.5,4.0,0.2072,0.0241,0.00556567,3,,,3.0,4.0,,1.0,2.0,,,,1.0,1.0,,2.0,,1.0,,1.0,,,2.0,,1.0,1.0,,,1.0,,,
