match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,player_firstName,player_lastName,stat_aerialWon,stat_challengeLost,stat_wonTackle,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalCross,stat_keyPass,player_sofascoreId,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_goalAssist
10411433,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,18.0,15.0,9.0,6.0,15.0,16.0,2.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,90.0,27.0,6.0,3.0,0.0,0.0,0.00012851,0,-0.1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411433,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1131,M,267619,EUR,719280000,D,77,77,False,48.0,41.0,5.0,2.0,22.0,22.0,26.0,4.0,7.0,,2.0,,,,81.0,63.0,6.7,8.0,0.0,0.0,0.0110811,0,,19.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411433,home,Lazio,Patric,patric,Patric,D,4,184,495,M,217784,EUR,735004800,D,4,4,False,50.0,48.0,7.0,6.0,41.0,43.0,7.0,4.0,6.0,,,,,,69.0,57.0,6.8,2.0,0.0,0.0,0.00156736,0,,7.0,4.0,5.0,1.0,1.0,2.0,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10411433,home,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185,1922,M,227864,EUR,789868800,D,13,13,False,54.0,49.0,6.0,3.0,37.0,40.0,14.0,4.0,6.0,,1.0,,,,90.0,63.0,6.6,5.0,0.0,0.0,0.00455393,0,,12.0,3.0,6.0,,,4.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10411433,home,Lazio,Elseid Hysaj,elseid-hysaj,E. Hysaj,D,23,182,1316,M,136322,EUR,760147200,D,23,23,False,62.0,57.0,6.0,5.0,30.0,32.0,31.0,1.0,1.0,,,,,,69.0,77.0,6.7,7.0,0.0,0.0,0.0341033,0,,27.0,1.0,2.0,,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
10411433,home,Lazio,Sergej Milinković-Savić,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13428,M,331447,EUR,793843200,M,21,21,False,36.0,29.0,2.0,2.0,15.0,15.0,21.0,5.0,4.0,,2.0,,,,90.0,60.0,6.7,14.0,0.1758,0.4494,0.0470984,3,,14.0,5.0,12.0,,,,2.0,,,1.0,,1.0,,,4.0,,,sms,True,4.0,2.0,1.0,2.0,,,,,,,,,,
10411433,home,Lazio,Matías Vecino,matias-vecino,M. Vecino,M,15,187,1431,M,158615,EUR,682992000,M,5,5,False,27.0,26.0,,,19.0,19.0,8.0,,2.0,,,,,,54.0,28.0,6.2,1.0,0.0,0.0,0.00403264,0,,7.0,,4.0,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,
10411433,home,Lazio,Luis Alberto,luis-alberto,L. Alberto,M,32,182,1864,M,111416,EUR,717638400,M,10,10,False,89.0,77.0,4.0,2.0,35.0,36.0,56.0,1.0,5.0,,1.0,,,,90.0,98.0,7.0,15.0,0.0345,0.2045,0.106318,2,,43.0,,,,,,,,,,,,,,,3.0,,,,,2.0,,1.0,1.0,,,,,,,,,
10411433,home,Lazio,Pedro,pedro,Pedro,F,9,167,5026,M,35428,EUR,554428800,F,9,9,False,17.0,16.0,,,9.0,9.0,9.0,2.0,1.0,,,,,,54.0,26.0,6.9,3.0,0.0,0.0,0.32366,0,,8.0,,1.0,2.0,2.0,,,,,,,,,,1.0,1.0,1.0,Pedro,,,,,1.0,1.0,1.0,,,,,,,,
10411433,home,Lazio,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175,6043,M,152276,EUR,734832000,F,7,7,False,52.0,38.0,1.0,,10.0,14.0,40.0,8.0,5.0,,1.0,,,,90.0,78.0,7.3,23.0,0.0,0.0,0.169211,0,,28.0,,4.0,4.0,2.0,,3.0,,,2.0,,2.0,,1.0,1.0,2.0,2.0,F_Andersoon,,1.0,,,4.0,,,,,,,,,,
