match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_ownGoals,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_interceptionWon,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_totalContest,stat_wonContest,stat_penaltyConceded,stat_totalOffside,captain,stat_dispossessed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_blockedScoringAttempt,stat_hitWoodwork,stat_penaltyWon
10407155,home,KV Mechelen,Yannick Thoelen,yannick-thoelen,Y. Thoelen,G,15,188.0,93,M,794571,EUR,648259200,G,15,15,False,24.0,18.0,10.0,4.0,17.0,19.0,1.0,5.0,1.0,3.0,1.0,1.0,90.0,29.0,5.5,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407155,home,KV Mechelen,Sandy Walsh,sandy-walsh,S. Walsh,D,14,185.0,7764,M,163199,EUR,795139200,D,5,5,False,41.0,29.0,6.0,1.0,22.0,24.0,8.0,22.0,1.0,5.0,,,90.0,57.0,7.0,18.0,1,,,sandywalsh,5.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10407155,home,KV Mechelen,Thibault Peyre,thibault-peyre,T. Peyre,D,23,182.0,18,M,252141,EUR,718070400,D,23,23,False,71.0,62.0,11.0,6.0,51.0,54.0,11.0,17.0,3.0,2.0,,,89.0,79.0,7.4,10.0,2,,,,,,5.0,2.0,5.0,,1.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
10407155,home,KV Mechelen,Dries Wouters,dries-wouters,D. Wouters,D,5,189.0,34,M,339269,EUR,854409600,D,4,4,False,91.0,84.0,12.0,8.0,74.0,76.0,10.0,15.0,2.0,4.0,,,86.0,100.0,7.2,7.0,0,,,,,,3.0,4.0,6.0,,,,1.0,1.0,,1.0,3.0,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
10407155,home,KV Mechelen,Alec Van Hoorenbeeck,alec-van-hoorenbeeck,A. V. Hoorenbeeck,D,18,187.0,118,M,974203,EUR,914976000,D,18,18,False,85.0,70.0,8.0,,41.0,44.0,29.0,41.0,1.0,5.0,,,90.0,100.0,6.1,18.0,0,,,,,,1.0,1.0,3.0,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,
10407155,home,KV Mechelen,Jordi Vanlerberghe,jordi-vanlerberghe,J. Vanlerberghe,D,30,189.0,143,M,284727,EUR,835833600,M,30,30,False,39.0,29.0,12.0,8.0,14.0,16.0,15.0,24.0,1.0,4.0,,,86.0,52.0,6.4,13.0,0,,,,1.0,,4.0,5.0,8.0,,,,1.0,1.0,2.0,,2.0,,1.0,,,,3.0,3.0,1.0,1.0,1.0,,,,,,,,,
10407155,home,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184.0,137,M,58917,EUR,688003200,M,7,7,False,49.0,44.0,6.0,5.0,17.0,18.0,29.0,41.0,1.0,1.0,,,90.0,74.0,8.1,17.0,1,,,,10.0,2.0,,1.0,3.0,1.0,1.0,,3.0,1.0,,4.0,,,,1.0,,,,,,,,1.0,,,,,,,,
10407155,home,KV Mechelen,Rob Schoofs,rob-schoofs,R. Schoofs,M,17,179.0,196,M,133164,EUR,764380800,M,16,16,False,65.0,52.0,6.0,2.0,19.0,22.0,33.0,44.0,,7.0,,,90.0,75.0,6.4,16.0,1,,,,1.0,,1.0,,4.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,2.0,1.0,,,,,True,,,,,,,
10407155,home,KV Mechelen,Alessio Da Cruz,alessio-da-cruz,A. D. Cruz,F,77,184.0,274,M,780206,EUR,853545600,F,22,22,False,47.0,42.0,2.0,2.0,16.0,18.0,27.0,33.0,2.0,2.0,,,90.0,61.0,7.0,9.0,0,,,,4.0,1.0,2.0,6.0,5.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,2.0,4.0,,,,,,1.0,,,,,,
10407155,home,KV Mechelen,Julien Ngoy,julien-ngoy,J. Ngoy,F,7,185.0,143,M,848680,EUR,878428800,F,9,9,False,5.0,4.0,,,,,4.0,5.0,,2.0,,,71.0,11.0,6.2,5.0,1,,,,,,,6.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,2.0,2.0,,,,,1.0,,,,,,
