match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_interceptionWon,captain,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches
12448260,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196,390,M,347726,EUR,770256000,G,1,1,False,17.0,17.0,5.0,5.0,0.0,14.0,14.0,3.0,3.0,7.0,90.0,21.0,5.8,0.00081112,0,-1.6957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448260,home,FC Utrecht,Niklas Vesterlund,,,niklas-vesterlund,N. B. V. Nielsen,D,23,185,77,M,837010,EUR,928627200,D,23,23,False,23.0,20.0,3.0,2.0,0.0,5.0,6.0,15.0,17.0,1.0,76.0,36.0,6.6,0.165871,1,,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.2175,1.0,,,,,,,,,,,,,,,,,,,
12448260,home,FC Utrecht,Mike van der Hoorn,,,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190,158,M,152414,EUR,719107200,D,3,3,False,29.0,24.0,8.0,5.0,0.0,5.0,5.0,19.0,24.0,2.0,90.0,41.0,6.6,0.029051,1,,5.0,4.0,5.0,,,,,1.0,7.0,,,,2.0,5.0,0.8246,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12448260,home,FC Utrecht,Nick Viergever,,,nick-viergever,N. Viergever,D,24,182,150,M,46900,EUR,618105600,D,24,24,False,52.0,47.0,1.0,,0.0,15.0,16.0,32.0,36.0,6.0,90.0,67.0,6.4,0.235933,0,,,2.0,3.0,1.0,1.0,,,,5.0,,3.0,2.0,,8.0,,1.0,,1.0,,True,2.0,,,,,,,,,,,,,,
12448260,home,FC Utrecht,Souffian El Karouani,,,souffian-el-karouani,S. El Karouani,D,16,178,3591,M,991679,EUR,971913600,D,16,16,False,49.0,48.0,2.0,1.0,0.0,11.0,12.0,44.0,65.0,3.0,90.0,103.0,7.9,1.00154,6,,1.0,2.0,7.0,,,,,1.0,1.0,,3.0,1.0,,27.0,0.1516,3.0,2.0,,,,1.0,28.0,7.0,1.0,1.0,4.0,3.0,0.0096,,,,,,,
12448260,home,FC Utrecht,Zidane Iqbal,,,zidane-iqbal,Z. Iqbal,M,14,180,7223,M,1014225,EUR,1051401600,M,14,14,False,71.0,65.0,6.0,3.0,0.0,10.0,10.0,55.0,61.0,7.0,90.0,78.0,7.4,0.56545,1,,,3.0,2.0,1.0,,1.0,,,,,2.0,2.0,1.0,9.0,0.0224,4.0,,,1.0,,2.0,,,,,1.0,,,zidaneiqbal,,,,,,
12448260,home,FC Utrecht,Paxten Aaronson,Paxten Aaronson,,paxten-aaronson,P. Aaronson,M,31,175,898,M,1035515,EUR,1061856000,M,21,21,False,31.0,25.0,1.0,,0.0,2.0,4.0,23.0,28.0,6.0,90.0,52.0,7.0,0.0698341,5,,,7.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,,2.0,1.0,2.0,11.0,0.2445,1.0,2.0,,4.0,,,1.0,,,,3.0,1.0,,,,,,,,
12448260,home,FC Utrecht,Miguel Rodríguez,,,miguel-rodriguez,M. Rodríguez,M,22,179,648,M,1014118,EUR,1051574400,M,22,22,False,21.0,17.0,2.0,1.0,0.0,3.0,3.0,14.0,20.0,3.0,70.0,46.0,8.0,0.161088,8,,,4.0,4.0,,2.0,4.0,3.0,3.0,,,,,1.0,12.0,0.8708,4.0,,,1.0,,3.0,2.0,,,2.0,3.0,1.0,0.3698,,1.0,,,,,
12448260,home,FC Utrecht,Jens Toornstra,,,jens-toornstra,J. Toornstra,M,18,178,203,M,99960,EUR,607651200,M,18,18,False,20.0,15.0,2.0,2.0,0.0,2.0,5.0,14.0,18.0,4.0,61.0,29.0,7.2,0.296639,2,,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,8.0,0.2627,2.0,,,,,1.0,3.0,1.0,,,1.0,,,,,,,,,
12448260,home,FC Utrecht,Yoann Cathline,,,cathline-yoann,Y. Cathline,M,10,176,517,M,1105700,EUR,1027296000,M,20,20,False,39.0,32.0,2.0,1.0,1.0,3.0,3.0,32.0,45.0,4.0,90.0,73.0,9.3,0.81245,6,,,7.0,6.0,,4.0,6.0,5.0,3.0,,1.0,,,1.0,21.0,0.3036,9.0,1.0,,1.0,,2.0,9.0,3.0,,1.0,2.0,1.0,0.1017,,,,,,,
