match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,player_lastName,stat_duelLost,stat_challengeLost,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalCross,stat_aerialLost,stat_dispossessed,stat_wonContest,stat_totalOffside,stat_accurateCross,stat_keyPass,captain,stat_blockedScoringAttempt,stat_penaltyConceded,stat_punches,stat_bigChanceMissed,stat_clearanceOffLine,stat_goals,stat_bigChanceCreated,stat_penaltyWon
11067318,home,Flamengo,Matheus Cunha,Matheus Cunha,matheus-cunha,M. Cunha,G,25,193,4946,M,1105835,EUR,990662400,G,25,25,False,37.0,31.0,12.0,7.0,31.0,34.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,6.0,2.0,2.0,90.0,51.0,6.8,6.0,0.0,0.0,0.00021203,0,0.9516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067318,home,Flamengo,Fabrício Bruno,,fabricio-bruno,F. Bruno,D,15,192,6526,M,840220,EUR,824083200,D,15,15,False,58.0,52.0,4.0,2.0,34.0,37.0,21.0,1.0,4.0,2.0,8.0,,2.0,,,,,,90.0,69.0,6.7,6.0,0.0,0.0,0.00637165,0,,fabriciobruno96,18.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11067318,home,Flamengo,David Luiz,,david-luiz,D. Luiz,D,4,189,22748,M,21300,EUR,546048000,D,23,23,False,30.0,26.0,3.0,1.0,15.0,18.0,12.0,1.0,3.0,1.0,3.0,,,,,,,,45.0,39.0,6.7,6.0,0.0,0.0,0.00782545,0,,davidluiz23,11.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11067318,home,Flamengo,Léo Pereira,,leo-pereira,L. Pereira,D,4,189,8450,M,358548,EUR,823046400,D,4,4,False,73.0,63.0,7.0,6.0,34.0,37.0,36.0,,1.0,1.0,5.0,,,,,,,,90.0,85.0,6.8,13.0,0.047,0.0,0.0574182,2,,leopereira4,29.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11067318,home,Flamengo,Wesley,,wesley-franca,Wesley,D,43,178,26920,M,1134200,EUR,1062806400,M,43,43,False,44.0,38.0,5.0,2.0,18.0,19.0,27.0,,9.0,1.0,11.0,,1.0,,,,,,90.0,78.0,6.9,15.0,0.0,0.0,0.0182984,0,,WesleyFranca03,20.0,,4.0,6.0,,9.0,,3.0,2.0,3.0,5.0,,,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,
11067318,home,Flamengo,Victor Hugo,,victor-hugo,V. Hugo,M,30,184,3548,M,1170954,EUR,1084233600,M,29,29,False,23.0,19.0,3.0,3.0,9.0,9.0,14.0,,3.0,,1.0,,1.0,,,,,,45.0,29.0,6.9,5.0,0.0,0.0,0.00828493,0,,,10.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11067318,home,Flamengo,Gerson,,gerson,Gerson,M,11,185,29672,M,611876,EUR,864086400,M,20,20,False,45.0,36.0,2.0,1.0,5.0,9.0,38.0,1.0,8.0,1.0,1.0,,4.0,,,,,,90.0,65.0,6.5,16.0,0.0,0.0,0.0857874,0,,gerson_santos,32.0,,,,,11.0,1.0,,,2.0,7.0,,,2.0,3.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,
11067318,home,Flamengo,Thiago Maia,,thiago-maia,T. Maia,M,29,179,1392,M,358550,EUR,859075200,M,8,8,False,74.0,63.0,5.0,2.0,26.0,28.0,47.0,3.0,3.0,4.0,6.0,,,,,,,,90.0,94.0,6.4,18.0,0.0,0.0,0.0280516,0,,,37.0,,,,,3.0,1.0,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,
11067318,home,Flamengo,Gabriel Barbosa,,gabriel-barbosa,G. Barbosa,F,9,178,36944,M,358554,EUR,841363200,F,10,10,False,14.0,11.0,1.0,1.0,3.0,4.0,13.0,,1.0,,1.0,,1.0,,,,,,67.0,23.0,6.1,8.0,0.1221,0.0431,0.0443513,1,,Gabigol,9.0,,,,,5.0,2.0,,1.0,1.0,,,1.0,3.0,1.0,1.0,,,1.0,1.0,True,,,,,,,,
11067318,home,Flamengo,Pedro,,pedro,Pedro,F,9,186,57455,M,840219,EUR,866764800,F,9,9,False,27.0,23.0,2.0,2.0,6.0,6.0,21.0,,4.0,,1.0,,3.0,,,,,,90.0,38.0,7.1,8.0,0.0867,0.3374,0.175558,2,,pedroguilherme,17.0,,,,,2.0,,,2.0,,2.0,,2.0,,,1.0,1.0,,,2.0,,,,,,,,,
