match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_blockedScoringAttempt,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_outfielderBlock,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_bigChanceCreated,stat_goals,stat_goalAssist
11396285,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,35.0,32.0,5.0,2.0,31.0,32.0,1.0,3.0,7.0,2.0,2.0,90.0,43.0,6.9,3.0,0.00804738,0,0.4521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396285,home,TSG Hoffenheim,Pavel Kadeřábek,pavel-kaderabek,P. Kadeřábek,M,3,182,266,M,109296,EUR,704160000,D,3,3,False,,68.0,61.0,1.0,1.0,22.0,22.0,42.0,50.0,2.0,,,89.0,90.0,7.1,11.0,0.255634,0,,,,4.0,3.0,3.0,1.0,6.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
11396285,home,TSG Hoffenheim,Ozan Kabak,ozan-kabak,O. Kabak,D,5,185,2402,M,857740,EUR,953942400,D,5,5,False,,110.0,100.0,10.0,4.0,59.0,59.0,41.0,51.0,5.0,,,90.0,124.0,7.3,13.0,0.0226612,1,,,,,,3.0,2.0,6.0,7.0,,1.0,5.0,4.0,1.0,,2.0,,1.0,1.0,3.0,0.0179,,,,,,,,,,,,,,,,,,
11396285,home,TSG Hoffenheim,Florian Grillitsch,florian-grillitsch,F. Grillitsch,M,27,187,755,M,186719,EUR,807753600,D,11,11,False,,114.0,104.0,6.0,2.0,57.0,62.0,47.0,52.0,8.0,,,90.0,126.0,7.1,11.0,0.0244319,1,,,,,,1.0,1.0,2.0,3.0,,2.0,1.0,1.0,,1.0,,,1.0,,4.0,0.0144,1.0,,,,,,,,,,,,,,,,,
11396285,home,TSG Hoffenheim,Stanley N'Soki,stanley-nsoki,S. N'Soki,D,34,184,416,M,904991,EUR,923616000,D,34,34,False,,14.0,12.0,1.0,1.0,7.0,8.0,5.0,7.0,2.0,,,49.0,29.0,5.6,6.0,0.10661,0,,,,1.0,,3.0,1.0,7.0,2.0,1.0,3.0,1.0,,2.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396285,home,TSG Hoffenheim,Anton Stach,anton-stach,A. Stach,M,18,192,1470,M,889861,EUR,911088000,M,16,16,False,,89.0,81.0,7.0,4.0,33.0,34.0,48.0,58.0,3.0,,,90.0,110.0,7.7,12.0,0.103122,3,,,,3.0,,,2.0,2.0,8.0,1.0,1.0,4.0,2.0,,1.0,,1.0,1.0,,3.0,0.0966,2.0,1.0,1.0,1.0,0.2303,,,,,,,,,,,,,
11396285,home,TSG Hoffenheim,Grischa Prömel,grischa-promel,G. Prömel,M,6,182,280,M,253993,EUR,789609600,M,6,6,False,,19.0,13.0,3.0,,7.0,7.0,6.0,12.0,,,,29.0,20.0,6.5,6.0,0.00388871,0,,,,,,1.0,1.0,2.0,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
11396285,home,TSG Hoffenheim,Umut Tohumcu,umut-tohumcu,U. Tohumcu,M,8,176,432,M,1083410,EUR,1092182400,M,40,40,False,,18.0,16.0,1.0,1.0,5.0,5.0,12.0,14.0,1.0,,,45.0,23.0,6.6,3.0,0.141683,0,,Umut Tohumcu,,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11396285,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,M,27,27,False,,60.0,55.0,2.0,1.0,19.0,19.0,37.0,46.0,5.0,,,90.0,77.0,7.6,13.0,0.305129,2,,,,5.0,1.0,1.0,,3.0,3.0,1.0,,1.0,,2.0,1.0,,4.0,2.0,,1.0,0.2111,2.0,,1.0,,,andrejkramaric,1.0,1.0,,,,,,,,,,
11396285,home,TSG Hoffenheim,Maximilian Beier,maximilian-beier,M. Beier,F,14,183,4887,M,980628,EUR,1034812800,F,14,14,False,,26.0,22.0,,,7.0,10.0,15.0,19.0,2.0,,,90.0,46.0,7.2,13.0,0.163321,4,,,,3.0,,1.0,,4.0,3.0,3.0,,,,2.0,1.0,,1.0,2.0,3.0,1.0,0.2112,,,2.0,1.0,0.0603,,,1.0,,,,,,,,,,
