match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_fouls,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,stat_dispossessed,stat_wonContest,captain,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,stat_bigChanceMissed
10390000,home,Montpellier,Jonas Omlin,jonas-omlin,J. Omlin,G,18,189,392,M,571622,EUR,758160000,G,1,1,False,15.0,10.0,9.0,4.0,6.0,6.0,4.0,9.0,1.0,1.0,2.0,1.0,45.0,17.0,5.6,5.0,0.0,0.0,0.000236399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390000,home,Montpellier,Falaye Sacko,falaye-sacko,F. Sacko,D,77,179,2233,M,796372,EUR,799286400,D,77,77,False,20.0,16.0,3.0,1.0,10.0,11.0,7.0,10.0,3.0,1.0,5.0,1.0,67.0,37.0,6.9,4.0,0.2032,0.0,0.0111812,2,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10390000,home,Montpellier,Maxime Estève,maxime-esteve,M. Estève,D,5,192,1470,M,1117223,EUR,1022371200,D,14,14,False,37.0,29.0,5.0,,26.0,29.0,3.0,8.0,3.0,8.0,2.0,1.0,90.0,56.0,7.5,8.0,0.0,0.0,0.00153328,0,,,4.0,,,,,6.0,1.0,1.0,,,Maxime Estève,,2.0,3.0,,,,,,,,,,,,,,,,,,,
10390000,home,Montpellier,Nicolas Cozza,nicolas-cozza,N. Cozza,D,3,178,184,M,886286,EUR,915753600,D,31,31,False,18.0,13.0,3.0,2.0,6.0,6.0,8.0,13.0,5.0,3.0,2.0,1.0,90.0,49.0,7.1,16.0,0.0,0.0,0.0918465,0,1.0,1.0,6.0,1.0,,,,1.0,4.0,2.0,,2.0,,,1.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,
10390000,home,Montpellier,Theo Sainte Luce,theo-sainte-luce,T. S. Luce,D,17,181,53,M,901152,EUR,908841600,D,17,17,False,,,,,,,,,,,,,8.0,1.0,6.5,,0.0,0.0,6.67876e-07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390000,home,Montpellier,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,34.0,25.0,1.0,,17.0,19.0,8.0,15.0,5.0,2.0,7.0,2.0,90.0,51.0,7.0,10.0,0.0,0.0,0.0173958,0,,,5.0,1.0,,,,4.0,2.0,1.0,,,,,1.0,,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,
10390000,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,123229,EUR,700358400,M,12,12,False,44.0,38.0,7.0,5.0,27.0,29.0,11.0,16.0,4.0,1.0,11.0,1.0,67.0,54.0,6.9,9.0,0.0,0.0,0.0124727,0,1.0,,4.0,2.0,,,1.0,1.0,1.0,,,,,,1.0,2.0,,2.0,1.0,,,True,,,,,,,,,,,,,
10390000,home,Montpellier,Arnaud Nordin,nordin-arnaud,A. Nordin,M,70,170,384,M,848458,EUR,900633600,M,7,7,False,21.0,14.0,3.0,1.0,7.0,11.0,9.0,12.0,9.0,,5.0,1.0,90.0,35.0,7.5,10.0,0.3526,0.6938,0.174153,2,2.0,2.0,5.0,2.0,,,,,,,,1.0,,,4.0,,2.0,1.0,4.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,
10390000,home,Montpellier,Valère Germain,valere-germain,V. Germain,F,,180,599,M,140992,EUR,640310400,M,9,9,False,13.0,9.0,,,4.0,4.0,5.0,9.0,4.0,2.0,,,45.0,16.0,6.4,5.0,0.0,0.0,0.00340585,0,,,3.0,,,,,,,,,,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,
10390000,home,Montpellier,Faitout Maouassa,faitout-maouassa,F. Maouassa,M,27,172,207,M,801287,EUR,899683200,M,27,27,False,8.0,4.0,2.0,1.0,1.0,1.0,3.0,8.0,2.0,1.0,3.0,,67.0,26.0,7.6,8.0,0.0,0.0,0.128036,0,1.0,,6.0,,,,1.0,,4.0,3.0,,2.0,,,1.0,,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,
