match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_possessionLostCtrl,stat_keyPass,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_wasFouled,stat_totalOffside,stat_fouls,stat_challengeLost,player_sofascoreId,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed
14035893,home,FCV Dender,Michael Verrips,,,michael-verrips,M. Verrips,G,34,195,102,M,583506,EUR,849571200,G,34,34,False,29.0,29.0,7.0,7.0,0.0,28.0,28.0,1.0,1.0,1.0,3.0,2.0,2.0,90.0,34.0,7.2,0.00079942,0.3273,0,0.3641,0.04,0.02,0.22,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035893,home,FCV Dender,Benjamin Fredrick,Benjamin Fredrick,,fredrick-benjamin,B. Fredrick,D,22,187,956,M,1470532,EUR,1117238400,D,22,22,False,22.0,19.0,,,0.0,12.0,13.0,7.0,9.0,,1.0,,,62.0,33.0,6.5,0.200377,,0,,0.02,-0.14,-0.02,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14035893,home,FCV Dender,Luc Marijnissen,Luc Marijnissen,,luc-marijnissen,L. Marijnissen,D,5,190,95,M,1086107,EUR,1042070400,D,5,5,False,61.0,53.0,8.0,5.0,0.0,41.0,45.0,12.0,16.0,8.0,1.0,,,90.0,79.0,7.3,0.0108829,,0,,0.04,0.11,0.26,,,,,3.0,,6.0,,9.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14035893,home,FCV Dender,Kobe Cools,,,kobe-cools,K. Cools,D,21,192,41,M,793987,EUR,869788800,D,21,21,False,72.0,62.0,6.0,2.0,0.0,54.0,57.0,8.0,15.0,5.0,2.0,,,90.0,85.0,7.6,0.00718926,,2,,0.15,0.05,0.41,,,,4.0,5.0,4.0,5.0,,11.0,,,,1.0,,,,True,1.0,1.0,1.0,2.0,0.1013,0.1489,0.19,,,,,,,,,
14035893,home,FCV Dender,Luc De Fougerolles,,,luc-de-fougerolles,L. D. Fougerolles,D,44,183,331,M,1413129,EUR,1129075200,D,44,44,False,82.0,73.0,9.0,4.0,0.0,50.0,56.0,23.0,26.0,2.0,6.0,,,90.0,94.0,7.4,0.00853625,,1,,0.13,0.09,-0.02,,,,1.0,5.0,3.0,9.0,1.0,11.0,,3.0,2.0,1.0,,,,,,,,,0.0885,,-0.15,1.0,2.0,1.0,,,,,,
14035893,home,FCV Dender,Fabio Ferraro,Fabio Ferraro,,fabio-ferraro,F. Ferraro,M,88,180,86,M,1145225,EUR,1031011200,D,88,88,False,46.0,32.0,11.0,5.0,0.0,15.0,22.0,17.0,24.0,3.0,2.0,,,88.0,75.0,6.9,0.0755622,,2,,0.37,0.03,0.2,,6.0,1.0,3.0,1.0,5.0,2.0,,23.0,1.0,,,3.0,1.0,1.0,4.0,,1.0,,,,0.0675,,-0.01,1.0,,,2.0,,,,,
14035893,home,FCV Dender,Noah Mbamba,,,noah-mbamba,N. Mbamba,M,17,187,1002,M,1100321,EUR,1104883200,M,17,17,False,49.0,44.0,6.0,3.0,0.0,20.0,21.0,24.0,28.0,4.0,7.0,,,90.0,69.0,7.3,0.0133034,,0,,0.07,0.26,0.37,,1.0,,,1.0,2.0,8.0,,9.0,1.0,1.0,1.0,,4.0,2.0,2.0,,,,,1.0,,,,,2.0,,2.0,,,,,
14035893,home,FCV Dender,Roman Kvet,,,roman-kvet,R. Kvet,M,16,187,92,M,858926,EUR,882316800,M,16,16,False,40.0,29.0,4.0,2.0,0.0,9.0,12.0,20.0,28.0,1.0,5.0,,,90.0,61.0,6.8,0.0659777,,2,,0.13,-0.12,-0.01,,5.0,1.0,2.0,2.0,2.0,6.0,,19.0,1.0,1.0,1.0,,1.0,,4.0,,1.0,,,,0.189,,-0.17,1.0,2.0,,,,,,,
14035893,home,FCV Dender,Malcolm Viltard,,,viltard-malcolm,M. Viltard,M,24,176,69,M,1092285,EUR,1035417600,M,24,24,False,48.0,37.0,7.0,3.0,0.0,18.0,21.0,19.0,27.0,2.0,6.0,,,77.0,72.0,7.3,0.0748065,,0,,0.27,0.08,0.15,,3.0,1.0,1.0,2.0,4.0,7.0,1.0,18.0,,1.0,,1.0,5.0,2.0,2.0,,,,,,,,,,,,,1.0,,,,
14035893,home,FCV Dender,Mohamed Berte,Mohamed Berte,,mohamed-berte,M. Berte,F,90,175,98,M,1122525,EUR,1017014400,F,90,90,False,8.0,6.0,,,0.0,3.0,3.0,3.0,5.0,,3.0,,,45.0,13.0,6.4,0.00111528,,0,,0.01,0.16,-0.01,,,,1.0,,2.0,1.0,,5.0,,,,,,,3.0,,,,,,,,,,1.0,,1.0,,,,,
