match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_totalOffside,stat_keyPass,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId
10411629,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,30.0,21.0,25.0,16.0,7.0,8.0,14.0,22.0,1.0,9.0,1.0,1.0,1.0,5.0,2.0,2.0,90.0,41.0,7.8,10.0,0.0,0.0,0.0072262,0,1.1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411629,home,Hellas Verona,Paweł Dawidowicz,pawel-dawidowicz,P. Dawidowicz,D,27,188,1744,M,288321,EUR,800928000,D,27,27,False,35.0,24.0,8.0,3.0,16.0,21.0,8.0,14.0,6.0,5.0,1.0,,,,,,90.0,53.0,7.5,12.0,0.0,0.0,0.00509209,0,,3.0,3.0,6.0,9.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10411629,home,Hellas Verona,Isak Hien,hien-isak,I. Hien,D,4,191,2306,M,1157713,EUR,916185600,D,6,6,False,33.0,24.0,3.0,1.0,16.0,20.0,8.0,13.0,5.0,13.0,2.0,,,,,,90.0,45.0,6.9,11.0,0.0,0.0,0.00382696,0,,3.0,1.0,6.0,3.0,,,,2.0,2.0,,3.0,,,,,,,,,,,,,,,,,,
10411629,home,Hellas Verona,Federico Ceccherini,federico-ceccherini,F. Ceccherini,D,23,187,130,M,139410,EUR,705542400,D,17,17,False,43.0,30.0,4.0,,18.0,22.0,12.0,21.0,2.0,10.0,,,,,,,75.0,53.0,7.0,13.0,0.0,0.0,0.00822332,0,,2.0,5.0,2.0,7.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10411629,home,Hellas Verona,Fabio Depaoli,fabio-depaoli,F. Depaoli,M,23,178,224,M,830288,EUR,861840000,M,29,29,False,22.0,13.0,5.0,1.0,4.0,5.0,11.0,20.0,1.0,8.0,4.0,,,,,,90.0,61.0,7.1,17.0,0.0937,0.0,0.0881888,1,,1.0,2.0,5.0,9.0,1.0,,1.0,4.0,3.0,3.0,1.0,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10411629,home,Hellas Verona,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,877371,EUR,984787200,M,14,14,False,34.0,30.0,,,16.0,17.0,15.0,18.0,1.0,4.0,,,,,,,66.0,45.0,6.6,7.0,0.0,0.0,0.0840952,0,,2.0,1.0,6.0,3.0,,,,1.0,,1.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,
10411629,home,Hellas Verona,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,M,61,61,False,39.0,28.0,4.0,2.0,15.0,17.0,13.0,22.0,3.0,5.0,4.0,,,,,,90.0,62.0,6.6,18.0,0.0,0.0,0.0225695,0,,2.0,1.0,6.0,3.0,2.0,,1.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,
10411629,home,Hellas Verona,Josh Doig,josh-doig,J. Doig,D,3,189,836,M,989276,EUR,1021680000,M,3,3,False,32.0,24.0,6.0,2.0,11.0,13.0,14.0,22.0,1.0,6.0,3.0,,,,,,90.0,70.0,6.8,23.0,0.0646,0.0,0.315151,1,,,1.0,7.0,4.0,2.0,,2.0,,,1.0,,,,3.0,1.0,3.0,4.0,1.0,,1.0,1.0,2.0,1.0,,,,,,
10411629,home,Hellas Verona,Yayah Kallon,yayah-kallon,Y. Kallon,F,9,175,173,M,967510,EUR,993859200,F,30,30,False,24.0,17.0,1.0,1.0,4.0,4.0,13.0,20.0,,1.0,1.0,,,,,,66.0,33.0,6.9,10.0,0.2956,0.0,0.375296,2,,1.0,3.0,5.0,5.0,,,1.0,,,2.0,2.0,,,,,2.0,,,,2.0,1.0,,1.0,1.0,2.0,,,,
10411629,home,Hellas Verona,Darko Lazović,darko-lazovic,D. Lazović,M,88,181,680,M,41157,EUR,653356800,F,8,8,False,26.0,22.0,1.0,,5.0,6.0,18.0,24.0,,10.0,4.0,,,,,,82.0,44.0,8.5,14.0,0.979,1.9172,0.0332544,4,,,,4.0,,1.0,,,,,,,,,4.0,1.0,,3.0,,,1.0,,,,,1.0,True,3.0,2.0,
10411629,home,Hellas Verona,Milan Đurić,milan-duric,M. Đurić,F,9,199,819,M,76132,EUR,643334400,F,19,19,False,36.0,22.0,,,6.0,6.0,16.0,30.0,2.0,4.0,5.0,,,,,,74.0,44.0,7.4,19.0,0.0764,0.0746,0.291337,1,,1.0,17.0,4.0,17.0,,,,,,,3.0,,,,,,,,,1.0,,,1.0,,,,1.0,,
10411629,home,Hellas Verona,Ibrahim Sulemana,ibrahim-sulemana,I. Sulemana,M,25,180,1979,M,105905,EUR,1053561600,M,77,77,True,7.0,3.0,,,2.0,3.0,1.0,4.0,3.0,,,,,,,,24.0,12.0,6.7,4.0,0.0,0.0,0.00232969,0,,1.0,2.0,2.0,2.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
