match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_accurateLongBalls,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,player_sofascoreId,stat_bigChanceCreated,stat_shotOffTarget
12764329,home,Athletic Club,Julen Agirrezabala,,,julen-agirrezabala,J. Agirrezabala,G,25,187.0,1101,M,1014412,EUR,977788800,G,13,13,False,17.0,11.0,6.0,0.0,11.0,11.0,6.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,90.0,26.0,6.8,6.0,6.205e-05,0,-0.1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764329,home,Athletic Club,Óscar de Marcos,,,oscar-de-marcos,Ó. de Marcos,D,10,180.0,553,M,52663,EUR,608515200,D,18,18,False,57.0,45.0,6.0,0.0,21.0,26.0,35.0,,7.0,4.0,8.0,,,,,,90.0,93.0,7.1,17.0,0.0869524,1,,True,26.0,4.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,0.0133,2.0,,,,,,,,,,,,,
12764329,home,Athletic Club,Daniel Vivian,,,daniel-vivian,D. Vivian,D,3,183.0,3121,M,910978,EUR,931132800,D,3,3,False,61.0,53.0,9.0,0.0,32.0,34.0,27.0,1.0,8.0,5.0,6.0,,,,,,90.0,84.0,7.3,13.0,0.00720117,1,,,21.0,,,,5.0,,2.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0521,,3.0,3.0,1.0,2.0,2.0,1.0,,,,,,,
12764329,home,Athletic Club,Yeray Álvarez,,,yeray-alvarez,Y. Álvarez,D,5,183.0,815,M,807648,EUR,790905600,D,5,5,False,50.0,43.0,8.0,0.0,32.0,33.0,17.0,2.0,4.0,15.0,6.0,,,,,,90.0,73.0,8.1,8.0,0.00910929,1,,,11.0,,,1.0,2.0,,,,,,1.0,1.0,1.0,0.2507,,6.0,1.0,2.0,,,,1.0,1.0,0.9457,,,,
12764329,home,Athletic Club,Yuri Berchiche,,,yuri-berchiche,Y. Berchiche,D,17,181.0,1143,M,84531,EUR,634608000,D,17,17,False,70.0,60.0,10.0,0.0,27.0,28.0,44.0,6.0,8.0,5.0,4.0,,,,,,90.0,91.0,7.6,12.0,0.2134,2,,,34.0,2.0,1.0,2.0,5.0,1.0,,,,,1.0,,1.0,0.0561,2.0,5.0,1.0,1.0,,1.0,,2.0,,0.0729,,,,
12764329,home,Athletic Club,Beñat Prados,,,benat-prados,B. Prados,M,24,179.0,605,M,1012409,EUR,981590400,M,24,24,False,54.0,46.0,4.0,0.0,20.0,23.0,32.0,3.0,7.0,,1.0,,,,,,90.0,72.0,6.6,12.0,0.0255638,2,,,26.0,1.0,,3.0,9.0,2.0,1.0,,2.0,1.0,4.0,1.0,,0.0571,1.0,1.0,1.0,,1.0,2.0,,,,,,,,
12764329,home,Athletic Club,Mikel Jauregizar,,,mikel-jauregizar,M. Jauregizar,M,18,177.0,1786,M,1495844,EUR,1068681600,M,23,23,False,43.0,39.0,5.0,0.0,17.0,20.0,23.0,1.0,7.0,1.0,6.0,,,,,,70.0,53.0,7.2,4.0,0.0407587,0,,,22.0,,,2.0,5.0,1.0,,,,1.0,5.0,4.0,1.0,,1.0,3.0,,,,2.0,,,,,1.0,,,
12764329,home,Athletic Club,Iñaki Williams,,,inaki-williams,I. Williams,M,9,186.0,20576,M,783374,EUR,771638400,M,9,9,False,24.0,16.0,1.0,1.0,4.0,5.0,21.0,,4.0,,3.0,,,,,,70.0,42.0,7.2,15.0,0.664632,3,,,13.0,2.0,1.0,1.0,6.0,,7.0,4.0,1.0,,,,,0.0872,1.0,1.0,2.0,,1.0,,,,,,,IñakiWill,1.0,2.0
12764329,home,Athletic Club,Álex Berenguer,,,alex-berenguer,Á. Berenguer,M,7,175.0,1918,M,592012,EUR,804816000,M,7,7,False,28.0,25.0,3.0,1.0,3.0,4.0,30.0,1.0,6.0,,1.0,,,,,,66.0,51.0,7.5,13.0,0.250188,0,,,24.0,6.0,2.0,1.0,6.0,,5.0,3.0,,,1.0,,1.0,,3.0,3.0,2.0,,2.0,1.0,,,,,,,1.0,
12764329,home,Athletic Club,Nico Williams,,,nico-williams,N. Williams,M,10,180.0,84078,M,1085400,EUR,1026432000,M,10,10,False,44.0,40.0,1.0,0.0,14.0,14.0,33.0,,5.0,1.0,7.0,,,,,,89.0,70.0,8.1,15.0,0.350133,3,,,27.0,3.0,1.0,,6.0,,7.0,3.0,1.0,1.0,,,2.0,0.8176,5.0,,2.0,,2.0,,,2.0,1.0,1.3374,,NicoWill,,
