match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_dispossessed,stat_keyPass,player_sofascoreId,stat_interceptionWon,stat_goalAssist,stat_accurateCross,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_wonContest,stat_errorLeadToAGoal,stat_hitWoodwork
10388391,home,VfL Wolfsburg,Koen Casteels,koen-casteels,K. Casteels,G,1,197,1416,M,70987,EUR,709430400,G,1,1,False,37.0,32.0,14.0,9.0,28.0,28.0,4.0,9.0,1.0,5.0,4.0,5.0,1.0,90.0,46.0,7.3,5.0,0.0,0.0,0.00209706,0,1.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388391,home,VfL Wolfsburg,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,D,20,20,False,55.0,43.0,10.0,6.0,22.0,28.0,21.0,31.0,1.0,3.0,,,,90.0,82.0,6.3,19.0,0.1,0.0,0.0774259,1,,,,4.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10388391,home,VfL Wolfsburg,Maxence Lacroix,maxence-lacroix,M. Lacroix,D,5,192,6983,M,879674,EUR,954979200,D,4,4,False,69.0,61.0,7.0,5.0,47.0,51.0,14.0,18.0,4.0,5.0,,,,85.0,76.0,6.4,10.0,0.0,0.0,0.0587472,0,,,,,3.0,3.0,3.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
10388391,home,VfL Wolfsburg,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12555,M,998247,EUR,987638400,D,5,5,False,60.0,55.0,7.0,5.0,35.0,37.0,20.0,24.0,1.0,3.0,,,,90.0,68.0,6.6,6.0,0.0,0.0,0.0137811,0,,,,1.0,1.0,4.0,4.0,,,,1.0,1.0,,2.0,1.0,3.0,,,mickyvdven,1.0,,,,,,,,,,,,,
10388391,home,VfL Wolfsburg,Paulo Otávio,paulo-otavio,P. Otávio,D,6,173,323,M,552180,EUR,785548800,D,6,6,False,36.0,29.0,1.0,1.0,17.0,19.0,13.0,21.0,1.0,4.0,,,,90.0,56.0,7.1,12.0,0.0323,0.0,0.0653524,2,,,,4.0,3.0,3.0,7.0,,,1.0,3.0,2.0,2.0,1.0,1.0,2.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,
10388391,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,62.0,51.0,14.0,8.0,30.0,32.0,22.0,39.0,1.0,11.0,,,,90.0,79.0,7.5,19.0,0.0415,0.1959,0.0336584,1,,,,9.0,1.0,6.0,5.0,2.0,,,2.0,2.0,,2.0,4.0,,,1.0,,,,1.0,,True,1.0,1.0,1.0,,,,,,
10388391,home,VfL Wolfsburg,Patrick Wimmer,patrick-wimmer,P. Wimmer,M,39,182,1034,M,987504,EUR,991180800,M,39,39,False,24.0,15.0,,,5.0,5.0,11.0,21.0,,4.0,,,,85.0,44.0,7.3,16.0,0.0592,0.0,0.398489,1,,,,2.0,2.0,7.0,8.0,,1.0,1.0,4.0,1.0,2.0,2.0,4.0,,2.0,3.0,,,,1.0,,,,,1.0,1.0,,,,,
10388391,home,VfL Wolfsburg,Mattias Svanberg,svanberg-mattias,M. Svanberg,M,32,185,641,M,796987,EUR,915494400,M,32,32,False,20.0,15.0,,,8.0,8.0,8.0,13.0,1.0,5.0,,,,90.0,35.0,6.7,8.0,0.3321,0.0672,0.421303,3,,,,1.0,1.0,6.0,4.0,2.0,1.0,1.0,,,,3.0,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,
10388391,home,VfL Wolfsburg,Yannick Gerhardt,yannick-gerhardt,Y. Gerhardt,M,31,184,166,M,169255,EUR,763516800,M,31,31,False,24.0,17.0,,,11.0,11.0,6.0,13.0,2.0,6.0,,,,90.0,43.0,7.5,11.0,1.1716,1.0677,0.197462,5,,,,,1.0,7.0,6.0,,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,1.0,,2.0,1.0,,,,,,,
10388391,home,VfL Wolfsburg,Jakub Kamiński,jakub-kaminski,J. Kamiński,M,16,178,5205,M,801263,EUR,1023235200,M,16,16,False,16.0,11.0,,,1.0,2.0,10.0,14.0,,1.0,,,,76.0,32.0,6.5,13.0,0.0852,0.0,0.0382863,1,,,,,,3.0,2.0,,1.0,,1.0,1.0,5.0,,,,3.0,1.0,jakub.kaminskii,,1.0,,1.0,,,,,,,,1.0,,
