match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_accurateOwnHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,captain,stat_aerialWon,stat_shotOffTarget,stat_interceptionWon,stat_errorLeadToAShot,stat_challengeLost,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_aerialLost,stat_errorLeadToAGoal,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_penaltyConceded
10913422,home,Al-Hilal,Mohammed Al-Owais,mohammed-al-owais,M. Al-Owais,G,33,185.0,753,M,791416,EUR,687052800,G,21,21,False,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,45.0,4.0,6.5,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913422,home,Al-Hilal,Saud Abdulhamid,abdulhamid-saud,S. Abdulhamid,D,23,178.0,8457,M,966849,EUR,932256000,D,66,66,False,73.0,67.0,2.0,1.0,26.0,42.0,51.0,5.0,90.0,98.0,7.2,14.0,0,,,s.abdulhamed66,25.0,4.0,3.0,6.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10913422,home,Al-Hilal,Mohammed Jahfali,mohammed-jahfali,M. Jahfali,D,70,185.0,103,M,791561,EUR,656726400,D,70,70,False,76.0,74.0,5.0,4.0,47.0,27.0,29.0,9.0,90.0,83.0,6.8,3.0,1,,,,47.0,,2.0,4.0,,,,1.0,,1.0,,1.0,1.0,2.0,,True,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10913422,home,Al-Hilal,Ali Albulayhi,ali-albulayhi,A. Albulayhi,D,3,182.0,1057,M,1138857,EUR,627609600,D,5,5,False,63.0,60.0,1.0,1.0,40.0,20.0,23.0,9.0,90.0,71.0,6.4,4.0,0,,,,40.0,,4.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10913422,home,Al-Hilal,Mohammed Al-Burayk,mohammed-al-burayk,M. Al-Burayk,D,2,173.0,281,M,804096,EUR,716515200,D,2,2,False,53.0,47.0,2.0,1.0,23.0,24.0,32.0,10.0,90.0,75.0,6.0,15.0,0,,,,23.0,2.0,10.0,2.0,3.0,2.0,1.0,1.0,,1.0,1.0,2.0,,2.0,,,,,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,
10913422,home,Al-Hilal,Musab Al Juwayr,musab-fahd-aljuwayr,M. A. Juwayr,M,10,175.0,850,M,1106234,EUR,1056067200,M,43,43,False,93.0,88.0,6.0,4.0,39.0,50.0,58.0,6.0,90.0,112.0,8.3,10.0,2,Musab Fahz Aljuwayr,,,38.0,4.0,2.0,11.0,,3.0,3.0,,,5.0,3.0,,3.0,,,,,,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10913422,home,Al-Hilal,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,6,175.0,1944,M,180059,EUR,719020800,M,6,6,False,76.0,69.0,9.0,5.0,20.0,49.0,56.0,3.0,65.0,81.0,7.1,10.0,0,,,,20.0,,3.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,
10913422,home,Al-Hilal,Suhayb Al-Zaid,suhayb-al-zaid,S. Al-Zaid,M,,175.0,122,M,1652171,EUR,1092268800,M,39,39,False,40.0,35.0,3.0,2.0,17.0,19.0,24.0,2.0,74.0,54.0,7.8,7.0,3,Suhayb,Al-Zaid,,17.0,1.0,,3.0,,,,,,3.0,,2.0,,,,,,2.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,
10913422,home,Al-Hilal,Mohammed Al-Qahtani,al-qahtani-mohammed,M. Al-Qahtani,M,15,167.0,790,M,1134261,EUR,1027382400,F,56,56,False,45.0,43.0,2.0,2.0,11.0,32.0,35.0,7.0,74.0,54.0,7.9,5.0,1,Mohammed Al-Qahtani,,,11.0,1.0,4.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,,,,,1.0,,1.0,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,
10913422,home,Al-Hilal,Odion Ighalo,odion-ighalo,O. Ighalo,F,,183.0,2180,M,29774,EUR,613958400,F,9,9,False,10.0,10.0,,,5.0,5.0,5.0,1.0,90.0,19.0,6.0,3.0,3,,,,5.0,,2.0,3.0,1.0,4.0,3.0,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,
