match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_goodHighClaim,stat_punches,stat_goals,player_sofascoreId
12514025,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,True,30.0,23.0,20.0,13.0,0.0,18.0,19.0,5.0,11.0,2.0,7.0,1.0,2.0,2.0,2.0,90.0,38.0,7.0,8.0,0.00474921,0,-0.7132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514025,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,D,28,28,False,,25.0,20.0,,,0.0,8.0,9.0,12.0,19.0,2.0,5.0,,,,,90.0,61.0,7.7,11.0,0.0192773,0,,3.0,2.0,5.0,10.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12514025,home,SC Farense,Artur Jorge,artur-jorge,A. Jorge,D,44,186,53,M,310800,EUR,776822400,D,4,4,False,,42.0,33.0,11.0,6.0,0.0,18.0,20.0,15.0,23.0,5.0,3.0,,,,,90.0,54.0,6.9,11.0,0.00680032,2,,1.0,,1.0,2.0,,,,,1.0,,,1.0,,1.0,,2.0,1.0,2.0,1.0,0.4853,,,,,,,,,,,,,,
12514025,home,SC Farense,Marco Moreno,marco-moreno,M. Moreno,D,21,190,81,M,997094,EUR,982627200,D,3,3,False,,11.0,10.0,2.0,1.0,0.0,9.0,9.0,1.0,2.0,2.0,2.0,,,,,45.0,20.0,6.5,3.0,0.00018388,1,,,2.0,4.0,2.0,,2.0,,,,1.0,1.0,,1.0,,,,,,1.0,0.0774,,,1.0,,,,,,,,,,,
12514025,home,SC Farense,Raúl Silva,raul-silva,R. Silva,D,,191,71,M,551812,EUR,626140800,D,34,34,False,,51.0,43.0,11.0,7.0,0.0,25.0,28.0,19.0,24.0,4.0,7.0,,,,,84.0,68.0,7.3,9.0,0.0545627,0,,1.0,2.0,3.0,7.0,1.0,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,,,1.0,,,,,1.0,,,,,,,,,,
12514025,home,SC Farense,Derick Poloni,derick-poloni,D. Poloni,D,6,173,38,M,892169,EUR,746841600,D,31,31,False,,16.0,12.0,2.0,1.0,0.0,8.0,9.0,4.0,9.0,1.0,2.0,,,,,57.0,37.0,6.4,12.0,0.00253581,1,,2.0,1.0,6.0,1.0,,1.0,1.0,,,1.0,,,,3.0,,,,1.0,1.0,0.0187,,,,,,,,,,,,,,
12514025,home,SC Farense,Mehdi Merghem,mehdi-merghem,M. Merghem,F,19,185,677,M,846506,EUR,869270400,M,79,79,False,,24.0,21.0,2.0,,0.0,6.0,6.0,18.0,24.0,,5.0,,,,,84.0,51.0,7.4,14.0,0.338867,4,,6.0,,3.0,3.0,,1.0,4.0,2.0,,1.0,1.0,4.0,,,2.0,,,3.0,,0.1209,,,1.0,3.0,1.0,1.0,,,,,,,,
12514025,home,SC Farense,Miguel Menino,menino-miguel,M. Menino,M,8,181,78,M,1163100,EUR,1042156800,M,93,93,False,,12.0,5.0,,,0.0,2.0,7.0,3.0,7.0,1.0,3.0,,,,,58.0,23.0,6.9,9.0,0.0009631,0,,2.0,,3.0,8.0,1.0,,,,,2.0,1.0,,4.0,2.0,,2.0,,,,,,,,,,,,,,,,,,
12514025,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,M,29,29,False,,25.0,16.0,2.0,1.0,0.0,8.0,11.0,8.0,14.0,4.0,7.0,,,,,90.0,50.0,7.7,10.0,0.0032457,1,,,1.0,8.0,13.0,1.0,1.0,1.0,1.0,4.0,9.0,7.0,,,6.0,1.0,3.0,,1.0,1.0,0.0481,,,,,,,1.0,,,,,,,
12514025,home,SC Farense,Rafael Barbosa,rafael-barbosa,R. Barbosa,M,27,170,124,M,823128,EUR,828057600,M,8,8,False,,35.0,29.0,4.0,3.0,0.0,9.0,12.0,24.0,35.0,,9.0,,,,,90.0,62.0,6.7,22.0,0.507142,2,,12.0,2.0,14.0,1.0,1.0,4.0,4.0,,1.0,,,,1.0,3.0,4.0,,,,,0.0758,,,1.0,4.0,,,,1.0,0.0108,,,,,
