match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_aerialLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalCross,stat_blockedScoringAttempt,captain,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_errorLeadToAGoal
12436447,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,26,26,False,14.0,12.0,5.0,3.0,0.0,9.0,9.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,90.0,22.0,6.9,2.0,0.00086493,0,-0.7421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436447,home,Nottingham Forest,Ola Aina,ola-aina,O. Aina,D,34,182,4052,M,800417,EUR,844732800,D,34,34,False,40.0,35.0,3.0,2.0,0.0,16.0,20.0,19.0,20.0,3.0,,7.0,1.0,,,,,90.0,51.0,6.7,9.0,0.00933887,0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12436447,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,31,31,False,36.0,34.0,3.0,1.0,0.0,25.0,26.0,9.0,10.0,3.0,6.0,1.0,1.0,,,,,90.0,50.0,7.7,3.0,0.00491649,2,,,,1.0,1.0,,,,milenkovicn_4,1.0,1.0,1.0,1.0,1.0,0.4835,0.8558,,,,,,,,,,,,,,,
12436447,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,5,5,False,57.0,50.0,4.0,3.0,0.0,34.0,37.0,16.0,20.0,4.0,2.0,3.0,1.0,,,,,68.0,66.0,7.5,7.0,0.150574,1,,3.0,,,,,1.0,1.0,murillosantiago40,2.0,1.0,,,2.0,0.0944,,Murillo,,2.0,1.0,1.0,2.0,,,,,,,,,
12436447,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3198,M,927356,EUR,987120000,D,7,7,False,43.0,42.0,3.0,2.0,0.0,20.0,20.0,22.0,26.0,3.0,3.0,2.0,,,,,,90.0,63.0,7.3,4.0,0.0190163,3,,2.0,,2.0,2.0,,1.0,,,,1.0,1.0,,,0.0879,0.0865,,,1.0,1.0,1.0,,3.0,1.0,,,,,,,
12436447,home,Nottingham Forest,Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,EUR,880070400,M,22,22,False,41.0,39.0,1.0,,0.0,14.0,14.0,25.0,28.0,4.0,3.0,5.0,1.0,,,,,68.0,53.0,7.1,4.0,0.0132762,2,,2.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,0.1113,0.3444,,,1.0,,,,1.0,,True,,,,,,
12436447,home,Nottingham Forest,Elliot Anderson,elliot-anderson,E. Anderson,M,8,179,7705,M,994546,EUR,1036540800,M,8,8,False,61.0,54.0,7.0,4.0,1.0,20.0,22.0,37.0,46.0,13.0,1.0,8.0,,,,,,90.0,96.0,8.4,16.0,0.586371,2,,10.0,2.0,7.0,5.0,1.0,1.0,4.0,,3.0,1.0,,,2.0,0.085,,,,2.0,5.0,3.0,,7.0,1.0,,3.0,3.0,1.0,1.0,,
12436447,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3183,M,871765,EUR,898992000,M,16,16,False,43.0,42.0,2.0,2.0,0.0,13.0,14.0,29.0,29.0,2.0,,5.0,,,,,,77.0,52.0,6.7,2.0,0.0310259,2,,4.0,,2.0,1.0,1.0,2.0,,,,1.0,1.0,,1.0,0.472,0.2768,,,,,,,,,,,2.0,,,1.0,
12436447,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,54.0,51.0,2.0,2.0,1.0,12.0,12.0,40.0,43.0,5.0,1.0,3.0,,,,,,90.0,72.0,8.1,10.0,0.82165,2,,2.0,,,,5.0,1.0,3.0,Morgangibbs27,2.0,,1.0,,,0.1471,0.1035,,,,4.0,3.0,,1.0,1.0,,1.0,,2.0,,,
12436447,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9224,M,867442,EUR,973555200,M,14,14,False,46.0,44.0,1.0,1.0,0.0,8.0,8.0,37.0,47.0,1.0,,1.0,,,,,,89.0,63.0,7.0,16.0,0.0718779,1,,4.0,2.0,,,2.0,1.0,3.0,Calteck10,,,,,,0.0258,,,,,2.0,1.0,,9.0,1.0,,1.0,,,,,
