match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_aerialWon,stat_duelLost,stat_outfielderBlock,stat_fouls,stat_aerialLost,stat_goalAssist,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_shotOffTarget,stat_goals,stat_totalOffside,player_sofascoreId
11391435,home,Toulouse,Guillaume Restes,Guillaume,Restes,guillaume-restes,G. Restes,G,1,188,2069,M,1154630,EUR,1110499200,G,50,50,False,25.0,21.0,5.0,3.0,19.0,21.0,2.0,4.0,1.0,6.0,4.0,4.0,1.0,90.0,33.0,7.2,4.0,0.00016997,0,-0.0988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391435,home,Toulouse,Mikkel Desler,,,mikkel-desler,M. Desler,D,3,187,109,M,226958,EUR,793152000,D,3,3,False,17.0,13.0,1.0,,5.0,6.0,8.0,11.0,,1.0,,,,31.0,24.0,6.8,5.0,0.0129456,0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11391435,home,Toulouse,Logan Costa,,,logan-costa,L. Costa,D,2,188,677,M,911853,EUR,986083200,D,6,6,False,55.0,48.0,4.0,2.0,32.0,35.0,16.0,21.0,5.0,7.0,,,,90.0,68.0,7.1,8.0,0.012512,0,,5.0,2.0,3.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11391435,home,Toulouse,Rasmus Nicolaisen,,,rasmus-nicolaisen,R. Nicolaisen,D,2,190,261,M,798124,EUR,858470400,D,2,2,False,36.0,33.0,3.0,2.0,24.0,25.0,9.0,11.0,7.0,1.0,,,,90.0,50.0,6.9,3.0,0.00277462,0,,5.0,4.0,,,,2.0,,3.0,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,
11391435,home,Toulouse,Gabriel Suazo,,,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,D,17,17,False,36.0,25.0,2.0,1.0,8.0,8.0,18.0,29.0,1.0,3.0,,,,80.0,51.0,7.6,13.0,0.593536,0,,5.0,1.0,4.0,1.0,,,1.0,,3.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,
11391435,home,Toulouse,Stijn Spierings,,,spierings-stijn,S. Spierings,M,6,189,224,M,788977,EUR,826588800,M,4,4,False,71.0,64.0,9.0,9.0,26.0,29.0,38.0,42.0,2.0,14.0,,,,90.0,90.0,8.0,10.0,0.0641595,0,,8.0,4.0,3.0,3.0,,2.0,,2.0,6.0,1.0,3.0,,,,1.0,1.0,2.0,1.0,,4.0,,,,,,,,,
11391435,home,Toulouse,Vincent Sierro,,,vincent-sierro,V. Sierro,M,14,184,461,M,794412,EUR,813110400,M,8,8,False,55.0,44.0,9.0,5.0,11.0,15.0,33.0,43.0,5.0,6.0,,,,90.0,79.0,7.0,18.0,0.0660233,0,,8.0,,3.0,1.0,3.0,2.0,3.0,1.0,7.0,,3.0,1.0,,,2.0,1.0,2.0,2.0,,,True,,,,,,,,
11391435,home,Toulouse,Aron Dønnum,,,aron-donnum,A. Dønnum,M,15,179,643,M,863133,EUR,893030400,M,15,15,False,40.0,33.0,3.0,3.0,14.0,15.0,19.0,26.0,,9.0,,,,80.0,56.0,7.1,12.0,0.0681929,3,,4.0,1.0,2.0,1.0,3.0,1.0,1.0,,7.0,,2.0,,,,4.0,1.0,1.0,1.0,,,,3.0,0.1571,0.2277,,,,,
11391435,home,Toulouse,Niklas Schmidt,,,niklas-schmidt,N. Schmidt,M,31,183,152,M,795002,EUR,888710400,M,20,20,False,39.0,31.0,6.0,4.0,10.0,10.0,22.0,31.0,,1.0,,,,80.0,51.0,7.0,14.0,0.0658044,1,,3.0,,3.0,2.0,1.0,,2.0,,7.0,,3.0,,,1.0,1.0,1.0,2.0,,,2.0,,1.0,0.0438,0.1917,,,,,
11391435,home,Toulouse,Ibrahim Cissoko,Ibrahim Cissoko,,ibrahim-cissoko,I. Cissoko,M,20,188,380,M,1128902,EUR,1048636800,M,10,10,False,20.0,18.0,,,5.0,5.0,14.0,16.0,,2.0,,,,62.0,33.0,7.3,5.0,0.0677215,3,,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,3.0,3.0,,,,1.0,0.1618,0.0256,2.0,,,,
