match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal
10438002,home,Sporting CP,Antonio Adán,antonio-adan,A. Adán,G,1,192,816,M,59623,EUR,547862400,G,1,1,False,True,25.0,24.0,5.0,4.0,23.0,24.0,1.0,1.0,5.0,2.0,4.0,90.0,32.0,7.6,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438002,home,Sporting CP,Ousmane Diomande,diomande-ousmane,O. Diomande,D,26,190,4976,M,1394342,EUR,1070496000,D,26,26,False,,122.0,107.0,7.0,2.0,60.0,64.0,47.0,58.0,7.0,,,90.0,129.0,7.3,15.0,0,Ousmane,Diomande,ousdiomande,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10438002,home,Sporting CP,Gonçalo Inácio,goncalo-inacio,G. Inácio,D,25,186,6686,M,1001196,EUR,998697600,D,25,25,False,,71.0,65.0,7.0,4.0,27.0,28.0,38.0,43.0,3.0,,,45.0,75.0,7.5,7.0,1,Gonçalo,Inácio,goncaloinacio_25,3.0,3.0,2.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10438002,home,Sporting CP,Matheus Reis,reis-matheus,M. Reis,D,2,183,1301,M,797648,EUR,793065600,D,2,2,False,,93.0,85.0,3.0,2.0,50.0,52.0,35.0,43.0,6.0,,,69.0,100.0,7.3,10.0,0,,,,,,4.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,
10438002,home,Sporting CP,Arthur Gomes,arthur-gomes,Arthur Gomes,M,11,175,670,M,822524,EUR,899424000,M,33,33,False,,47.0,40.0,1.0,,15.0,16.0,26.0,37.0,6.0,,,90.0,83.0,7.4,14.0,2,,,,1.0,4.0,7.0,1.0,5.0,4.0,3.0,,2.0,1.0,,,,,1.0,,1.0,,2.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,
10438002,home,Sporting CP,Manuel Ugarte,manuel-ugarte,M. Ugarte,M,25,182,19122,M,846425,EUR,986947200,M,15,15,False,,68.0,64.0,3.0,1.0,37.0,37.0,27.0,31.0,11.0,,,69.0,79.0,7.0,5.0,0,,,ugartemanu,,6.0,5.0,3.0,3.0,2.0,,,3.0,3.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,
10438002,home,Sporting CP,Pedro Gonçalves,pedro-goncalves,P. Gonçalves,F,8,173,8267,M,895764,EUR,898992000,M,28,28,False,,48.0,44.0,1.0,1.0,14.0,14.0,33.0,41.0,8.0,,,69.0,69.0,7.5,13.0,0,,,pedroogoncalves28,,3.0,2.0,,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,2.0,2.0,7.0,3.0,1.0,,,1.0,,,,,,,
10438002,home,Sporting CP,Nuno Santos,nuno-santos,N. Santos,M,11,179,1386,M,352882,EUR,792547200,M,11,11,False,,48.0,43.0,3.0,2.0,17.0,17.0,28.0,36.0,6.0,,,90.0,67.0,7.3,11.0,1,Nuno,Santos,,,1.0,4.0,,2.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,4.0,5.0,2.0,,,1.0,,1.0,,,,,,
10438002,home,Sporting CP,Marcus Edwards,edwards-marcus,M. Edwards,M,10,167,2823,M,795066,EUR,912643200,F,10,10,False,,28.0,21.0,2.0,2.0,6.0,7.0,15.0,22.0,7.0,,,74.0,45.0,8.2,14.0,3,,,,,6.0,6.0,,5.0,2.0,,,,,2.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,1.0,,,,,
10438002,home,Sporting CP,Paulinho,paulinho,Paulinho,F,26,187,4934,M,205790,EUR,721267200,F,20,20,False,,15.0,10.0,1.0,1.0,4.0,5.0,6.0,10.0,2.0,,,90.0,33.0,7.9,7.0,5,,,,2.0,6.0,9.0,,1.0,1.0,1.0,,3.0,,3.0,4.0,1.0,2.0,3.0,,,,1.0,,,2.0,,1.0,1.0,2.0,1.0,1.0,,,,
10438002,home,Sporting CP,Francisco Trincão,francisco-trincao,F. Trincão,F,17,184,11949,M,830431,EUR,946425600,F,17,17,False,,29.0,25.0,,,5.0,6.0,20.0,24.0,2.0,,,90.0,53.0,7.5,14.0,2,Francisco,Trincão,trincao,,10.0,9.0,2.0,8.0,4.0,,,2.0,,1.0,,,,,,,2.0,1.0,1.0,,3.0,,3.0,,2.0,1.0,2.0,,,,
10438002,home,Sporting CP,Jeremiah St. Juste,jeremiah-st-juste,J. St. Juste,D,8,185,1155,M,787640,EUR,845683200,D,3,3,True,,72.0,68.0,2.0,1.0,52.0,54.0,16.0,18.0,4.0,,,45.0,76.0,6.5,5.0,1,,,,1.0,5.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
10438002,home,Sporting CP,Luís Neto,luis-neto,L. Neto,D,,185,201,M,59731,EUR,580608000,D,13,13,True,,24.0,23.0,1.0,1.0,18.0,19.0,5.0,5.0,2.0,,,21.0,26.0,6.7,1.0,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
10438002,home,Sporting CP,Hidemasa Morita,hidemasa-morita,H. Morita,M,5,177,3106,M,926560,EUR,800064000,M,5,5,True,,11.0,10.0,1.0,1.0,7.0,7.0,3.0,4.0,3.0,,,21.0,18.0,6.6,2.0,0,Hidemasa,Morita,,,2.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,
