match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_clearanceOffLine,stat_outfielderBlock,stat_accurateCross,stat_onTargetScoringAttempt,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_goalAssist,stat_goals,player_sofascoreId,captain,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside
10382082,home,Feyenoord,Justin Bijlow,bijlow-justin,J. Bijlow,G,16,190.0,1386,M,556696,EUR,885427200,G,1,1,False,20.0,16.0,5.0,2.0,15.0,16.0,1.0,4.0,6.0,1.0,1.0,90.0,26.0,7.1,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382082,home,Feyenoord,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178.0,655,M,934409,EUR,963705600,D,2,2,False,31.0,28.0,,,11.0,12.0,17.0,22.0,2.0,,,85.0,48.0,6.7,9.0,2,3.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10382082,home,Feyenoord,Gernot Trauner,gernot-trauner,G. Trauner,D,18,183.0,610,M,121588,EUR,701481600,D,18,18,False,91.0,89.0,8.0,8.0,35.0,35.0,54.0,56.0,6.0,,,90.0,98.0,7.2,2.0,0,,2.0,3.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10382082,home,Feyenoord,Dávid Hancko,david-hancko,D. Hancko,D,17,188.0,4795,M,807771,EUR,881971200,D,33,33,False,88.0,82.0,8.0,4.0,55.0,56.0,27.0,32.0,6.0,,,90.0,106.0,7.9,10.0,0,,5.0,6.0,1.0,1.0,,,1.0,2.0,1.0,2.0,2.0,,3.0,4.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,
10382082,home,Feyenoord,Marcos López,marcos-lopez,M. López,D,15,176.0,2887,M,883745,EUR,943056000,D,15,15,False,60.0,53.0,5.0,4.0,25.0,29.0,30.0,34.0,5.0,,,90.0,83.0,7.6,10.0,1,3.0,6.0,7.0,,1.0,1.0,,,2.0,2.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,,,2.0,1.0,3.0,,,,,,,,,,,,,
10382082,home,Feyenoord,Quinten Timber,quinten-timber,Q. Timber,M,27,177.0,8611,M,959805,EUR,992736000,M,8,8,False,68.0,61.0,2.0,2.0,19.0,20.0,42.0,49.0,9.0,,,90.0,83.0,7.2,9.0,3,1.0,5.0,3.0,,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
10382082,home,Feyenoord,Javairô Dilrosun,javairo-dilrosun,J. Dilrosun,F,24,175.0,728,M,803028,EUR,898473600,M,11,11,False,33.0,28.0,1.0,,7.0,10.0,21.0,23.0,4.0,,,74.0,39.0,8.2,6.0,1,,1.0,2.0,,2.0,2.0,,,1.0,,,,1.0,,,,,,,,1.0,4.0,,,,1.0,1.0,,,,,,,,
10382082,home,Feyenoord,Orkun Kökçü,orkun-kokcu,O. Kökçü,M,10,175.0,13499,M,907461,EUR,978048000,M,10,10,False,89.0,79.0,9.0,7.0,34.0,35.0,45.0,60.0,6.0,,,85.0,102.0,8.0,18.0,2,6.0,1.0,1.0,,,,,,2.0,1.0,,,1.0,,,,1.0,,,,1.0,3.0,,,1.0,,1.0,orkunkokcu,True,,,,,,
10382082,home,Feyenoord,Alireza Jahanbakhsh,alireza-jahanbakhsh,A. Jahanbakhsh,M,27,180.0,3825,M,331837,EUR,745027200,F,7,7,False,54.0,42.0,4.0,4.0,9.0,9.0,34.0,50.0,5.0,,,90.0,80.0,7.1,21.0,5,5.0,7.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,1.0,,1.0,,1.0,,,,,1.0,1.0,2.0,,,2.0,,,alirezajb,,,,,,,
10382082,home,Feyenoord,Danilo,danilo,Danilo,F,9,174.0,1240,M,940647,EUR,923443200,F,9,9,False,18.0,16.0,1.0,1.0,5.0,6.0,11.0,12.0,2.0,,,63.0,25.0,7.2,2.0,5,,2.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,3.0,1.0,,,1.0,,,,,,,,,,
