match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,player_gender,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_totalContest,stat_wonContest,captain,stat_dispossessed,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_clearanceOffLine,stat_errorLeadToAShot,stat_goalAssist,stat_hitWoodwork
10352167,home,FV Illertissen,Michael Wagner,michael-wagner,M. Wagner,G,187.0,16,896157,EUR,964569600.0,G,1,1,False,47.0,23.0,36.0,13.0,13.0,16.0,10.0,31.0,1.0,1.0,10.0,6.0,9.0,90.0,62.0,8.2,24.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10352167,home,FV Illertissen,Lukasz Mozler,lukasz-mozler,L. Mozler,M,179.0,5,843313,EUR,849571200.0,D,16,16,False,27.0,18.0,5.0,2.0,11.0,15.0,8.0,15.0,,1.0,7.0,,,83.0,46.0,6.6,15.0,1,25,M,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10352167,home,FV Illertissen,Darius Held,darius-held,D. Held,M,178.0,1,887295,EUR,913334400.0,D,17,17,False,34.0,21.0,11.0,1.0,17.0,21.0,4.0,13.0,5.0,3.0,4.0,,,90.0,59.0,7.4,14.0,1,,M,,,5.0,12.0,,,6.0,5.0,,4.0,2.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,
10352167,home,FV Illertissen,Alexander Kopf,alexander-kopf,A. Kopf,D,183.0,1,1069520,EUR,980208000.0,D,8,8,False,41.0,29.0,13.0,6.0,22.0,27.0,7.0,14.0,3.0,1.0,7.0,,,90.0,52.0,6.4,13.0,0,5,M,,,1.0,4.0,1.0,,,,,,3.0,,,1.0,,Alexander,Kopf,1.0,,,,,,,,,,,,,
10352167,home,FV Illertissen,Philipp Boyer,philipp-boyer,P. Boyer,D,184.0,1,806406,EUR,827366400.0,D,4,4,False,11.0,4.0,7.0,1.0,2.0,3.0,2.0,8.0,1.0,,1.0,,,57.0,28.0,6.8,10.0,1,,M,,,3.0,5.0,2.0,,4.0,3.0,,1.0,,,,1.0,,Philipp,Boyer,,1.0,,,,,,,,,,,,
10352167,home,FV Illertissen,Kento Teranuma,kento-teranuma,K. Teranuma,F,,3,1131533,EUR,,M,10,10,False,19.0,13.0,2.0,2.0,6.0,6.0,7.0,13.0,,1.0,3.0,,,90.0,37.0,6.2,18.0,0,10,M,,,5.0,5.0,1.0,,,,,1.0,2.0,,,2.0,,Kento,Teranuma,8.0,,4.0,1.0,,,,,,,,,,
10352167,home,FV Illertissen,Fabio Maiolo,fabio-maiolo,F. Maiolo,M,182.0,5,989556,EUR,855532800.0,M,6,6,False,24.0,17.0,7.0,5.0,5.0,6.0,12.0,18.0,1.0,1.0,8.0,,,90.0,41.0,6.6,9.0,2,8,M,,,8.0,10.0,1.0,2.0,2.0,2.0,,3.0,3.0,,,5.0,2.0,,,,,1.0,,True,1.0,,,,,,,,
10352167,home,FV Illertissen,Nico Fundel,nico-fundel,N. Fundel,M,,1,1083983,EUR,,M,19,19,False,22.0,15.0,3.0,,10.0,12.0,5.0,10.0,2.0,,4.0,,,90.0,32.0,6.1,9.0,0,19,M,,,7.0,4.0,2.0,,1.0,1.0,,2.0,1.0,,,2.0,1.0,Nico,Fundel,,,,,,2.0,,,,,,,,
10352167,home,FV Illertissen,Yannick Glessing,yannick-glessing,Y. Glessing,M,,10,894394,EUR,886982400.0,M,21,21,False,6.0,2.0,,,,,2.0,6.0,,1.0,,,,62.0,14.0,6.5,8.0,0,7,M,,,2.0,2.0,1.0,,2.0,1.0,,1.0,,,,,,Yannick,Glessing,4.0,,,,,,,,,,,,,
10352167,home,FV Illertissen,Kai Luibrand,kai-luibrand,K. Luibrand,F,181.0,1,857507,EUR,767145600.0,F,9,9,False,10.0,5.0,1.0,,,,5.0,10.0,,,,,,62.0,21.0,6.2,12.0,1,,,,,7.0,4.0,,1.0,,,,2.0,1.0,,,3.0,1.0,,,3.0,,2.0,,,2.0,1.0,,,,,,,
