match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_shotValueNormalized,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_wonTackle,stat_totalOffside,stat_accurateCross,stat_totalContest,stat_challengeLost,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceCreated,stat_goals,stat_penaltyFaced,stat_penaltyConceded
14288886,home,Tondela,Bernardo Fontes,Bernardo,Fontes,bernardo-fontes,B. Fontes,G,31,196,193,M,1394935,EUR,1027382400,G,31,31,False,26.0,15.0,16.0,5.0,0.0,12.0,14.0,3.0,12.0,1.0,1.0,1.0,8.0,1.0,3.0,3.0,90.0,34.0,6.3,13.0,0.1494,0.0007229,51.632013949544,3.0,45.99,23.835,0.2961,1,0.2364,-0.36,0.04,0.0,-0.18,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288886,home,Tondela,Tiago Manso,Tiago Manso,,tiago-manso,T. Manso,M,48,174,50,M,1133070,EUR,945043200,D,48,48,False,15.0,11.0,5.0,3.0,0.0,6.0,7.0,5.0,8.0,2.0,3.0,,3.0,,,,61.0,34.0,6.6,11.0,,0.00406035,89.349173271915,6.0,60.585,52.185,,0,,,0.05,0.04,-0.04,,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,52.718351880536,1.0,,,,,,,,,,,,,,,,,,,
14288886,home,Tondela,João Afonso,,,joao-afonso,J. Afonso,D,5,188,33,M,584158,EUR,643852800,D,5,5,False,39.0,30.0,7.0,2.0,0.0,22.0,24.0,8.0,15.0,5.0,5.0,,,,,,90.0,58.0,6.7,11.0,0.017,0.00240932,69.260858692796,9.0,50.505,18.48,,1,,-0.1,-0.02,0.03,0.29,,,2.0,3.0,,8.0,6.0,,1.0,,,True,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
14288886,home,Tondela,Christian Marques,,,christian-marques,C. Marques,D,4,187,126,M,988964,EUR,1042588800,D,4,4,False,38.0,35.0,3.0,2.0,0.0,23.0,24.0,12.0,14.0,2.0,5.0,,3.0,,,,90.0,50.0,6.8,3.0,,0.003511,159.37859164882,17.0,108.885,21.63,,0,,,0.03,0.09,-0.26,,,,,,6.0,,2.0,,40.260085015431,2.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,
14288886,home,Tondela,Emmanuel Maviram,,,maviram-emmanuel,E. Maviram,D,60,168,61,M,1111880,EUR,986342400,D,60,60,False,18.0,8.0,6.0,2.0,0.0,4.0,6.0,4.0,12.0,1.0,1.0,,,,,,86.0,32.0,5.8,15.0,,0.0239531,14.988416897652,3.0,-1.68,5.25,,0,,,0.04,-0.26,-0.35,,3.0,2.0,6.0,2.0,1.0,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,
14288886,home,Tondela,Maranhão,,,pedro-henryque,Maranhão,F,7,172,167,M,879917,EUR,920332800,M,7,7,False,25.0,15.0,2.0,,0.0,7.0,9.0,8.0,16.0,3.0,6.0,,5.0,,,,86.0,40.0,6.1,14.0,0.1765,0.0116121,68.791251615241,8.0,33.285,18.375,,2,,-0.35,-0.16,0.29,-0.38,,1.0,,7.0,,,2.0,1.0,3.0,19.367370110575,1.0,,,,1.0,2.0,1.0,1.0,,3.0,2.0,1.0,1.0,2.0,0.2268,1.0,,,,
14288886,home,Tondela,Juan Rodríguez,Juan Rodríguez,,juan-rodriguez,J. Rodríguez,M,32,174,223,M,1482435,EUR,1143417600,M,32,32,False,17.0,13.0,4.0,3.0,0.0,5.0,6.0,8.0,11.0,1.0,1.0,,1.0,,,,79.0,20.0,6.5,4.0,,0.00523883,10.190408038935,1.0,10.08,10.08,,0,,,0.12,0.0,-0.05,,,2.0,3.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
14288886,home,Tondela,Cicero,,,cicero,Cicero,M,97,178,46,M,861283,EUR,863222400,M,97,97,False,32.0,26.0,2.0,1.0,0.0,8.0,10.0,18.0,22.0,4.0,6.0,1.0,,,,,90.0,44.0,6.8,7.0,0.0383,0.011732,20.237528756919,3.0,8.085,8.925,,1,,-0.13,0.12,0.02,-0.09,,,2.0,3.0,,5.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
14288886,home,Tondela,Ivan Cavaleiro,,,ivan-cavaleiro,I. Cavaleiro,F,,175,358,M,110950,EUR,750902400,M,17,17,False,25.0,21.0,,,0.0,8.0,8.0,13.0,17.0,1.0,9.0,,7.0,,,,90.0,46.0,7.7,11.0,0.7884,0.157129,147.5165883117,16.0,110.88,28.455,,1,,0.32,0.15,0.28,-0.07,,6.0,1.0,2.0,1.0,,,2.0,,73.472077578892,3.0,,,,2.0,3.0,2.0,,2.0,3.0,,3.0,,1.0,0.9139,1.0,1.0,1.0,,
14288886,home,Tondela,Hugo Félix,Hugo Félix,,hugo-felix,H. Félix,M,79,170,995,M,1146013,EUR,1078272000,F,79,79,False,25.0,19.0,1.0,,0.0,10.0,11.0,9.0,14.0,,3.0,,3.0,,,,79.0,37.0,6.8,13.0,,0.0679975,57.204759518565,8.0,0.83999999999997,7.875,,0,,,0.2,0.01,-0.01,,5.0,,2.0,,,,,1.0,,,,,,2.0,3.0,,,2.0,1.0,,,,,,2.0,1.0,,,
14288886,home,Tondela,Jordan Siebatcheu,,,jordan-siebatcheu,J. Siebatcheu,F,29,190,662,M,788786,EUR,830476800,F,29,29,False,18.0,16.0,,,0.0,5.0,6.0,11.0,12.0,1.0,2.0,1.0,4.0,,,,90.0,26.0,6.5,5.0,0.2778,0.00716621,30.990460204138,5.0,6.93,4.83,,1,,-0.52,0.06,0.03,-0.05,,,2.0,6.0,2.0,2.0,,,1.0,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,
14288886,home,Tondela,Rodrigo Conceição,,,rodrigo-conceicao,R. Conceição,D,27,173,250,M,945121,EUR,946771200,D,27,27,True,17.0,14.0,1.0,1.0,0.0,8.0,8.0,6.0,9.0,,3.0,,2.0,,,,29.0,28.0,6.3,6.0,,0.00628584,63.868507726225,7.0,51.975,25.2,,0,,,0.01,0.05,-0.33,,2.0,3.0,3.0,,1.0,,2.0,,25.318623659275,1.0,,,,1.0,1.0,2.0,,,,,,,,,1.0,,,,
14288886,home,Tondela,Joe Hodge,,,hodge-joe,J. Hodge,M,10,172,268,M,988882,EUR,1031961600,M,10,10,True,14.0,12.0,,,0.0,3.0,4.0,9.0,10.0,,1.0,1.0,1.0,,,,11.0,17.0,6.6,2.0,0.0585,0.0149639,29.040820061797,3.0,21.21,11.655,,1,,-0.09,-0.04,0.01,0.13,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,
14288886,home,Tondela,Yefrei Rodriguez,Yefrei Rodríguez,,yefrei-rodriguez,Y. Rodríguez,F,88,185,137,M,1478262,EUR,1115769600,F,11,11,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,1.0,,1.0,,,,11.0,5.0,6.5,,0.1729,0.00740493,10.386208596018,1.0,-4.305,-4.305,,1,,-0.23,0.03,0.0,-0.04,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,1.0,0.2958,,,,,
14288886,home,Tondela,Afonso Rodrigues,Afonso Rodrigues,,rodrigues-afonso,A. Rodrigues,M,19,178,40,M,1495552,EUR,1029715200,F,19,19,True,2.0,,2.0,,0.0,,1.0,,1.0,1.0,1.0,,,,,,12.0,8.0,6.5,4.0,,,24.294906873664,1.0,22.05,22.05,,0,,,-0.04,0.05,-0.05,,1.0,,1.0,,,1.0,,,24.294906873664,1.0,,,,,,,,,,1.0,,,,,,,,,
14288886,home,Tondela,Rony Lopes,,,rony-lopes,R. Lopes,M,16,174,626,M,190147,EUR,820108800,F,16,16,True,1.0,1.0,,,0.0,,,1.0,1.0,,1.0,1.0,,,,,12.0,5.0,7.1,,0.0758,0.192014,5.6961938169272,1.0,4.62,4.62,,2,,-0.04,0.33,0.05,0.13,,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,2.0,1.0,,,
14288886,home,Tondela,Lucas Cañizares,,,lucas-canizares,L. Cañizares,G,30,186,485,M,1022248,EUR,1020988800,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288886,home,Tondela,Hélder Tavares,,,helder-tavares,H. Tavares,M,8,180,36,M,343909,EUR,630633600,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288886,home,Tondela,André Ceitil,,,andre-ceitil,A. Ceitil,M,6,184,29,M,925839,EUR,794880000,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288886,home,Tondela,Yarlen,,,yarlen,Yarlen,F,67,178,671,M,1807776,EUR,1140393600,F,67,67,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
