match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_wonContest,stat_aerialLost,stat_aerialWon,stat_totalClearance,stat_errorLeadToAGoal,captain,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_keyPass,stat_totalOffside,stat_bigChanceCreated,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_clearanceOffLine
10406621,home,KRC Genk,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1417,M,934385,EUR,1014681600,G,26,26,False,21.0,18.0,5.0,2.0,17.0,17.0,1.0,4.0,6.0,1.0,2.0,90.0,27.0,6.7,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406621,home,KRC Genk,Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,183,12025,M,870360,EUR,833068800,D,23,23,False,55.0,41.0,5.0,3.0,14.0,18.0,27.0,40.0,8.0,,,90.0,91.0,6.7,23.0,2,,,daniel.chitiva,3.0,7.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
10406621,home,KRC Genk,Carlos Cuesta,carlos-cuesta,C. Cuesta,D,46,179,4440,M,839095,EUR,920937600,D,46,46,False,62.0,54.0,5.0,3.0,30.0,32.0,24.0,30.0,7.0,,,90.0,68.0,6.6,8.0,0,,,,,2.0,3.0,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10406621,home,KRC Genk,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,655,M,922759,EUR,919900800,D,2,2,False,60.0,55.0,5.0,4.0,41.0,43.0,14.0,17.0,7.0,,,90.0,73.0,7.2,6.0,0,,,,,4.0,7.0,,1.0,,,1.0,3.0,2.0,,,1.0,1.0,,,2.0,4.0,3.0,,,,,,,,,,,,,,
10406621,home,KRC Genk,Gerardo Arteaga,gerardo-arteaga,G. Arteaga,D,3,173,772,M,856129,EUR,905126400,D,5,5,False,38.0,32.0,2.0,1.0,15.0,17.0,17.0,23.0,7.0,,,88.0,64.0,5.7,16.0,0,,,,2.0,7.0,2.0,1.0,4.0,,,,3.0,,,2.0,1.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,
10406621,home,KRC Genk,Bryan Heynen,heynen-bryan,B. Heynen,M,8,181,436,M,801025,EUR,855187200,M,8,8,False,45.0,34.0,3.0,2.0,9.0,12.0,26.0,34.0,5.0,,,90.0,59.0,6.7,12.0,3,,,,1.0,5.0,9.0,1.0,3.0,1.0,1.0,,,2.0,,,,1.0,,3.0,3.0,4.0,1.0,,True,1.0,2.0,1.0,1.0,,,,,,,,
10406621,home,KRC Genk,Patrik Hrošovský,patrik-hrosovsky,P. Hrošovský,M,17,172,366,M,198282,EUR,703900800,M,17,17,False,45.0,35.0,5.0,2.0,16.0,19.0,20.0,28.0,11.0,,,90.0,61.0,7.0,14.0,2,,,,2.0,7.0,4.0,3.0,,,1.0,1.0,3.0,2.0,,,2.0,3.0,1.0,,,,,,,1.0,,1.0,,2.0,,,,,,,
10406621,home,KRC Genk,Joseph Paintsil,joseph-paintsil,J. Paintsil,F,28,167,2698,M,901285,EUR,886291200,M,28,28,False,35.0,23.0,,,3.0,5.0,20.0,34.0,5.0,,,81.0,59.0,6.9,22.0,2,,,,4.0,6.0,7.0,1.0,6.0,1.0,,,1.0,,,2.0,4.0,2.0,,3.0,,,,,,,,1.0,1.0,2.0,3.0,,,,,,
10406621,home,KRC Genk,Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25244,M,1126569,EUR,1084147200,M,34,34,False,34.0,25.0,4.0,2.0,9.0,10.0,16.0,25.0,6.0,,,67.0,51.0,6.9,14.0,3,Bilal,El Khannouss,bilalekns_34,1.0,5.0,6.0,1.0,3.0,2.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,1.0,,,,,,,
10406621,home,KRC Genk,Mike Trésor,mike-tresor,M. Trésor,M,31,175,1089,M,826183,EUR,927849600,M,11,11,False,50.0,40.0,2.0,2.0,16.0,18.0,27.0,43.0,10.0,,,90.0,87.0,7.1,29.0,2,,,,11.0,8.0,4.0,3.0,6.0,2.0,,,2.0,,,4.0,2.0,,1.0,2.0,,,,,,3.0,,,,4.0,,1.0,,,,,
