match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_accurateLongBalls,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_wasFouled,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_penaltyConceded,stat_goodHighClaim,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed
12437706,home,Sevilla,Ørjan Nyland,,,orjan-nyland,Ø. Nyland,G,13,192,1050,M,22209,EUR,652924800,G,13,13,False,16.0,10.0,6.0,0.0,10.0,12.0,4.0,2.0,1.0,1.0,2.0,90.0,19.0,6.5,6.0,9.38e-06,0,-0.2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437706,home,Sevilla,José Ángel Carmona,,,jose-angel-carmona,J. Á. Carmona,D,2,183,1021,M,1015240,EUR,1012262400,D,32,32,False,32.0,27.0,,0.0,19.0,21.0,11.0,6.0,,,,82.0,50.0,6.5,11.0,0.00477726,0,,8.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12437706,home,Sevilla,Loïc Badé,,,loic-bade,L. Badé,D,5,191,3177,M,1006489,EUR,955411200,D,22,22,False,60.0,51.0,6.0,0.0,37.0,39.0,21.0,2.0,,,,90.0,73.0,6.9,11.0,0.00579528,1,,14.0,,1.0,3.0,5.0,1.0,4.0,2.0,2.0,,4.0,1.0,2.0,2.0,1.0,1.0,1.0,0.084,1.0,,,,,,,,,,,,,,,
12437706,home,Sevilla,Marcão,,,marcao,Marcão,D,23,185,1053,M,840951,EUR,833932800,D,23,23,False,68.0,58.0,2.0,0.0,47.0,52.0,16.0,5.0,,,,90.0,81.0,6.6,11.0,0.00487438,0,,11.0,1.0,,1.0,5.0,,4.0,1.0,1.0,1.0,,,,,,1.0,,,,True,4.0,,,,,,,,,,,,,
12437706,home,Sevilla,Valentín Barco,Valentín Barco,,valentin-barco,V. Barco,M,32,172,11515,M,1127057,EUR,1090540800,D,19,19,False,41.0,34.0,3.0,0.0,15.0,16.0,35.0,9.0,,,,90.0,89.0,7.0,21.0,0.181948,3,,22.0,,,7.0,10.0,,1.0,6.0,3.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,,0.1434,4.0,,3.0,colo.barco,10.0,3.0,1.0,,,,,,,,,
12437706,home,Sevilla,Lucien Agoumé,,,lucien-agoume,L. Agoumé,M,18,185,2096,M,960006,EUR,1013212800,M,18,18,False,47.0,43.0,,0.0,28.0,30.0,17.0,3.0,,,,82.0,57.0,6.3,7.0,0.0157733,0,,15.0,1.0,,8.0,,2.0,1.0,,,,,1.0,1.0,,,,3.0,,1.0,,,,,,,1.0,,,,,,,,
12437706,home,Sevilla,Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3626,M,901892,EUR,940550400,M,12,12,False,54.0,52.0,4.0,0.0,28.0,28.0,26.0,3.0,,,,90.0,64.0,7.3,3.0,0.0141227,1,,24.0,1.0,1.0,1.0,5.0,,1.0,2.0,2.0,1.0,4.0,,,,,,,0.0224,,,2.0,,,,,1.0,1.0,0.0479,,,,,,
12437706,home,Sevilla,Dodi Lukebakio,,,dodi-lukebakio,D. Lukebakio,M,11,187,4874,M,823631,EUR,875059200,M,11,11,False,8.0,7.0,,0.0,2.0,2.0,6.0,3.0,,,,65.0,19.0,6.7,4.0,0.0340839,3,,5.0,,,4.0,3.0,1.0,,,,,,1.0,5.0,3.0,,,,0.1818,,,,DLukebakio,,,1.0,,2.0,0.2248,,,,,,
12437706,home,Sevilla,Juanlu Sánchez,,,juanlu-sanchez,J. Sánchez,M,16,186,1123,M,1010655,EUR,1060905600,M,26,26,False,16.0,11.0,,0.0,5.0,7.0,10.0,3.0,,,,65.0,21.0,6.5,8.0,0.010098,0,,6.0,,,3.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,
12437706,home,Sevilla,Chidera Ejuke,,,chidera-ejuke,C. Ejuke,M,21,176,3125,M,875890,EUR,883699200,M,21,21,False,48.0,39.0,1.0,0.0,13.0,16.0,33.0,2.0,,,,90.0,75.0,7.3,20.0,0.12565,2,,27.0,,,6.0,7.0,1.0,,1.0,1.0,5.0,,2.0,7.0,4.0,,,,0.1223,3.0,,2.0,,1.0,1.0,1.0,,1.0,0.0478,1.0,,,,,
