match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_wasFouled,stat_dispossessed,stat_hitWoodwork,stat_fouls,player_sofascoreId,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_blockedScoringAttempt,captain,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
14053799,home,FC Twente,Przemysław Tytoń,przemyslaw-tyton,P. Tytoń,G,22,195.0,453,M,27691,EUR,536716800,G,22,22,False,25.0,20.0,7.0,3.0,0.0,20.0,24.0,1.0,6.0,1.0,1.0,1.0,90.0,32.0,6.8,5.0,8.467e-05,45.585198971001,8.0,-12.705,3.36,0.0233,0,0.084,-0.05,-0.12,0.2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053799,home,FC Twente,Max Bruns,max-bruns,M. Bruns,D,38,186.0,104,M,1091627,EUR,1036540800,D,38,38,False,70.0,64.0,6.0,5.0,0.0,21.0,25.0,45.0,7.0,,,,90.0,100.0,7.6,13.0,0.180047,211.90993407419,30.0,99.54,19.74,,1,,0.41,0.13,0.37,,Max Bruns,,43.0,2.0,3.0,2.0,6.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0772,20.549806422446,1.0,1.0,-0.48,,,,,,,,,,,,,,,
14053799,home,FC Twente,Stav Lemkin,stav-lemkin,S. Lemkin,D,23,190.0,318,M,1091923,EUR,1049241600,D,23,23,False,102.0,96.0,9.0,6.0,0.0,40.0,40.0,62.0,6.0,,,,90.0,112.0,7.4,8.0,0.350743,238.60916707758,39.0,80.115,18.165,,0,,0.38,0.1,0.26,,,,56.0,,2.0,,2.0,2.0,,,,5.0,,,2.0,1.0,2.0,,18.167036329572,1.0,1.0,,,,,,,,,,,,,,,,
14053799,home,FC Twente,Ruud Nijstad,ruud-nijstad,R. Nijstad,D,43,192.0,397,M,1890313,EUR,1200528000,D,43,43,False,80.0,69.0,7.0,1.0,0.0,35.0,40.0,40.0,4.0,,,,90.0,91.0,7.1,11.0,0.0171057,231.32934685865,32.0,47.25,16.38,,0,,-0.07,0.03,0.34,,Ruud,Nijstad,34.0,,2.0,3.0,2.0,4.0,,,,9.0,1.0,,,,,,16.593296959917,1.0,,,1.0,,,,,,,,,,,,,,
14053799,home,FC Twente,Mats Rots,mats-rots,M. Rots,D,39,185.0,370,M,1387012,EUR,1142035200,D,39,39,False,62.0,51.0,5.0,2.0,0.0,23.0,26.0,36.0,2.0,,,,90.0,89.0,6.9,18.0,0.380993,215.78185817731,26.0,116.13,41.16,,1,,0.25,0.36,0.13,,,,28.0,,,1.0,3.0,3.0,,,1.0,1.0,,1.0,1.0,,2.0,0.1753,74.272284591121,3.0,1.0,-0.24,1.0,2.0,1.0,1.0,,,,,,,,,,,
14053799,home,FC Twente,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183.0,8083,M,989882,EUR,896140800,M,6,6,False,74.0,59.0,11.0,8.0,0.0,16.0,19.0,55.0,5.0,,,,85.0,90.0,7.4,20.0,0.344124,281.2431714413,29.0,177.03,17.85,,0,,0.35,0.36,-0.04,,,,43.0,7.0,,2.0,4.0,6.0,2.0,1.0,,2.0,,,3.0,3.0,1.0,,44.06336482632,3.0,1.0,,,,,2.0,rramizz_,3.0,1.0,,,,,,,,
14053799,home,FC Twente,Thomas Van den Belt,thomas-van-den-belt,T. V. d. Belt,M,20,181.0,290,M,945233,EUR,992822400,M,20,20,False,40.0,28.0,2.0,1.0,0.0,10.0,14.0,26.0,5.0,,,,74.0,53.0,7.1,17.0,0.14567,127.45310428347,15.0,29.295,12.705,,1,,0.37,0.35,0.2,,,,18.0,1.0,1.0,3.0,5.0,5.0,,,,1.0,1.0,,1.0,1.0,1.0,0.3064,14.990495688936,1.0,1.0,-0.53,1.0,2.0,,2.0,,,,1.0,0.2621,,,,,,
14053799,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179.0,509,M,1048430,EUR,996019200,M,11,11,False,31.0,21.0,2.0,,0.0,3.0,3.0,28.0,5.0,,,,90.0,49.0,6.2,19.0,0.0796984,199.98739967312,20.0,66.78,25.62,,0,,-0.06,0.07,-0.13,,,,18.0,3.0,2.0,,10.0,3.0,4.0,3.0,,1.0,,1.0,,,3.0,,39.297176208204,2.0,1.0,,1.0,2.0,,1.0,,,2.0,,,1.0,,,,,
14053799,home,FC Twente,Kristian Hlynsson,hlynsson-kristian,K. Hlynsson,M,14,176.0,998,M,1160026,EUR,1074816000,M,14,14,False,29.0,19.0,4.0,1.0,0.0,7.0,10.0,19.0,6.0,,,,56.0,39.0,6.6,12.0,0.0571448,107.49599475738,11.0,67.515,21.63,,3,,0.28,0.18,0.0,,,,12.0,,3.0,1.0,3.0,4.0,,1.0,1.0,,,1.0,2.0,1.0,2.0,0.2825,,,,-0.62,,,,,,,1.0,,,1.0,2.0,,,,
14053799,home,FC Twente,Sondre Ørjasæter,sondre-orjasaeter,S. Ørjasæter,M,27,180.0,617,M,1200962,EUR,1069977600,M,27,27,False,31.0,28.0,2.0,2.0,0.0,4.0,4.0,27.0,4.0,,,,85.0,62.0,7.5,17.0,0.533235,358.35922316883,29.0,177.24,50.82,,6,,0.51,0.85,-0.06,,,,24.0,5.0,,,8.0,2.0,1.0,7.0,3.0,,,,,,4.0,0.3991,224.02748777701,11.0,2.0,-0.69,1.0,,1.0,1.0,,1.0,1.0,1.0,0.058,,2.0,,,,
