match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_goalAssist,stat_keyPass,stat_accurateCross,stat_outfielderBlock,stat_dispossessed,stat_totalContest,stat_wonContest,player_firstName,player_lastName,captain,stat_goals,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves
10388490,home,FC Bayern München,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12744,M,yannsommer,16206,EUR,598320000,G,27,27,False,43.0,41.0,4.0,3.0,40.0,41.0,1.0,2.0,1.0,4.0,90.0,44.0,6.4,2.0,0.0,0.0,0.00069649,0,-0.4241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388490,home,FC Bayern München,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10858,M,benpavard21,787505,EUR,827971200,D,5,5,False,117.0,105.0,10.0,7.0,46.0,49.0,59.0,74.0,1.0,6.0,90.0,148.0,8.1,19.0,0.0572,0.0496,0.0510907,2,,6.0,1.0,5.0,3.0,12.0,1.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10388490,home,FC Bayern München,Dayot Upamecano,dayot-upamecano,D. Upamecano,D,2,185,14152,M,Upamecano,798583,EUR,909446400,D,2,2,False,135.0,122.0,9.0,6.0,64.0,65.0,58.0,71.0,1.0,8.0,90.0,149.0,7.6,14.0,0.0,0.0,0.0912759,0,,1.0,3.0,,3.0,4.0,,,2.0,4.0,3.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
10388490,home,FC Bayern München,Matthijs de Ligt,matthijs-de-ligt,M. de Ligt,D,4,188,32702,M,mdeligt,803031,EUR,934416000,D,4,4,False,129.0,124.0,11.0,10.0,68.0,69.0,57.0,61.0,,7.0,90.0,141.0,7.6,6.0,0.0284,0.1851,0.121823,1,,1.0,4.0,3.0,5.0,5.0,,1.0,5.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
10388490,home,FC Bayern München,Alphonso Davies,alphonso-davies,A. Davies,D,19,185,29613,M,ADavies19,843665,EUR,973123200,D,19,19,False,85.0,76.0,3.0,1.0,33.0,36.0,43.0,49.0,,7.0,82.0,112.0,7.1,17.0,0.0,0.0,0.175815,0,,,,,6.0,11.0,1.0,,,3.0,3.0,3.0,1.0,,,4.0,,,3.0,9.0,7.0,,,,,,,,,,,,,
10388490,home,FC Bayern München,Joshua Kimmich,joshua-kimmich,J. Kimmich,M,6,176,42486,M,Jok_32,259117,EUR,792201600,M,6,6,False,84.0,74.0,8.0,4.0,37.0,37.0,40.0,57.0,2.0,12.0,90.0,111.0,8.2,19.0,0.0252,0.2305,0.192703,1,,10.0,,,3.0,6.0,,1.0,1.0,3.0,3.0,,2.0,1.0,,2.0,3.0,,2.0,1.0,1.0,,,True,1.0,,,,,,,,,
10388490,home,FC Bayern München,Leon Goretzka,leon-goretzka,L. Goretzka,M,8,189,12148,M,leon_goretzka,184661,EUR,792028800,M,8,8,False,25.0,23.0,1.0,1.0,9.0,9.0,14.0,18.0,1.0,4.0,45.0,43.0,7.4,5.0,0.2199,0.0,0.0290607,4,,2.0,,1.0,1.0,4.0,,,,1.0,,,1.0,,,2.0,,,1.0,1.0,1.0,,,,,1.0,2.0,2.0,1.0,,,,,
10388490,home,FC Bayern München,Leroy Sané,leroy-sane,L. Sané,M,10,184,41295,M,LeroySane,293519,EUR,821318400,M,10,10,False,56.0,46.0,4.0,2.0,6.0,7.0,40.0,49.0,,4.0,90.0,79.0,6.8,19.0,0.165,0.0,0.0953538,4,,,,,8.0,8.0,,,,3.0,2.0,3.0,1.0,2.0,,1.0,,,3.0,7.0,4.0,,,,,,2.0,2.0,,,,,,
10388490,home,FC Bayern München,Jamal Musiala,jamal-musiala,J. Musiala,M,10,184,116690,M,Bambi,1010231,EUR,1046217600,M,42,42,False,33.0,28.0,,,10.0,10.0,18.0,23.0,1.0,4.0,68.0,51.0,6.3,15.0,0.0531,0.0,0.0760899,1,,,,,8.0,4.0,,,,2.0,2.0,3.0,1.0,1.0,,2.0,,,3.0,5.0,1.0,,,,,,,1.0,,,,,,
10388490,home,FC Bayern München,Serge Gnabry,serge-gnabry,S. Gnabry,M,7,176,19183,M,sergegnabry,187433,EUR,805680000,M,7,7,False,13.0,11.0,1.0,1.0,4.0,6.0,7.0,8.0,,2.0,45.0,24.0,6.3,8.0,0.1753,0.1466,0.0280872,2,,1.0,,,2.0,1.0,,1.0,,1.0,,2.0,,,,,,,2.0,,,,,,,,1.0,,,1.0,,,,
