match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_onTargetScoringAttempt,stat_penaltyConceded,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_goals,captain,stat_errorLeadToAShot,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon,stat_bigChanceCreated
13472683,home,Juventude,Jandrei,,,jandrei,Jandrei,G,93,186.0,1016,M,874979,EUR,730944000,G,13,13,False,23.0,21.0,7.0,5.0,0.0,18.0,19.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,90.0,31.0,6.9,2.0,0.00526054,0,-0.3763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472683,home,Juventude,Reginaldo,,,reginaldo,Reginaldo,D,93,174.0,102,M,555456,EUR,730339200,D,93,93,False,44.0,40.0,1.0,1.0,0.0,20.0,22.0,20.0,22.0,6.0,,,,,90.0,70.0,6.6,15.0,0.0557002,0,,10.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
13472683,home,Juventude,Luan Freitas,,,luan-freitas,Luan Freitas,D,4,184.0,248,M,986064,EUR,979948800,D,3,3,False,55.0,52.0,4.0,2.0,0.0,38.0,38.0,14.0,17.0,1.0,,,,,90.0,67.0,6.7,3.0,0.00335403,1,,,,1.0,1.0,2.0,3.0,,,3.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,0.0177,,,,,,,,,,,,,,,,
13472683,home,Juventude,Wilker Ángel,,,wilker-angel,W. Ángel,D,4,190.0,807,M,147358,EUR,732412800,D,4,4,False,49.0,44.0,6.0,2.0,0.0,30.0,31.0,14.0,18.0,1.0,,,,,90.0,59.0,6.5,5.0,0.00549353,3,,,,,3.0,2.0,3.0,,,4.0,1.0,,,,,,1.0,,2.0,0.0945,2.0,1.0,0.2755,,,,,,,,,,,,,
13472683,home,Juventude,Alan Ruschel,,,alan-ruschel,A. L. Ruschel,D,28,175.0,447,M,551674,EUR,619833600,D,28,28,False,18.0,15.0,,,0.0,13.0,15.0,2.0,3.0,2.0,,,,,45.0,20.0,6.3,3.0,0.00543108,0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13472683,home,Juventude,Emerson Batalla,,,emerson-batalla,E. Batalla,M,27,171.0,428,M,1022945,EUR,993859200,M,27,27,False,23.0,22.0,1.0,1.0,0.0,4.0,4.0,18.0,19.0,3.0,,,,,71.0,35.0,7.5,6.0,0.0472394,2,,2.0,,,1.0,6.0,4.0,3.0,2.0,,,,,1.0,2.0,1.0,,,1.0,0.0593,1.0,,0.4586,1.0,1.0,1.0,1.0,,,,,,,,,
13472683,home,Juventude,Jádson,,,jadson,Jádson,M,16,171.0,454,M,243651,EUR,746668800,M,16,16,False,58.0,50.0,4.0,3.0,0.0,22.0,24.0,28.0,34.0,3.0,,,,,90.0,71.0,7.0,11.0,0.0568108,1,,2.0,,2.0,,5.0,5.0,1.0,1.0,1.0,,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,0.0268,,,,,,,,True,1.0,,,,,,,
13472683,home,Juventude,Caique Gonçalves,,,caique-goncalves,Caique,M,95,178.0,364,M,871032,EUR,813283200,M,95,95,False,50.0,46.0,,,0.0,19.0,20.0,27.0,30.0,8.0,,,,,76.0,60.0,6.9,8.0,0.0586464,0,,,,,2.0,7.0,6.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,,,3.0,,,,,4.0,3.0,,,,,,,,,,,
13472683,home,Juventude,Luis Mandaca,Luis Mandaca,,luis-mandaca,L. Mandaca,M,44,178.0,388,M,1116677,EUR,1001980800,M,44,44,False,36.0,30.0,3.0,3.0,0.0,7.0,9.0,23.0,27.0,6.0,,,,,89.0,61.0,7.6,10.0,0.0539893,4,,1.0,1.0,1.0,2.0,8.0,10.0,3.0,3.0,,1.0,,,,3.0,1.0,1.0,,,0.1484,2.0,,0.1161,6.0,5.0,1.0,,,,,,,,,,
13472683,home,Juventude,Nenê,,,nene,Nenê,M,10,181.0,1562,M,5672,EUR,364348800,F,10,10,False,11.0,8.0,2.0,1.0,1.0,4.0,4.0,4.0,7.0,,,,,,45.0,23.0,7.4,7.0,0.439942,0,,8.0,5.0,,,1.0,3.0,1.0,,,,1.0,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,
