match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_outfielderBlock,player_sofascoreId,stat_dispossessed,stat_totalOffside,player_firstName,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,captain,stat_wonContest,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,player_lastName,stat_totalKeeperSweeper,stat_ownGoals,stat_clearanceOffLine
14572793,home,Celta Vigo,Ionuț Radu,ionut-radu,I. Radu,G,13,188,3688,M,815202,EUR,864777600,G,13,13,False,13.0,10.0,3.0,0.0,10.0,11.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,90.0,20.0,7.2,3.0,2.92e-05,0.0396,0,0.0362,0.0,-0.05,-0.08,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572793,home,Celta Vigo,Manu Fernández,manu-fernandez,M. Fernández,D,12,185,119,M,1630975,EUR,987984000,D,12,12,False,95.0,89.0,4.0,0.0,30.0,33.0,62.0,,7.0,,,,,90.0,107.0,6.4,7.0,0.113973,,2,,0.3,0.13,-0.21,,1.0,59.0,1.0,1.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0868,1.0,-0.22,,,,,,,,,,,,,,,,,,,,
14572793,home,Celta Vigo,Carl Starfelt,carl-starfelt,C. Starfelt,D,2,185,769,M,360718,EUR,801964800,D,2,2,False,46.0,44.0,,0.0,26.0,26.0,20.0,6.0,3.0,,,,,90.0,62.0,7.1,2.0,0.0182409,,0,,0.04,0.05,0.42,,,18.0,,,1.0,2.0,2.0,3.0,,,,3.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,
14572793,home,Celta Vigo,Marcos Alonso,marcos-alonso,M. Alonso,D,20,188,7592,M,69408,EUR,662342400,D,20,20,False,91.0,86.0,4.0,0.0,27.0,30.0,61.0,4.0,5.0,,,,,90.0,102.0,7.6,6.0,0.177602,,1,,0.53,0.23,-0.12,,4.0,59.0,,,,3.0,3.0,5.0,,,1.0,1.0,2.0,1.0,2.0,0.0181,2.0,-0.13,,marcosalonso28,1.0,2.0,,,,,,,,,,,,,,,,
14572793,home,Celta Vigo,Hugo Álvarez,hugo-alvarez,H. Álvarez,M,23,176,689,M,1154935,EUR,1057104000,M,23,23,False,16.0,11.0,,0.0,4.0,6.0,10.0,,3.0,,,,,45.0,28.0,6.5,7.0,0.01035,,0,,-0.06,0.18,-0.04,,,7.0,,,,,2.0,3.0,,1.0,,,2.0,1.0,1.0,,1.0,,,,,,Hugo Álvarez,1.0,1.0,,,,,,,,,,,,,
14572793,home,Celta Vigo,Fran Beltrán,fran-beltran,F. Beltrán,M,8,170,820,M,835484,EUR,918000000,M,8,8,False,45.0,43.0,1.0,0.0,16.0,16.0,29.0,,8.0,,,,,72.0,50.0,6.6,4.0,0.0866207,,1,,0.3,0.14,-0.07,,,27.0,,,2.0,,4.0,1.0,,,,,1.0,,1.0,0.0224,1.0,-0.05,,,1.0,,,,,1.0,0.017,,,,,,,,,,,
14572793,home,Celta Vigo,Miguel Román,miguel-roman,M. Román,M,16,178,322,M,1398526,EUR,1040860800,M,16,16,False,46.0,40.0,2.0,0.0,8.0,10.0,36.0,1.0,5.0,,,,,90.0,55.0,6.3,8.0,0.210885,,3,,0.01,0.01,-0.04,,1.0,32.0,1.0,1.0,1.0,,4.0,,,,1.0,,,,1.0,0.2032,2.0,0.01,,,2.0,,Miguel Román,,,,,2.0,,,,,,,,,,
14572793,home,Celta Vigo,Sergio Carreira,sergio-carreira,S. Carreira,M,5,170,468,M,1002764,EUR,971395200,M,5,5,False,59.0,56.0,2.0,0.0,14.0,15.0,44.0,,2.0,,,,,72.0,66.0,7.0,6.0,0.18747,,0,,0.19,0.37,-0.02,,2.0,42.0,2.0,,1.0,,3.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,
14572793,home,Celta Vigo,Iago Aspas,iago-aspas,I. Aspas,F,10,176,5018,M,19356,EUR,554774400,F,10,10,False,56.0,41.0,5.0,0.0,14.0,15.0,41.0,1.0,1.0,,,,,90.0,76.0,8.3,21.0,0.259515,,5,,0.28,0.1,-0.1,,4.0,27.0,2.0,1.0,1.0,,5.0,7.0,2.0,4.0,1.0,,3.0,3.0,1.0,0.3451,3.0,0.56,,i.aspas10,,,,3.0,1.0,2.0,0.2691,2.0,True,3.0,1.0,1.0,,,,,,
14572793,home,Celta Vigo,Pablo Durán,pablo-duran,P. Durán,F,18,176,737,M,1398524,EUR,990748800,F,18,18,False,22.0,21.0,2.0,0.0,7.0,7.0,15.0,,3.0,,,,,66.0,35.0,6.5,6.0,0.0139424,,2,,0.06,-0.08,0.18,,1.0,14.0,1.0,,,,7.0,3.0,,3.0,1.0,,1.0,,4.0,0.125,1.0,-0.17,,,1.0,,Pablo Durán,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,
14572793,home,Celta Vigo,Bryan Zaragoza,bryan-zaragoza,B. Zaragoza,F,97,165,5440,M,1084730,EUR,999993600,F,15,15,False,43.0,39.0,3.0,0.0,5.0,5.0,38.0,,1.0,,,,,78.0,70.0,7.7,20.0,0.237768,,3,,0.58,0.48,-0.16,,2.0,34.0,9.0,,,,7.0,6.0,2.0,4.0,1.0,,1.0,,2.0,0.0548,2.0,-0.21,,bryanzaragoza,1.0,1.0,,3.0,3.0,1.0,0.0308,1.0,,2.0,,,,,,,,
14572793,home,Celta Vigo,Borja Iglesias,borja-iglesias,B. Iglesias,F,7,187,4204,M,785989,EUR,727228800,F,7,7,True,12.0,8.0,,0.0,1.0,1.0,11.0,,,,,,,45.0,20.0,5.9,5.0,0.0247405,,4,,-0.44,-0.66,-0.01,,,7.0,,,,,3.0,1.0,,1.0,2.0,,,,3.0,0.3163,1.0,-0.52,,,,,,1.0,,1.0,0.1457,1.0,,1.0,,,1.0,1.0,,,,
