match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_outfielderBlock,stat_errorLeadToAShot,stat_goalAssist,stat_bigChanceCreated,stat_goals
11067448,home,Corinthians,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,12,12,False,True,35.0,25.0,14.0,4.0,24.0,27.0,1.0,8.0,1.0,1.0,1.0,7.0,2.0,4.0,1.0,90.0,42.0,7.0,10.0,0.0,0.0,0.00012106,0,0.3945,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067448,home,Corinthians,Fagner,fagner,Fagner,D,23,168,3781,M,Fagner,25554,EUR,613526400,D,23,23,False,,43.0,31.0,8.0,3.0,16.0,22.0,16.0,23.0,1.0,7.0,,5.0,,,,90.0,72.0,7.1,19.0,0.0,0.0,0.214016,0,,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,
11067448,home,Corinthians,Gil,gil,Gil,D,4,191,1081,M,,106402,EUR,550454400,D,4,4,False,,37.0,24.0,9.0,2.0,19.0,25.0,5.0,12.0,1.0,3.0,1.0,5.0,,,,90.0,43.0,6.5,14.0,0.0,0.0,0.00108278,0,,,,1.0,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,
11067448,home,Corinthians,Murillo,murillo,Murillo,D,5,180,9927,M,murillosantiago40,1199282,EUR,1025740800,D,34,34,False,,44.0,33.0,5.0,1.0,23.0,27.0,10.0,17.0,4.0,8.0,6.0,9.0,,,,90.0,64.0,6.7,16.0,0.0,0.0,0.00955871,0,,,,4.0,1.0,,3.0,2.0,,,,1.0,Murillo,,2.0,2.0,1.0,,,,,,,,,,,
11067448,home,Corinthians,Matheus Bidu,matheus-bidu,M. Bidu,D,21,172,6254,M,,981703,EUR,925776000,D,21,21,False,,18.0,11.0,6.0,3.0,6.0,10.0,5.0,10.0,1.0,2.0,1.0,4.0,,,,45.0,37.0,6.3,14.0,0.0,0.0,0.0104713,0,,2.0,,2.0,1.0,1.0,,,3.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,
11067448,home,Corinthians,Ruan Oliveira,ruan-oliveira,Ruan Oliveira,M,10,176,665,M,,1047656,EUR,953769600,M,33,33,False,,29.0,14.0,6.0,1.0,6.0,12.0,9.0,21.0,,4.0,1.0,6.0,,,,90.0,55.0,6.4,26.0,0.1308,0.3195,0.0296744,4,,4.0,1.0,10.0,4.0,,1.0,1.0,3.0,1.0,2.0,1.0,Ruan Oliveira,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,
11067448,home,Corinthians,Gabriel Moscardo,gabriel-moscardo,G. Moscardo,M,17,185,5063,M,gabrielmoscardo,1485309,EUR,1127865600,M,44,44,False,,22.0,17.0,4.0,2.0,10.0,14.0,7.0,8.0,2.0,7.0,,7.0,,,,66.0,32.0,6.7,6.0,0.0404,0.0,0.0052011,1,,,,6.0,1.0,,4.0,3.0,,,3.0,,,,2.0,,1.0,1.0,,,1.0,,,,,,,
11067448,home,Corinthians,Maycon,maycon,Maycon,M,8,175,3568,M,,831778,EUR,868924800,M,7,7,False,,19.0,10.0,2.0,,5.0,10.0,5.0,9.0,,3.0,,4.0,,,,45.0,29.0,6.6,10.0,0.0699,0.1051,0.00411193,1,,,,2.0,1.0,,2.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,
11067448,home,Corinthians,Guilherme Biro,guilherme-biro,Guilherme Biro,M,20,173,1092,M,,1106667,EUR,1074556800,F,26,26,False,,20.0,17.0,,,5.0,6.0,13.0,16.0,1.0,7.0,,5.0,,,,59.0,35.0,7.1,7.0,0.1459,0.1054,0.20661,2,,2.0,1.0,4.0,3.0,,2.0,2.0,2.0,2.0,,1.0,,,1.0,,2.0,2.0,,1.0,1.0,,,,,,,
11067448,home,Corinthians,Yuri Alberto,yuri-alberto,Y. Alberto,F,9,183,45110,M,yurialberto,905463,EUR,984873600,F,9,9,False,,8.0,7.0,,,5.0,6.0,2.0,2.0,1.0,4.0,,2.0,,,,66.0,20.0,6.6,6.0,0.0158,0.0,0.00033352,1,,,,5.0,3.0,,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
