match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_lastManTackle,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_dispossessed,stat_keyPass,stat_totalContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_shotOffTarget,stat_wonContest,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_totalOffside,stat_hitWoodwork
14573031,home,Shamrock Rovers,Edward McGinty,,,edward-mcginty,E. McGinty,G,1,192,48,M,888057,EUR,933811200,G,1,1,False,19.0,13.0,12.0,6.0,0.0,9.0,9.0,4.0,10.0,1.0,6.0,1.0,4.0,4.0,1.0,90.0,26.0,6.5,6.0,0.00098211,7.8568057122472,1.0,6.09,6.09,1.1078,0,0.5201,0.02,0.0,-0.57,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573031,home,Shamrock Rovers,Dan Cleary,,,dan-cleary,D. Cleary,D,6,182,28,M,279445,EUR,826329600,D,6,6,False,24.0,14.0,4.0,1.0,0.0,11.0,12.0,3.0,12.0,,1.0,,,,,90.0,33.0,6.3,11.0,0.0014138,74.398852393097,7.0,-11.865,11.655,,0,,-0.07,0.05,-0.32,,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573031,home,Shamrock Rovers,Roberto Lopes,,,roberto-lopes,R. Lopez,D,4,186,196,M,147138,EUR,708739200,D,4,4,False,24.0,16.0,8.0,3.0,0.0,13.0,15.0,3.0,9.0,,6.0,,,,,90.0,35.0,6.4,10.0,0.00146509,51.462265467395,7.0,-8.19,4.515,,0,,0.03,0.09,0.34,,6.0,4.0,3.0,1.0,3.0,2.0,2.0,,1.0,True,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14573031,home,Shamrock Rovers,Lee Grace,,,grace-lee,L. Grace,D,5,188,20,M,845906,EUR,723168000,D,5,5,False,28.0,17.0,8.0,1.0,0.0,15.0,19.0,2.0,9.0,4.0,4.0,,,,,90.0,38.0,7.3,11.0,0.00832022,51.116441924278,8.0,22.575,9.765,,1,,0.09,0.05,0.49,,1.0,2.0,,3.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,0.1114,-0.31,,,,,,,,,,,,,,,,,,
14573031,home,Shamrock Rovers,Daniel Grant,,,grant-daniel,D. Grant,D,21,178,44,M,930511,EUR,945907200,M,21,21,False,26.0,12.0,4.0,,0.0,6.0,12.0,3.0,14.0,2.0,1.0,,,,,90.0,60.0,6.3,23.0,0.190105,53.663576177441,7.0,11.76,26.355,,0,,-0.06,-0.07,-0.17,,4.0,2.0,1.0,,2.0,,4.0,,,,2.0,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,
14573031,home,Shamrock Rovers,Darragh Nugent,,,nugent-darragh,D. Nugent,M,16,183,23,M,981802,EUR,983404800,M,15,15,False,4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,,,,,,68.0,14.0,6.3,4.0,0.00040396,13.201830440672,2.0,11.55,7.875,,0,,-0.03,0.01,-0.02,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,3.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
14573031,home,Shamrock Rovers,Matthew Healy,Matthew Healy,,matthew-healy,M. Healy,M,8,178,121,M,1089580,EUR,1018569600,M,17,17,False,45.0,38.0,5.0,4.0,0.0,21.0,23.0,17.0,22.0,1.0,6.0,,,,,90.0,60.0,7.8,11.0,0.0145518,176.94419182402,19.0,25.935,17.85,,1,,0.12,0.02,0.24,,5.0,5.0,1.0,2.0,3.0,3.0,,1.0,,,,1.0,2.0,,,,1.0,0.024,0.0,,3.0,,1.0,1.0,0.0439,,,,,,,,,,,,
14573031,home,Shamrock Rovers,Dylan Watts,,,watts-dylan,D. Watts,M,7,178,45,M,795522,EUR,860716800,M,7,7,False,30.0,18.0,3.0,,0.0,12.0,16.0,3.0,14.0,1.0,6.0,,,,,87.0,49.0,7.1,21.0,0.177517,106.58120190711,12.0,10.395,10.71,,1,,0.25,0.16,-0.13,,2.0,5.0,1.0,,5.0,3.0,4.0,,,,,,,,1.0,,,0.0357,-0.06,5.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,,
14573031,home,Shamrock Rovers,Cory O'Sullivan,Cory O'Sullivan,,cory-osullivan,C. O'Sullivan,D,27,173,53,M,1390889,EUR,1146528000,M,27,27,False,22.0,13.0,3.0,1.0,0.0,8.0,11.0,4.0,11.0,5.0,3.0,,,,,90.0,49.0,6.3,16.0,0.00401202,31.014140973355,6.0,0.105,6.93,,0,,-0.06,0.02,-0.16,,3.0,4.0,,,2.0,2.0,3.0,1.0,2.0,,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,
14573031,home,Shamrock Rovers,John McGovern,,,john-mcgovern,J. McGovern,F,88,178,42,M,1005646,EUR,1034812800,F,88,88,False,6.0,5.0,,,0.0,1.0,2.0,4.0,4.0,1.0,1.0,,,,,68.0,21.0,6.9,7.0,0.0194427,47.673206217912,5.0,23.835,18.06,,2,,0.06,0.18,0.15,,1.0,4.0,,,,,2.0,2.0,,,,1.0,,,,,,0.188,-0.54,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,
