match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_interceptionWon,stat_lastManTackle,stat_ownGoals,stat_wasFouled,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_totalOffside
11368716,home,Real Betis,Rui Silva,Rui,Silva,rui-silva,R. Silva,G,1,191,3299,M,253809,EUR,760579200,G,13,13,False,34.0,24.0,20.0,10.0,18.0,22.0,6.0,12.0,6.0,2.0,2.0,2.0,2.0,90.0,39.0,6.4,11.0,0.00312569,0,-1.0668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368716,home,Real Betis,Youssouf Sabaly,,,youssouf-sabaly,Y. Sabaly,D,17,174,5678,M,111803,EUR,731289600,D,23,23,False,51.0,47.0,2.0,1.0,22.0,24.0,25.0,27.0,2.0,,,,,88.0,63.0,6.6,4.0,0.0348951,1,,youssouf_sabaly23,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0593,,,,,,,,,,,,,,,,,,,,,,,,,
11368716,home,Real Betis,Sokratis Papastathopoulos,Sokratis,Papastathopoulos,sokratis-papastathopoulos,S. Papastathopoulos,D,3,187,628,,2322979,EUR,581817600,D,19,19,False,50.0,44.0,5.0,1.0,35.0,36.0,9.0,14.0,5.0,,,,,90.0,70.0,6.6,6.0,0.0032597,0,,,10.0,,,,8.0,4.0,,,2.0,3.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
11368716,home,Real Betis,Chadi Riad,,,chadi-riad,C. Riad,D,34,186,10944,M,1064218,EUR,1047859200,D,28,28,False,63.0,59.0,5.0,2.0,48.0,51.0,11.0,12.0,5.0,,,,,90.0,72.0,6.5,5.0,0.00406793,0,,chadiriad17,1.0,,,,2.0,1.0,1.0,,1.0,,3.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11368716,home,Real Betis,Juan Miranda,,,juan-miranda,J. Miranda,D,33,185,2208,M,855829,EUR,948240000,D,3,3,False,42.0,36.0,4.0,1.0,18.0,18.0,19.0,27.0,4.0,,,,,88.0,68.0,6.5,12.0,0.039513,1,,,6.0,1.0,,,,4.0,1.0,0.0199,,2.0,4.0,2.0,,,,1.0,,1.0,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,
11368716,home,Real Betis,Guido Rodríguez,,,guido-rodriguez,G. Rodríguez,M,2,185,3908,M,609752,EUR,766108800,M,5,5,False,39.0,37.0,,,27.0,28.0,10.0,11.0,4.0,,,,,78.0,52.0,7.2,4.0,0.00395061,1,,guiido_rodriguez,4.0,,,,1.0,1.0,1.0,0.1045,1.0,2.0,3.0,2.0,,,2.0,1.0,,1.0,,,,,,1.0,1.0,1.0,0.5185,,,,,,
11368716,home,Real Betis,William Carvalho,,,william-carvalho,W. Carvalho,M,41,187,1602,M,137978,EUR,702604800,M,14,14,False,43.0,37.0,7.0,6.0,15.0,16.0,22.0,27.0,3.0,,,,,78.0,51.0,6.7,9.0,0.200869,1,,,3.0,1.0,,1.0,,1.0,,0.0223,,1.0,7.0,2.0,,,1.0,2.0,,1.0,3.0,,,,1.0,1.0,,,,1.0,,,,,
11368716,home,Real Betis,Pablo Fornals,,,pablo-fornals,P. Fornals,M,8,178,2735,M,816763,EUR,824947200,M,18,18,False,32.0,28.0,2.0,2.0,13.0,13.0,17.0,25.0,5.0,,,,,67.0,46.0,7.5,9.0,0.178583,1,,,2.0,,,,,,,0.0689,,1.0,,2.0,,,1.0,,,1.0,,6.0,2.0,1.0,3.0,,,,,1.0,1.0,,,,
11368716,home,Real Betis,Nabil Fekir,,,nabil-fekir,N. Fekir,M,20,173,3513,M,337671,EUR,742953600,M,8,8,False,43.0,39.0,,,13.0,13.0,29.0,44.0,7.0,,,,,90.0,77.0,6.5,26.0,0.0995804,1,,NabilFekir,3.0,,,,1.0,2.0,1.0,0.2986,,1.0,5.0,1.0,,,,1.0,,6.0,2.0,14.0,3.0,,1.0,3.0,1.0,,0.4848,,,True,1.0,,
11368716,home,Real Betis,Chimy Ávila,,,chimy-avila,C. Ávila,F,9,171,2160,M,789381,EUR,760492800,M,9,9,False,16.0,9.0,2.0,2.0,2.0,3.0,7.0,17.0,2.0,,,,,70.0,36.0,6.7,13.0,0.00220029,3,,,11.0,1.0,1.0,1.0,2.0,,,0.1762,1.0,3.0,2.0,,,,7.0,,,,,4.0,,1.0,,1.0,1.0,,0.3764,,,,,,
