match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,captain,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalContest,stat_wonContest,stat_dispossessed,stat_blockedScoringAttempt,stat_shotOffTarget,stat_bigChanceCreated,player_sofascoreId,stat_accurateCross,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyFaced,stat_punches,stat_errorLeadToAShot,stat_penaltyConceded,stat_goalAssist,stat_goals
10385700,home,Leeds United,Illan Meslier,,,illan-meslier,I. Meslier,G,16,196,1694,M,906076,EUR,951955200,G,1,1,False,21.0,13.0,12.0,4.0,13.0,15.0,6.0,1.0,13.0,1.0,1.0,3.0,90.0,34.0,6.8,9.0,0.0,0.0,8.665e-05,0,0.0387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385700,home,Leeds United,Rasmus Kristensen,,,rasmus-kristensen,R. Kristensen,D,13,186,1609,M,921789,EUR,868579200,D,25,25,False,39.0,30.0,4.0,1.0,13.0,15.0,26.0,,4.0,,,,90.0,60.0,7.3,12.0,0.0,0.0,0.0163674,0,,17.0,2.0,1.0,7.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10385700,home,Leeds United,Robin Koch,,,robin-koch,R. Koch,D,4,190,1826,M,581302,EUR,837561600,D,5,5,False,48.0,38.0,6.0,1.0,22.0,24.0,24.0,1.0,2.0,,,,90.0,59.0,6.9,14.0,0.0,0.0,0.00619017,0,,16.0,,3.0,3.0,1.0,2.0,2.0,2.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10385700,home,Leeds United,Liam Cooper,,,liam-cooper,L. Cooper,D,16,186,304,M,39327,EUR,681177600,D,6,6,False,51.0,41.0,6.0,2.0,25.0,29.0,22.0,1.0,6.0,,,,90.0,62.0,7.1,10.0,0.0,0.0,0.00471396,0,,16.0,,1.0,7.0,4.0,1.0,1.0,,2.0,,,1.0,4.0,,True,1.0,,,,,,,,,,,,,,,,,,
10385700,home,Leeds United,Pascal Struijk,,,pascal-struijk,P. Struijk,D,5,190,1365,M,836675,EUR,934329600,D,21,21,False,32.0,21.0,1.0,1.0,7.0,12.0,21.0,,6.0,,,,90.0,53.0,6.9,15.0,0.2134,0.4989,0.0122051,1,,14.0,1.0,6.0,6.0,2.0,3.0,3.0,1.0,1.0,2.0,,1.0,2.0,,,,3.0,1.0,,,,,,,,,,,,,,,,
10385700,home,Leeds United,Tyler Adams,,,tyler-adams,T. Adams,M,12,175,2918,M,800419,EUR,918950400,M,12,12,False,60.0,46.0,7.0,3.0,20.0,22.0,38.0,,11.0,,,,90.0,67.0,6.4,16.0,0.0,0.0,0.0256954,0,,26.0,,8.0,4.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,,4.0,,3.0,1.0,,,,,,,,,,,,,,
10385700,home,Leeds United,Marc Roca,,,marc-roca,M. Roca,M,21,184,1491,M,847128,EUR,848966400,M,8,8,False,43.0,36.0,3.0,1.0,16.0,17.0,31.0,,6.0,,,,84.0,63.0,7.0,15.0,0.0217,0.0,0.0297568,1,,20.0,5.0,4.0,6.0,,6.0,4.0,1.0,,,,,,,,1.0,3.0,,,,1.0,1.0,,,,,,,,,,,,
10385700,home,Leeds United,Brenden Aaronson,,,brenden-aaronson,B. Aaronson,M,11,178,2596,M,973431,EUR,972172800,M,7,7,False,41.0,35.0,,,8.0,11.0,35.0,,4.0,,,,90.0,63.0,6.9,17.0,0.074,0.0874,0.321993,2,,27.0,5.0,6.0,4.0,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,4.0,1.0,1.0,4.0,1.0,1.0,,1.0,,,,,,,,,,,
10385700,home,Leeds United,Jack Harrison,,,jack-harrison,J. Harrison,M,17,175,1145,M,829570,EUR,848448000,M,11,11,False,24.0,18.0,2.0,1.0,6.0,7.0,18.0,,7.0,,,,75.0,31.0,7.1,9.0,0.04,0.0,0.241046,1,,12.0,1.0,5.0,3.0,,1.0,,1.0,1.0,1.0,,2.0,,,,2.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,
10385700,home,Leeds United,Luis Sinisterra,,,luis-sinisterra,L. Sinisterra,F,17,176,6576,M,836070,EUR,929577600,M,23,23,False,30.0,25.0,,,11.0,12.0,19.0,1.0,8.0,,,,89.0,50.0,7.2,9.0,0.2428,0.0,0.0962519,4,,15.0,1.0,5.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,4.0,,,2.0,1.0,,2.0,2.0,3.0,3.0,1.0,,Sinisterra29,1.0,,,,,,,,
