match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12437576,home,Valencia,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,23.0,10.0,17.0,4.0,0.0,6.0,7.0,4.0,16.0,5.0,1.0,1.0,2.0,90.0,31.0,7.0,13.0,0.00118988,0,0.1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437576,home,Valencia,Dimitri Foulquier,dimitri-foulquier,D. Foulquier,D,20,183,461,M,,151138,EUR,732844800,D,20,20,False,37.0,34.0,3.0,1.0,0.0,24.0,25.0,12.0,14.0,4.0,,,,90.0,63.0,7.8,6.0,0.469056,1,,,,2.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0133,2.0,,,,,,,,,,,,
12437576,home,Valencia,César Tárrega,cesar-tarrega,C. Tárrega,D,5,193,816,M,,996928,EUR,1014681600,D,15,15,False,40.0,35.0,3.0,,0.0,30.0,31.0,5.0,10.0,4.0,,,,90.0,64.0,7.3,7.0,0.00463519,0,,,,1.0,,7.0,7.0,10.0,,,,,,16.0,,,3.0,1.0,1.0,,5.0,,,2.0,,,,,,,,,,,
12437576,home,Valencia,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191,15807,M,,1144630,EUR,1088294400,D,3,3,False,41.0,36.0,2.0,1.0,0.0,30.0,31.0,6.0,10.0,7.0,,,,90.0,55.0,7.1,8.0,0.00298873,0,,Cristhian Mosquera,,,,7.0,4.0,7.0,2.0,,,,,9.0,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,
12437576,home,Valencia,José Luis Gayà,jose-luis-gaya,J. L. Gayà,D,14,172,1685,M,,227922,EUR,801360000,D,14,14,False,27.0,26.0,3.0,2.0,0.0,18.0,18.0,10.0,14.0,2.0,,,,90.0,52.0,7.3,7.0,0.131731,1,,,,5.0,2.0,,3.0,4.0,,,,,,5.0,,,4.0,3.0,1.0,,1.0,0.0281,1.0,1.0,True,1.0,1.0,,,,,,,,
12437576,home,Valencia,Javier Guerra,javier-guerra,J. Guerra,M,8,187,1800,M,,1122610,EUR,1052784000,M,8,8,False,32.0,25.0,3.0,2.0,0.0,9.0,10.0,16.0,22.0,2.0,,,,66.0,42.0,6.7,11.0,0.214673,1,,,,,,2.0,6.0,2.0,1.0,2.0,,,,2.0,,,,,,,2.0,0.0503,1.0,,,1.0,1.0,1.0,,,,,,,
12437576,home,Valencia,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,,1087316,EUR,990489600,M,5,5,False,38.0,34.0,2.0,2.0,0.0,18.0,19.0,16.0,19.0,3.0,,,,90.0,56.0,7.3,6.0,0.010714,1,,,,,,3.0,4.0,13.0,,2.0,2.0,,1.0,5.0,,,4.0,1.0,1.0,4.0,3.0,0.0261,,,,1.0,,,,,,,,,
12437576,home,Valencia,Luis Rioja,luis-rioja,L. Rioja,M,11,173,860,M,,900433,EUR,750729600,M,22,22,False,22.0,18.0,1.0,1.0,0.0,3.0,5.0,15.0,19.0,3.0,,,,89.0,39.0,6.6,12.0,0.0146879,1,,,,2.0,,1.0,4.0,4.0,1.0,3.0,1.0,,1.0,3.0,,,,,3.0,2.0,,0.0052,,,,1.0,,,,,,,,,
12437576,home,Valencia,André Almeida,andre-almeida,A. Almeida,M,10,176,1200,M,,845693,EUR,959644800,M,10,10,False,27.0,24.0,1.0,,1.0,5.0,6.0,19.0,24.0,5.0,,,,75.0,47.0,7.1,11.0,0.0335241,0,,,,3.0,,,4.0,6.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,2.0,4.0,1.0,,1.0,,,1.0,,,,,,,,,
12437576,home,Valencia,Diego López,diego-lopez,D. López,M,16,172,1350,M,,998950,EUR,1021248000,M,16,16,False,21.0,15.0,1.0,,0.0,5.0,7.0,10.0,14.0,4.0,,,,66.0,35.0,7.2,10.0,0.0183407,2,,,,,,,3.0,2.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,2.0,2.0,,1.0,0.5432,,,,,,,1.0,1.0,1.0,0.7438,,,
