match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_totalContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_dispossessed,stat_wonContest,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_keyPass,stat_goals,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_errorLeadToAShot
10411546,home,Salernitana,Luigi Sepe,luigi-sepe,L. Sepe,G,185,170,M,46714,EUR,673660800,G,33,33,False,28.0,16.0,16.0,4.0,15.0,15.0,1.0,13.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,90.0,37.0,7.3,12.0,0.0,0.0,0.00026078,0,0.1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411546,home,Salernitana,Norbert Gyömbér,norbert-gyomber,N. Gyömbér,D,189,301,M,224456,EUR,710121600,D,23,23,False,45.0,39.0,5.0,3.0,23.0,25.0,16.0,20.0,3.0,7.0,,,,,,,89.0,59.0,6.9,6.0,0.3415,0.0,0.0146791,2,,23,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10411546,home,Salernitana,Flavius Daniliuc,flavius-daniliuc,F. Daniliuc,D,186,441,M,901885,EUR,988329600,D,5,5,False,46.0,40.0,8.0,4.0,34.0,39.0,6.0,7.0,2.0,3.0,,,,,,,90.0,64.0,7.9,8.0,0.2608,0.3268,0.00320588,2,,24,3.0,3.0,8.0,,,,,,1.0,2.0,5.0,4.0,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,
10411546,home,Salernitana,Federico Fazio,federico-fazio,F. Fazio,D,195,373,M,27569,EUR,542937600,D,17,17,False,25.0,17.0,5.0,3.0,12.0,17.0,5.0,8.0,6.0,8.0,,,,,,,90.0,51.0,7.5,11.0,0.0789,0.0,0.00270859,1,,,4.0,4.0,10.0,,,,1.0,,,2.0,3.0,2.0,1.0,,,2.0,,1.0,True,1.0,2.0,2.0,1.0,,,,,,,,
10411546,home,Salernitana,Antonio Candreva,antonio-candreva,A. Candreva,F,180,936,M,27982,EUR,541468800,M,87,87,False,23.0,17.0,2.0,,8.0,10.0,10.0,20.0,,3.0,,,,,,,84.0,40.0,6.8,12.0,0.0722,0.0,0.0550838,1,,87,,2.0,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,2.0,7.0,1.0,2.0,,,,,
10411546,home,Salernitana,Lassana Coulibaly,coulibaly-lassana,L. Coulibaly,M,183,2761,M,804621,EUR,829094400,M,18,18,False,22.0,16.0,1.0,,7.0,10.0,9.0,12.0,1.0,6.0,,,,,,,90.0,41.0,7.3,11.0,0.0,0.0,0.0196938,0,,29,4.0,6.0,14.0,,,,,,,1.0,7.0,2.0,2.0,,,2.0,,3.0,,2.0,1.0,1.0,2.0,,,,,,,,
10411546,home,Salernitana,Ivan Radovanović,ivan-radovanovic,I. Radovanović,D,186,66,M,19394,EUR,588816000,M,16,16,False,34.0,28.0,7.0,5.0,15.0,17.0,13.0,17.0,2.0,7.0,,,,,,,90.0,45.0,7.1,9.0,0.0229,0.0,0.0226685,1,,7,3.0,3.0,6.0,,,,1.0,,1.0,1.0,2.0,,1.0,,,,,2.0,,2.0,,,1.0,,,,,,,,
10411546,home,Salernitana,Tonny Vilhena,tonny-vilhena,T. Vilhena,M,175,505,M,149659,EUR,789091200,M,10,10,False,7.0,7.0,,,3.0,3.0,4.0,4.0,1.0,1.0,,,,,,,65.0,13.0,6.4,2.0,0.0,0.0,0.0375318,0,,52,,3.0,2.0,1.0,,,,,,,2.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,
10411546,home,Salernitana,Pasquale Mazzocchi,pasquale-mazzocchi,P. Mazzocchi,M,183,1368,M,377512,EUR,806803200,M,30,30,False,21.0,16.0,4.0,2.0,10.0,11.0,7.0,17.0,,6.0,,,,,,,90.0,48.0,7.4,20.0,0.1233,0.5543,0.102776,2,,30,,2.0,2.0,,,1.0,,,,,2.0,,,,,1.0,1.0,5.0,,,1.0,,,7.0,1.0,2.0,1.0,1.0,,,
10411546,home,Salernitana,Boulaye Dia,dia-boulaye,B. Dia,F,180,11046,M,960080,EUR,848102400,F,29,29,False,13.0,10.0,,,3.0,3.0,7.0,10.0,2.0,2.0,,,,,,,65.0,25.0,6.8,8.0,0.0863,0.0,0.0441613,1,,19,,3.0,3.0,,,,1.0,,,,,,,,,2.0,,2.0,,1.0,2.0,2.0,1.0,,,1.0,,,boulaye_dia,,
