match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_fouls,stat_keyPass,captain,stat_bigChanceMissed,stat_accurateCross,stat_dispossessed,player_firstName,player_lastName,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,stat_goalkeeperValueNormalized
14572798,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4403,M,lukaszskorupski28,44906,EUR,673401600,G,1,1,False,48.0,38.0,19.0,9.0,0.0,34.0,37.0,4.0,11.0,2.0,5.0,1.0,1.0,90.0,55.0,6.8,10.0,0.0054129,0.0,0,0.06,-0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572798,home,Bologna,Emil Holm,emil-holm,E. Holm,D,2,191,1731,M,,965264,EUR,958176000,D,2,2,False,30.0,24.0,4.0,2.0,0.0,11.0,13.0,13.0,17.0,7.0,3.0,,,90.0,73.0,7.6,16.0,0.0183378,,1,0.08,0.07,0.35,4.0,1.0,3.0,5.0,9.0,1.0,6.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0445,-0.18,,,,,,,,,,,,,,,,,,,,
14572798,home,Bologna,Torbjørn Heggem,torbjorn-heggem,T. Heggem,D,14,192,763,M,,933264,EUR,916099200,D,14,14,False,45.0,43.0,7.0,6.0,0.0,32.0,32.0,11.0,13.0,3.0,2.0,,,90.0,53.0,7.1,3.0,0.00871679,,2,0.08,0.04,0.15,,,1.0,,2.0,,,,,,,1.0,,1.0,,0.1006,-0.38,2.0,1.0,,,,,,,,,,,,,,,,,,
14572798,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4572,M,,818481,EUR,898819200,D,26,26,False,61.0,55.0,8.0,6.0,0.0,28.0,32.0,27.0,29.0,3.0,9.0,,,90.0,76.0,8.3,8.0,0.0157476,,1,0.25,0.14,0.42,2.0,,1.0,,6.0,,,,,1.0,2.0,2.0,1.0,,3.0,0.0389,0.22,,,1.0,1.0,0.5169,,,,,,,,,,,,,,,
14572798,home,Bologna,Charalampos Lykogiannis,charalampos-lykogiannis,C. Lykogiannīs,D,22,188,699,M,,98212,EUR,751248000,D,22,22,False,12.0,9.0,3.0,1.0,0.0,6.0,8.0,3.0,4.0,1.0,,,,23.0,20.0,4.4,8.0,0.00491286,,0,0.02,0.04,-0.02,4.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,
14572798,home,Bologna,Nikola Moro,nikola-moro,N. Moro,M,6,182,2512,M,,814882,EUR,889660800,M,6,6,False,50.0,45.0,9.0,6.0,0.0,11.0,13.0,34.0,37.0,2.0,5.0,,,82.0,65.0,7.3,7.0,0.0350912,,1,0.3,0.11,0.3,,1.0,,4.0,3.0,2.0,1.0,,1.0,2.0,1.0,,,1.0,3.0,0.0123,-0.05,,,,,,,1.0,,,,,,,,,,,,,
14572798,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181,1987,M,,907152,EUR,935452800,M,19,19,False,67.0,58.0,4.0,3.0,0.0,21.0,22.0,37.0,45.0,3.0,6.0,,,90.0,86.0,6.9,13.0,0.030743,,2,0.17,0.1,-0.03,2.0,3.0,2.0,4.0,4.0,,,,,,3.0,1.0,,1.0,1.0,0.1788,0.16,1.0,,1.0,,0.1664,2.0,,True,1.0,,,,,,,,,,,
14572798,home,Bologna,Federico Bernardeschi,federico-bernardeschi,F. Bernardeschi,M,10,185,3304,M,,294597,EUR,761270400,M,10,10,False,26.0,21.0,4.0,2.0,0.0,5.0,6.0,16.0,20.0,,4.0,,,75.0,51.0,6.9,16.0,0.236845,,2,0.27,0.33,-0.03,6.0,,,6.0,5.0,1.0,5.0,2.0,1.0,,,2.0,1.0,2.0,1.0,0.0685,-0.32,1.0,,,,,,3.0,,,2.0,2.0,,,,,,,,,
14572798,home,Bologna,Giovanni Fabbian,giovanni-fabbian,G. Fabbian,M,80,186,1393,M,,1067204,EUR,1042502400,M,80,80,False,2.0,1.0,,,0.0,1.0,1.0,,1.0,,,,,29.0,9.0,6.5,3.0,5.514e-05,,1,0.07,0.03,0.0,,1.0,1.0,3.0,1.0,,1.0,,1.0,,,,,,,0.0462,-0.03,,,,,,1.0,,,,,1.0,,,,,,,,,
14572798,home,Bologna,Nicolò Cambiaghi,cambiaghi-nicolo,N. Cambiaghi,F,28,173,1137,M,,971005,EUR,977961600,M,28,28,False,21.0,19.0,1.0,1.0,0.0,5.0,5.0,14.0,16.0,,1.0,,,75.0,42.0,6.7,12.0,0.0228581,,2,-0.17,0.41,0.13,5.0,3.0,,5.0,4.0,,,,1.0,,,,,2.0,4.0,0.0693,-0.44,1.0,,,,,,,,,,2.0,,,,,,,,,
