match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalCross,stat_aerialLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,player_firstName,player_lastName,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_keyPass,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalAssist
10406985,home,KV Oostende,Dillon Phillips,dillon-phillips,D. Phillips,G,12,188,49,M,377166,EUR,802828800,G,1,1,False,29.0,21.0,15.0,7.0,16.0,18.0,5.0,11.0,6.0,1.0,90.0,34.0,6.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406985,home,KV Oostende,Osaze Urhoghide,osaze-urhoghide,O. Urhoghide,D,3,188,130,M,915129,EUR,962668800,D,2,2,False,43.0,34.0,4.0,1.0,21.0,26.0,13.0,17.0,3.0,,81.0,52.0,6.0,11.0,0,3.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
10406985,home,KV Oostende,Matej Rodin,matej-rodin,M. Rodin,D,80,193,120,M,834079,EUR,824169600,D,88,88,False,57.0,42.0,10.0,2.0,34.0,38.0,8.0,20.0,7.0,,90.0,83.0,6.8,19.0,2,2.0,6.0,6.0,,,2.0,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,,,,,,,,,,,,,,
10406985,home,KV Oostende,Anton Tanghe,tanghe-anton,A. Tanghe,D,3,194,72,M,1005175,EUR,917481600,D,33,33,False,60.0,44.0,10.0,6.0,28.0,33.0,16.0,28.0,8.0,,90.0,73.0,6.3,19.0,1,1.0,3.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,3.0,,,,True,,,,,,,,,,,,,
10406985,home,KV Oostende,Tatsuhiro Sakamoto,sakamoto-tatsuhiro,T. Sakamoto,M,7,170,1000,M,978927,EUR,845942400,M,18,18,False,31.0,17.0,4.0,1.0,9.0,14.0,10.0,21.0,5.0,,90.0,64.0,7.2,21.0,3,1.0,7.0,10.0,5.0,4.0,,1.0,3.0,2.0,4.0,,3.0,1.0,1.0,2.0,,2.0,2.0,,,,2.0,1.0,1.0,1.0,3.0,,,,,,
10406985,home,KV Oostende,Kenny Rocha Santos,kenny-rocha-santos,K. R. Santos,M,10,174,108,M,867520,EUR,946857600,M,10,10,False,55.0,39.0,13.0,5.0,16.0,22.0,24.0,39.0,9.0,,90.0,82.0,6.8,26.0,0,2.0,7.0,7.0,2.0,,2.0,,1.0,3.0,6.0,,2.0,,,1.0,,4.0,4.0,,,,1.0,,,,3.0,,,,,,
10406985,home,KV Oostende,Alfons Amade,alfons-amade,A. Amade,M,14,172,402,M,836701,EUR,942364800,M,23,23,False,37.0,31.0,1.0,,8.0,10.0,23.0,27.0,8.0,,79.0,51.0,7.1,9.0,0,,2.0,5.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,4.0,4.0,,,,,1.0,,,,,,,,,
10406985,home,KV Oostende,Théo Ndicka Matam,theo-ndicka-matam,T. N. Matam,D,,169,54,M,963070,EUR,956188800,M,7,7,False,31.0,25.0,1.0,,10.0,12.0,15.0,21.0,4.0,,67.0,50.0,6.1,12.0,1,,4.0,,2.0,,,1.0,,,2.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,
10406985,home,KV Oostende,David Atanga,david-atanga,D. Atanga,F,17,176,145,M,786187,EUR,851472000,F,77,77,False,28.0,23.0,1.0,,7.0,9.0,16.0,20.0,5.0,,67.0,37.0,6.8,9.0,2,,1.0,2.0,1.0,,,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,
10406985,home,KV Oostende,Nick Bätzner,nick-batzner,N. Bätzner,M,9,170,71,M,959635,EUR,953078400,F,34,34,False,33.0,26.0,1.0,,7.0,8.0,19.0,25.0,4.0,,79.0,45.0,7.4,11.0,1,1.0,3.0,3.0,1.0,1.0,1.0,3.0,,2.0,,,1.0,,,,,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,
