match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_clearanceOffLine,stat_unsuccessfulTouch,stat_expectedGoals,stat_fouls,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_blockedScoringAttempt,stat_goals
12501583,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,35.0,34.0,8.0,7.0,0.0,33.0,34.0,1.0,1.0,1.0,9.0,3.0,5.0,1.0,1.0,90.0,50.0,7.6,1.0,0.00419683,0,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501583,home,Inter,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,benpavard21,787505,EUR,827971200,D,28,28,False,11.0,10.0,,,0.0,8.0,8.0,2.0,3.0,,,,,,,15.0,12.0,6.6,1.0,0.00029987,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501583,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192,5573,M,,126816,EUR,571449600,D,15,15,False,82.0,75.0,4.0,2.0,0.0,39.0,44.0,38.0,41.0,,6.0,,,,,90.0,97.0,7.5,8.0,0.113552,0,,1.0,3.0,2.0,2.0,6.0,3.0,10.0,1.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12501583,home,Inter,Carlos Augusto,carlos-augusto,C. Augusto,D,30,184,7355,M,,929199,EUR,915667200,D,30,30,False,112.0,105.0,4.0,4.0,0.0,58.0,59.0,47.0,53.0,,6.0,,,,,90.0,124.0,8.0,9.0,0.104938,1,,,,,2.0,2.0,3.0,4.0,,2.0,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,0.0723,,,,,,,,,,,
12501583,home,Inter,Matteo Darmian,matteo-darmian,M. Darmian,M,36,182,3779,M,,19352,EUR,628560000,M,36,36,False,21.0,18.0,3.0,1.0,0.0,8.0,8.0,12.0,15.0,1.0,3.0,,,,,63.0,32.0,6.8,4.0,0.0457039,0,,2.0,2.0,2.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,
12501583,home,Inter,Davide Frattesi,davide-frattesi,D. Frattesi,M,16,178,5601,M,davidefrrattesi_22,835600,EUR,937958400,M,16,16,False,6.0,4.0,,,0.0,,,5.0,7.0,,,,,,,80.0,19.0,6.9,7.0,0.0436506,0,,1.0,1.0,1.0,1.0,,5.0,4.0,,,2.0,1.0,2.0,3.0,,,,2.0,,,,3.0,,2.0,,,,,,,,,,
12501583,home,Inter,Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,64.0,58.0,3.0,3.0,0.0,28.0,28.0,32.0,42.0,2.0,4.0,,,,,90.0,87.0,7.4,16.0,0.293497,3,,,6.0,2.0,1.0,,5.0,4.0,1.0,,3.0,2.0,1.0,2.0,,,2.0,,,3.0,,3.0,0.0608,2.0,,,,,,,,,,
12501583,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,56.0,49.0,4.0,2.0,0.0,16.0,16.0,34.0,46.0,,4.0,,,,,80.0,75.0,6.8,16.0,0.233231,1,,,6.0,1.0,1.0,,5.0,4.0,1.0,,2.0,1.0,2.0,1.0,,,2.0,1.0,,1.0,,1.0,0.0387,,,,,,,,,,,
12501583,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,38.0,30.0,1.0,,0.0,5.0,7.0,26.0,38.0,2.0,4.0,,,,,63.0,61.0,7.0,17.0,0.132119,2,,,7.0,1.0,1.0,1.0,4.0,3.0,,,2.0,2.0,,1.0,,,2.0,1.0,,1.0,,,0.0678,,1.0,0.0455,,,,,,,,
12501583,home,Inter,Lautaro Martínez,lautaro-martinez,L. Martínez,F,10,175,122092,M,LautaroM,823984,EUR,872208000,F,10,10,False,27.0,21.0,1.0,1.0,0.0,6.0,7.0,15.0,21.0,,,,,,,90.0,50.0,7.3,18.0,0.115469,5,,,1.0,,1.0,1.0,11.0,2.0,,1.0,,,1.0,3.0,,,6.0,,,5.0,,4.0,0.3675,4.0,,,True,1.0,,,,,,
12501583,home,Inter,Marko Arnautović,marko-arnautovic,M. Arnautović,F,89,192,8675,M,m.arnautovic7,21927,EUR,608947200,F,8,8,False,16.0,13.0,,,0.0,1.0,1.0,12.0,15.0,,,,,,,90.0,23.0,6.6,6.0,0.276714,3,,,,,2.0,3.0,3.0,4.0,,,,,1.0,,,,1.0,,,3.0,,1.0,0.3626,,,,,,1.0,1.0,,,,
12501583,home,Inter,Yann Bisseck,yann-bisseck,Y. Bisseck,D,31,194,5415,M,,906275,EUR,975456000,D,31,31,True,78.0,73.0,1.0,1.0,0.0,38.0,41.0,35.0,39.0,1.0,6.0,,,,,75.0,87.0,6.9,9.0,0.130017,0,,1.0,2.0,,1.0,2.0,1.0,3.0,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,
