match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_ownGoals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_errorLeadToAGoal,stat_goals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_fouls,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_totalOffside,captain,stat_clearanceOffLine,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork
10382254,home,FC Volendam,Filip Stanković,filip-stankovic,F. Stanković,G,1,185.0,1035,M,986355,EUR,1014595200,G,1,1,False,34.0,17.0,27.0,11.0,10.0,15.0,7.0,19.0,1.0,14.0,1.0,2.0,2.0,8.0,90.0,54.0,7.5,19.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382254,home,FC Volendam,Oskar Buur,oskar-buur,O. Buur,D,2,178.0,84,M,797688,EUR,891302400,D,2,2,False,27.0,17.0,3.0,,8.0,11.0,9.0,17.0,1.0,7.0,,,,,90.0,52.0,6.4,15.0,1,1.0,1.0,7.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10382254,home,FC Volendam,Xavier Mbuyamba,xavier-mbuyamba,X. Mbuyamba,D,3,195.0,632,M,974020,EUR,1009756800,D,31,31,False,52.0,33.0,5.0,2.0,21.0,27.0,12.0,25.0,5.0,5.0,,,,,90.0,64.0,6.6,19.0,0,,6.0,6.0,6.0,,1.0,1.0,,2.0,1.0,1.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,
10382254,home,FC Volendam,Benaissa Benamar,benaissa-benamar,B. Benamar,D,5,191.0,226,M,970791,EUR,860457600,D,6,6,False,57.0,54.0,10.0,8.0,33.0,34.0,21.0,23.0,4.0,9.0,,,,,90.0,71.0,8.2,5.0,1,,,,1.0,,,,1.0,2.0,,,,,,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,,
10382254,home,FC Volendam,Josh Flint,josh-flint,J. Flint,D,28,186.0,47,M,966460,EUR,971395200,D,28,28,False,54.0,45.0,6.0,1.0,20.0,23.0,26.0,32.0,1.0,4.0,,,,,65.0,68.0,6.4,11.0,2,1.0,1.0,3.0,3.0,,2.0,,1.0,1.0,,,1.0,,,3.0,,,1.0,,1.0,1.0,,,,,,,,,,,,
10382254,home,FC Volendam,Derry Murkin,derry-murkin,D. Murkin,D,2,183.0,178,M,946561,EUR,933033600,D,5,5,False,45.0,41.0,5.0,4.0,18.0,19.0,25.0,32.0,1.0,8.0,,,,,90.0,73.0,7.1,15.0,1,6.0,,3.0,6.0,1.0,1.0,1.0,,1.0,1.0,1.0,4.0,,,3.0,,,1.0,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,
10382254,home,FC Volendam,Daryl van Mieghem,daryl-van-mieghem,D. v. Mieghem,M,7,175.0,120,M,163539,EUR,628819200,M,7,7,False,23.0,15.0,2.0,,5.0,7.0,12.0,21.0,,2.0,,,,,90.0,42.0,8.3,14.0,5,5.0,,4.0,3.0,1.0,2.0,2.0,2.0,,1.0,,3.0,,,,,1.0,,1.0,2.0,,3.0,,1.0,1.0,2.0,1.0,1.0,,,,,
10382254,home,FC Volendam,Carel Eiting,carel-eiting,C. Eiting,M,6,178.0,347,M,803025,EUR,887155200,M,8,8,False,31.0,23.0,3.0,2.0,4.0,6.0,23.0,34.0,1.0,7.0,,,,,90.0,48.0,7.8,14.0,1,9.0,2.0,3.0,3.0,1.0,,,,1.0,2.0,1.0,5.0,,,1.0,,,,1.0,4.0,,1.0,,,,,,,True,,,,
10382254,home,FC Volendam,Florent Sanchez Da Silva,sanchez-da-silva-florent,F. S. D. Silva,M,7,178.0,222,M,1385467,EUR,1049241600,M,12,12,False,28.0,24.0,3.0,2.0,10.0,12.0,14.0,16.0,,,,,,,45.0,33.0,6.5,4.0,0,,2.0,5.0,2.0,2.0,,,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,
10382254,home,FC Volendam,Francesco Antonucci,francesco-antonucci,F. Antonucci,M,10,171.0,173,M,826175,EUR,929836800,M,19,19,False,27.0,21.0,5.0,3.0,4.0,5.0,17.0,24.0,1.0,2.0,,,,,65.0,36.0,6.6,10.0,2,2.0,1.0,4.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
10382254,home,FC Volendam,Henk Veerman,henk-veerman,H. Veerman,F,9,201.0,406,M,313264,EUR,667526400,F,9,9,False,13.0,7.0,,,5.0,5.0,2.0,8.0,,2.0,,,,,77.0,24.0,6.7,9.0,4,,4.0,7.0,4.0,1.0,,,2.0,,,,,Henk,Veerman,4.0,,,1.0,1.0,,2.0,,,,,2.0,,2.0,,,,,
10382254,home,FC Volendam,Damon Mirani,damon-mirani,D. Mirani,D,4,182.0,56,M,318575,EUR,831945600,D,4,4,True,31.0,20.0,2.0,,7.0,12.0,13.0,19.0,,4.0,,,,,45.0,35.0,6.4,12.0,1,,,2.0,2.0,,,,1.0,,,,,,,2.0,,,,1.0,,,,,2.0,,,,,,,,,
