match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_aerialWon,captain,stat_aerialLost,stat_outfielderBlock,stat_fouls,stat_accurateCross,stat_goalAssist,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goodHighClaim
11352617,home,Liverpool,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,9953,M,caoimhinkelleher98,827362,EUR,911779200,G,62,62,False,38.0,36.0,5.0,3.0,33.0,33.0,3.0,5.0,7.0,2.0,2.0,90.0,46.0,6.9,2.0,0.00055664,1.0,0,-0.0349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352617,home,Liverpool,Conor Bradley,,,bradley-conor,C. Bradley,D,12,181,15946,M,conorbradley03,1008402,EUR,1057708800,D,84,84,False,49.0,42.0,1.0,1.0,15.0,16.0,27.0,34.0,7.0,,,90.0,81.0,8.2,12.0,0.186123,4.0,2,,1.0,5.0,11.0,1.0,2.0,6.0,4.0,1.0,1.0,2.0,3.0,6.0,5.0,1.0,1.0,0.1074,,,,,,,,,,,,,,
11352617,home,Liverpool,Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,190,10315,M,jarellquansah,1003339,EUR,1043798400,D,78,78,False,114.0,102.0,13.0,5.0,56.0,61.0,46.0,53.0,5.0,,,90.0,126.0,7.2,13.0,0.0235227,1.0,0,,,2.0,4.0,1.0,,1.0,,,,2.0,4.0,2.0,1.0,,,,2.0,,,,,,,,,,,,,
11352617,home,Liverpool,Virgil van Dijk,,,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,51.0,45.0,1.0,1.0,25.0,28.0,20.0,23.0,1.0,,,90.0,57.0,6.8,6.0,0.0123791,1.0,0,,,4.0,2.0,,,,,,,3.0,,,,,,,2.0,True,2.0,1.0,2.0,,,,,,,,,
11352617,home,Liverpool,Joe Gomez,,,joe-gomez,J. Gomez,D,2,188,14125,M,joegomez5,318927,EUR,864345600,D,2,2,False,43.0,39.0,3.0,2.0,15.0,15.0,25.0,29.0,7.0,,,90.0,64.0,6.8,8.0,0.082239,1.0,0,,1.0,6.0,4.0,,2.0,1.0,,,,1.0,1.0,3.0,2.0,1.0,,,,,,,3.0,1.0,,,,,,,,
11352617,home,Liverpool,Alexis Mac Allister,,,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,64.0,59.0,6.0,3.0,17.0,17.0,42.0,49.0,6.0,,,90.0,91.0,8.0,11.0,0.514492,5.0,5,,2.0,8.0,5.0,1.0,3.0,,,2.0,3.0,3.0,1.0,3.0,,2.0,,0.1882,,,,1.0,4.0,,1.0,1.0,1.0,,,,,
11352617,home,Liverpool,Wataru Endo,,,wataru-endo,W. Endo,M,3,178,19869,M,endowataru,143040,EUR,729216000,M,3,3,False,67.0,63.0,2.0,1.0,32.0,32.0,31.0,35.0,2.0,,,90.0,80.0,6.8,6.0,0.0363608,,0,,,7.0,3.0,1.0,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,,,,,,2.0,,3.0,,,,,,,,,
11352617,home,Liverpool,Dominik Szoboszlai,,,dominik-szoboszlai,D. Szoboszlai,M,8,187,72138,M,DomSzobo,869856,EUR,972432000,M,8,8,False,54.0,48.0,2.0,,13.0,15.0,37.0,48.0,6.0,,,89.0,73.0,7.2,14.0,0.138895,3.0,3,,9.0,6.0,3.0,3.0,,,,2.0,1.0,,1.0,1.0,,1.0,,0.1098,2.0,,1.0,,2.0,2.0,,,1.0,,,,,
11352617,home,Liverpool,Mohamed Salah,,,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,F,11,11,False,37.0,29.0,2.0,2.0,6.0,6.0,23.0,31.0,6.0,,,90.0,74.0,7.4,25.0,0.0818844,1.0,12,,,9.0,4.0,,3.0,9.0,3.0,5.0,3.0,,,,,,1.0,1.5001,1.0,,,,,,,,5.0,2.0,4.0,1.0,1.563,
11352617,home,Liverpool,Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188,70760,M,Darwin,924871,EUR,930182400,F,9,9,False,17.0,13.0,,,2.0,2.0,11.0,15.0,3.0,,,83.0,28.0,7.1,7.0,0.0347258,1.0,2,,,2.0,1.0,,1.0,,,,,2.0,,1.0,,,1.0,0.2507,,,1.0,,,,,,,,2.0,,0.3518,
