match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialWon,stat_interceptionWon,player_firstName,player_lastName,stat_shotOffTarget,stat_outfielderBlock,stat_challengeLost,stat_wonContest,stat_keyPass,stat_dispossessed,stat_totalOffside,player_sofascoreId,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,stat_punches,stat_goals
11452981,home,Al-Fayha,Vladimir Stojković,vladimir-stojkovic,V. Stojković,G,28,194,228,M,13691,EUR,428198400,G,88,88,False,22.0,17.0,7.0,2.0,15.0,15.0,2.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,26.0,6.7,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452981,home,Al-Fayha,Mohammed Al Baqawi,mohammed-al-baqawi,M. A. Baqawi,D,22,170,21,M,893199,EUR,805507200,D,22,22,False,28.0,21.0,1.0,1.0,11.0,13.0,10.0,17.0,3.0,3.0,2.0,2.0,,,,78.0,43.0,6.7,11.0,0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
11452981,home,Al-Fayha,Sami Al-Khaibary,sami-al-khaibary,S. Al-Khaibary,D,4,185,15,M,893198,EUR,622080000,D,4,4,False,37.0,34.0,5.0,4.0,21.0,21.0,13.0,16.0,4.0,8.0,2.0,2.0,,,,90.0,52.0,7.4,5.0,0,,1.0,1.0,,6.0,2.0,1.0,,True,1.0,4.0,,,,,,,,,,,,,,,,
11452981,home,Al-Fayha,Hussain Al-Shuweish,hussain-al-showaish,H. Al-Shuweish,D,33,185,17,M,818758,EUR,625881600,D,33,33,False,21.0,14.0,7.0,3.0,13.0,16.0,1.0,5.0,,2.0,,,,,,45.0,23.0,6.5,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452981,home,Al-Fayha,Ghislain Konan,ghislain-konan,G. Konan,D,3,176,2811,M,831781,EUR,820022400,D,3,3,False,27.0,23.0,2.0,,7.0,7.0,16.0,21.0,3.0,4.0,1.0,1.0,,,,90.0,48.0,7.3,7.0,2,1.0,,,,1.0,,2.0,,,,1.0,Ghislain,Konan,2.0,1.0,,,,,,,,,,,,
11452981,home,Al-Fayha,Ricardo Ryller,ricardo-ryller,R. Ryller,M,28,176,231,M,870943,EUR,762307200,M,37,37,False,45.0,36.0,17.0,12.0,13.0,17.0,23.0,28.0,5.0,5.0,3.0,1.0,,,,90.0,57.0,7.5,9.0,1,,,3.0,1.0,3.0,,1.0,1.0,,,2.0,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,
11452981,home,Al-Fayha,Sultan Mandash,sultan-mandash,S. Mandash,F,23,175,362,M,818568,EUR,782352000,M,27,27,False,17.0,11.0,1.0,,4.0,7.0,7.0,10.0,4.0,1.0,,,,,,70.0,26.0,6.0,10.0,0,,,8.0,4.0,,,1.0,3.0,,1.0,,,,,,2.0,2.0,,2.0,1.0,,,,,,,
11452981,home,Al-Fayha,Gojko Cimirot,gojko-cimirot,G. Cimirot,M,59,178,253,M,116604,EUR,724723200,M,13,13,False,18.0,17.0,2.0,2.0,8.0,8.0,9.0,10.0,1.0,4.0,,,,,,70.0,23.0,6.3,2.0,0,,,5.0,1.0,2.0,,1.0,3.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,
11452981,home,Al-Fayha,Abdelhamid Sabiri,abdelhamid-sabiri,A. Sabiri,M,11,186,4174,M,807400,EUR,849139200,M,77,77,False,48.0,40.0,8.0,5.0,9.0,10.0,32.0,43.0,12.0,5.0,4.0,3.0,,,,90.0,82.0,8.2,20.0,7,5.0,,9.0,5.0,1.0,3.0,4.0,6.0,,1.0,1.0,,,4.0,,,3.0,1.0,2.0,,abdelhamidsabiri,1.0,2.0,1.0,2.0,,
11452981,home,Al-Fayha,Henry Onyekuru,henry-onyekuru,H. Onyekuru,F,7,175,741,M,809220,EUR,865468800,M,7,7,False,17.0,15.0,1.0,1.0,4.0,5.0,11.0,12.0,1.0,3.0,,,,,,89.0,30.0,6.1,10.0,0,,2.0,11.0,6.0,,1.0,,1.0,,,2.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,
