match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_fouls,captain,stat_aerialWon,stat_totalContest,stat_wasFouled,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_shotValueNormalized,stat_challengeLost,player_sofascoreId,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_punches,stat_ownGoals,stat_totalOffside
14401258,home,Genoa,Nicola Leali,nicola-leali,N. Leali,G,1,193.0,612,M,98059,EUR,729907200.0,G,1,1,False,35.0,30.0,8.0,3.0,0.0,28.0,30.0,2.0,5.0,1.0,6.0,1.0,1.0,2.0,90.0,42.0,7.7,5.0,0.5207,0,-0.01,0.0,0.27,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14401258,home,Genoa,Brooke Norton-Cuffy,brooke-norton-cuffy,B. Norton-Cuffy,D,15,181.0,1219,M,1087514,EUR,1073865600.0,D,15,15,False,96.0,90.0,4.0,1.0,0.0,62.0,66.0,28.0,30.0,1.0,6.0,,,,90.0,115.0,7.3,8.0,,0,0.25,0.22,0.23,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14401258,home,Genoa,Alessandro Marcandalli,alessandro-marcandalli,A. Marcandalli,D,27,190.0,312,M,1068885,EUR,1035504000.0,D,27,27,False,75.0,71.0,2.0,1.0,0.0,65.0,68.0,6.0,7.0,1.0,3.0,,,,70.0,85.0,6.9,5.0,,0,0.1,0.05,0.19,,,,,,2.0,3.0,2.0,3.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
14401258,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185.0,4792,M,889785,EUR,909014400.0,D,22,22,False,85.0,74.0,8.0,2.0,0.0,61.0,62.0,13.0,23.0,3.0,2.0,,,,90.0,95.0,7.2,13.0,,0,0.02,0.05,0.22,,,,,,,2.0,7.0,1.0,1.0,1.0,1.0,,2.0,True,5.0,1.0,1.0,,,,,,,,,,,,,,,
14401258,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180.0,1162,M,797286,EUR,861667200.0,D,3,3,False,72.0,68.0,3.0,3.0,1.0,31.0,31.0,37.0,41.0,1.0,3.0,,,,90.0,87.0,7.4,10.0,,0,0.28,0.24,0.0,,,,4.0,,,3.0,2.0,2.0,,,,1.0,1.0,,,3.0,,1.0,2.0,1.0,,,,,,,,,,,,
14401258,home,Genoa,Patrizio Masini,patrizio-masini,P. Masini,M,73,182.0,279,M,970998,EUR,980553600.0,M,73,73,False,68.0,63.0,5.0,4.0,0.0,38.0,39.0,25.0,29.0,1.0,5.0,,,,90.0,84.0,7.5,7.0,,2,-0.24,0.32,0.23,,,,,,,1.0,7.0,3.0,1.0,1.0,2.0,,1.0,,,2.0,4.0,,2.0,,2.0,1.0,-0.16,,,,,,,,,
14401258,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178.0,1684,M,918440,EUR,986601600.0,M,32,32,False,60.0,57.0,1.0,,0.0,22.0,23.0,35.0,37.0,,5.0,,,,90.0,74.0,6.7,6.0,,0,-0.15,0.23,-0.03,,,,,,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,
14401258,home,Genoa,Valentín Carboni,valentin-carboni,V. Carboni,M,21,185.0,7088,M,1153083,EUR,1109980800.0,M,23,23,False,34.0,30.0,1.0,1.0,0.0,7.0,7.0,23.0,27.0,,2.0,,,,59.0,48.0,9.0,5.0,,3,-0.18,0.53,0.0,,,,,,,1.0,8.0,,2.0,,1.0,2.0,1.0,,,4.0,2.0,,4.0,,,,0.67,,valencarboni,2.0,1.0,1.0,,,,
14401258,home,Genoa,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,8,171.0,4005,M,108673,EUR,736732800.0,M,8,8,False,60.0,53.0,7.0,5.0,0.0,20.0,21.0,33.0,39.0,,8.0,,,,80.0,73.0,8.0,13.0,,3,0.05,0.28,0.14,,,,5.0,1.0,,2.0,1.0,,,,,3.0,,,,,1.0,2.0,,1.0,1.0,,0.52,,,2.0,,1.0,,,,
14401258,home,Genoa,Albert Grønbæk,albert-gronbaek,A. Grønbæk,M,11,176.0,1675,M,1000263,EUR,990576000.0,M,11,11,False,29.0,23.0,2.0,1.0,0.0,9.0,10.0,14.0,19.0,,3.0,,,,59.0,45.0,6.4,13.0,,1,0.07,0.32,-0.04,,,,,,,9.0,2.0,1.0,,,,,1.0,,,5.0,,4.0,2.0,,,,-0.35,1.0,,1.0,,,,,,
