match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,player_firstName,player_lastName,stat_shotOffTarget,stat_interceptionWon,stat_keyPass,stat_blockedScoringAttempt,stat_wasFouled,stat_totalContest,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,player_sofascoreId,captain,stat_totalOffside,stat_errorLeadToAGoal,stat_penaltyWon,stat_penaltyMiss
11027091,home,Sheffield United,Adam Davies,adam-davies,A. Davies,G,17,185,111,M,288997,EUR,711331200,G,1,1,False,10.0,6.0,6.0,2.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,90.0,16.0,7.1,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11027091,home,Sheffield United,Anel Ahmedhodžić,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1551,M,825899,EUR,922406400,D,15,15,False,40.0,35.0,,,23.0,25.0,12.0,17.0,3.0,4.0,,,,,,78.0,52.0,6.9,8.0,2,2.0,1.0,1.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
11027091,home,Sheffield United,John Egan,john-egan,J. Egan,D,15,185,216,M,100578,EUR,719539200,D,12,12,False,60.0,51.0,10.0,8.0,38.0,43.0,13.0,17.0,13.0,4.0,,,,,,90.0,81.0,7.8,9.0,4,,2.0,8.0,4.0,8.0,1.0,,1.0,,2.0,,,,,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,
11027091,home,Sheffield United,Jack Robinson,jack-robinson,J. Robinson,D,6,180,147,M,98454,EUR,746841600,D,19,19,False,63.0,49.0,4.0,1.0,16.0,22.0,33.0,44.0,3.0,8.0,,,,,,90.0,86.0,7.2,18.0,2,3.0,7.0,5.0,7.0,9.0,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,
11027091,home,Sheffield United,Chris Basham,chris-basham,C. Basham,D,,191,56,M,33854,EUR,585360000,M,6,6,False,36.0,31.0,2.0,,10.0,13.0,21.0,23.0,2.0,4.0,,,,,,90.0,52.0,6.7,7.0,0,,3.0,1.0,4.0,3.0,,,,,,2.0,2.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,
11027091,home,Sheffield United,Sander Berge,sander-berge,S. Berge,M,16,195,2096,M,793167,EUR,887414400,M,8,8,False,54.0,50.0,4.0,4.0,16.0,19.0,36.0,39.0,4.0,5.0,,,,,,90.0,72.0,8.2,7.0,4,4.0,1.0,2.0,3.0,5.0,,,1.0,1.0,,,,,,1.0,,,1.0,,5.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,
11027091,home,Sheffield United,Ismaila Cheick Coulibaly,ismaila-cheick-coulibaly,I. C. Coulibaly,M,4,183,274,M,873632,EUR,977702400,M,17,17,False,48.0,43.0,4.0,2.0,18.0,21.0,25.0,27.0,,6.0,,,,,,68.0,59.0,6.6,9.0,1,,,,3.0,4.0,,,,,,2.0,,1.0,,1.0,,,1.0,,,,1.0,2.0,,2.0,1.0,,,,,,,,
11027091,home,Sheffield United,Ben Osborn,ben-osborn,B. Osborn,M,23,176,75,M,282665,EUR,776044800,M,23,23,False,47.0,40.0,3.0,2.0,14.0,16.0,32.0,40.0,1.0,6.0,,,,,,90.0,65.0,8.2,12.0,1,9.0,,,,1.0,,,,,,1.0,1.0,2.0,,,Ben,Osborn,,,8.0,1.0,,,6.0,,,1.0,1.0,,,,,,
11027091,home,Sheffield United,James McAtee,james-mcatee,J. McAtee,M,24,180,10486,M,1003334,EUR,1034899200,F,28,28,False,38.0,29.0,1.0,1.0,5.0,5.0,25.0,36.0,1.0,1.0,,,,,,89.0,57.0,7.3,18.0,4,3.0,4.0,1.0,9.0,3.0,,1.0,,,,,,2.0,,,,,3.0,,6.0,1.0,,4.0,1.0,3.0,2.0,1.0,2.0,jamesmcatee_,,,,,
11027091,home,Sheffield United,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,55006,M,914309,EUR,952300800,F,29,29,False,33.0,30.0,,,5.0,5.0,25.0,30.0,,8.0,,,,,,90.0,51.0,7.2,14.0,1,2.0,2.0,,5.0,3.0,,,,,,2.0,1.0,5.0,,,,,,,5.0,1.0,,2.0,,2.0,1.0,,2.0,ilimanndiaye10,,,,,
11027091,home,Sheffield United,Billy Sharp,billy-sharp,B. Sharp,F,14,175,216,M,20514,EUR,507945600,F,10,10,False,27.0,22.0,,,7.0,8.0,16.0,23.0,3.0,4.0,,,,,,90.0,51.0,7.9,11.0,9,4.0,4.0,5.0,7.0,6.0,,1.0,4.0,1.0,,,,1.0,,1.0,,,2.0,,1.0,3.0,1.0,,1.0,2.0,,,,,True,1.0,,,
11027091,home,Sheffield United,Oliver Norwood,oliver-norwood,O. Norwood,M,26,180,229,M,100637,EUR,671414400,M,16,16,True,20.0,18.0,5.0,4.0,11.0,11.0,9.0,14.0,,3.0,,,,,,22.0,32.0,7.8,6.0,3,5.0,,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,3.0,2.0,,,2.0,,,,1.0,,,,,,
11027091,home,Sheffield United,Max Lowe,max-lowe,M. Lowe,D,3,175,110,M,355154,EUR,863308800,D,13,13,True,5.0,5.0,,,2.0,2.0,3.0,3.0,2.0,,,,,,,12.0,11.0,6.7,,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11027091,home,Sheffield United,Andre Brooks,andre-brooks,A. Brooks,M,11,180,248,M,1396445,EUR,1061337600,M,35,35,True,,,,,,,,,,,,,,,,1.0,1.0,,,0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11027091,home,Sheffield United,Wesley Foderingham,wesley-foderingham,W. Foderingham,G,25,185,330,M,187861,EUR,663811200,G,18,18,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11027091,home,Sheffield United,Ciaran Clark,ciaran-clark,C. Clark,D,,188,97,M,45680,EUR,622771200,D,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Ciaran,Clark,,,,,,,,,,,,,,,,,
11027091,home,Sheffield United,Joseph Starbuck,joseph-starbuck,J. Starbuck,D,21,172,10,M,993447,EUR,1028332800,M,42,42,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11027091,home,Sheffield United,Oliver Arblaster,oliver-arblaster,O. Arblaster,M,4,180,215,M,1191153,EUR,1073520000,M,30,30,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Oliver Arblaster,,,,,,,,,,,,,,,,,,
11027091,home,Sheffield United,Louie Marsh,louie-marsh,L. Marsh,F,30,176,95,M,1426132,EUR,1088640000,F,41,41,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11027091,away,Wrexham,Robert Lainton,robert-lainton,R. Lainton,G,,185,33,M,133192,EUR,624153600,G,1,1,False,30.0,14.0,27.0,11.0,5.0,8.0,9.0,22.0,1.0,10.0,6.0,,,6.0,1.0,90.0,40.0,7.2,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11027091,away,Wrexham,Anthony Forde,anthony-forde,A. Forde,M,26,175,48,M,153031,EUR,753408000,D,14,14,False,17.0,13.0,3.0,,6.0,7.0,7.0,11.0,,3.0,,,,,,90.0,26.0,5.5,10.0,0,1.0,,,5.0,,1.0,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,
11027091,away,Wrexham,Max Cleworth,max-cleworth,M. Cleworth,D,4,191,221,M,1002181,EUR,1028851200,D,32,32,False,16.0,10.0,3.0,,4.0,6.0,6.0,11.0,6.0,5.0,,,,,,90.0,40.0,6.2,9.0,0,1.0,6.0,,7.0,3.0,,,,,3.0,3.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,
11027091,away,Wrexham,Ben Tozer,ben-tozer,B. Tozer,D,,186,29,M,27654,EUR,636249600,D,4,4,False,26.0,24.0,9.0,8.0,15.0,17.0,10.0,10.0,6.0,4.0,,,,,,90.0,47.0,7.1,12.0,1,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,
11027091,away,Wrexham,Harry Lennon,harry-lennon,H. Lennon,D,,190,4,,362174,EUR,787536000,D,26,26,False,26.0,16.0,7.0,2.0,10.0,12.0,6.0,14.0,10.0,3.0,,,,,,74.0,42.0,7.0,10.0,0,,1.0,1.0,1.0,5.0,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,
11027091,away,Wrexham,Jacob Mendy,jacob-mendy,J. Mendy,D,40,182,220,M,1083063,EUR,851644800,D,19,19,False,17.0,11.0,2.0,,5.0,7.0,7.0,13.0,5.0,2.0,,,,,,60.0,31.0,6.6,10.0,0,3.0,2.0,3.0,4.0,5.0,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
11027091,away,Wrexham,James Jones,james-jones,J. Jones,M,35,175,34,M,582194,EUR,855792000,M,30,30,False,18.0,15.0,2.0,,11.0,12.0,4.0,7.0,2.0,3.0,,,,,,90.0,34.0,6.6,6.0,1,1.0,3.0,,6.0,1.0,1.0,,,,2.0,1.0,,2.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,
11027091,away,Wrexham,Luke Young,luke-young,L. Young,M,8,173,50,M,146165,EUR,730339200,M,8,8,False,26.0,16.0,2.0,,9.0,9.0,8.0,20.0,2.0,2.0,,,,,,90.0,35.0,6.7,13.0,0,3.0,,6.0,2.0,8.0,1.0,,,,,2.0,2.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,True,,,,
11027091,away,Wrexham,Andy Cannon,andy-cannon,A. Cannon,M,42,176,91,M,609594,EUR,826761600,M,20,20,False,27.0,23.0,1.0,,7.0,9.0,16.0,18.0,2.0,7.0,,,,,,82.0,39.0,6.5,7.0,0,,3.0,1.0,6.0,3.0,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,2.0,,1.0,1.0,,,,,,,,
11027091,away,Wrexham,Paul Mullin,paul-mullin,P. Mullin,F,14,178,1140,M,583192,EUR,784080000,F,10,10,False,10.0,9.0,,,2.0,2.0,7.0,10.0,,2.0,,,,,,82.0,29.0,7.5,9.0,4,2.0,3.0,,5.0,7.0,,1.0,2.0,1.0,,1.0,1.0,4.0,,,,,1.0,,,1.0,5.0,1.0,,2.0,1.0,,,,,,,2.0,1.0
11027091,away,Wrexham,Sam Dalby,sam-dalby,S. Dalby,F,10,191,322,M,858915,EUR,944524800,F,18,18,False,17.0,8.0,1.0,1.0,,1.0,8.0,16.0,1.0,1.0,,,,,,60.0,23.0,6.9,11.0,0,,5.0,6.0,5.0,7.0,,,,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
11027091,away,Wrexham,Liam McAlinden,liam-mcalinden,L. McAlinden,M,10,186,21,M,110788,EUR,749001600,F,11,11,True,7.0,3.0,2.0,,1.0,1.0,2.0,7.0,,1.0,,,,,,30.0,9.0,6.5,5.0,1,1.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
11027091,away,Wrexham,Ollie Palmer,ollie-palmer,O. Palmer,F,28,196,380,M,140586,EUR,695952000,F,9,9,True,15.0,8.0,1.0,,,,8.0,15.0,2.0,2.0,,,,,,30.0,23.0,6.8,7.0,2,,,5.0,1.0,6.0,,,,,1.0,,,,,1.0,,,,,1.0,2.0,,1.0,,,1.0,,,,,,,,
11027091,away,Wrexham,Thomas O'Connor,thomas-oconnor,T. O'Connor,D,29,180,111,M,1013707,EUR,924652800,M,22,22,True,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,16.0,3.0,6.3,,0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11027091,away,Wrexham,Elliot Lee,elliot-lee,E. Lee,M,18,180,212,M,303604,EUR,787536000,F,38,38,True,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,8.0,11.0,6.7,2.0,0,,,,3.0,2.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,
11027091,away,Wrexham,Jake Bickerstaff,jake-bickerstaff,J. Bickerstaff,F,20,188,52,M,1002248,EUR,1000166400,F,27,27,True,2.0,2.0,,,,,2.0,2.0,,,,,,,,8.0,4.0,6.4,2.0,0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,
11027091,away,Wrexham,Rory Watson,rory-watson,R. Watson,G,16,190,17,M,759364,EUR,823478400,G,31,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11027091,away,Wrexham,Aaron James,james-aaron,A. James,D,34,183,60,M,1468579,EUR,1120089600,D,34,34,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Aaron James,,,,,,,,,,,,,,,,,,
11027091,away,Wrexham,Bryce Hosannah,bryce-hosannah,B. Hosannah,D,23,175,25,M,988970,EUR,923529600,D,17,17,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11027091,away,Wrexham,Scott Butler,scott-butler,S. Butler,D,,185,10,M,1010017,EUR,1041206400,D,24,24,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Scott,Butler,,,,,,,,,,,,,,,,,
