match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_clearanceOffLine,stat_wasFouled,stat_wonContest,stat_challengeLost,stat_dispossessed,stat_accurateCross,player_firstName,player_lastName
12499342,home,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,26.0,21.0,7.0,3.0,0.0,20.0,23.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,34.0,7.2,5.0,0.00036091,0,0.0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499342,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,39.0,32.0,1.0,,0.0,11.0,11.0,21.0,30.0,4.0,5.0,,,,,,,90.0,63.0,8.3,11.0,0.0737819,3,,dilorenzo22,True,2.0,1.0,4.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.9612,1.218,1.0,,,,,,,,,,,
12499342,home,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,69.0,65.0,4.0,3.0,0.0,25.0,26.0,40.0,43.0,1.0,4.0,,,,,,,90.0,80.0,8.2,5.0,0.0461852,4,,,,,1.0,7.0,3.0,8.0,,,,2.0,,3.0,,1.0,1.0,2.0,,0.2854,,1.0,2.0,1.0,,,,,,,,,
12499342,home,Napoli,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,64.0,58.0,3.0,2.0,0.0,25.0,27.0,33.0,37.0,,4.0,,,,,,,90.0,72.0,7.3,7.0,0.389361,0,,,,,2.0,2.0,4.0,3.0,1.0,,,,,1.0,3.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,
12499342,home,Napoli,Mathías Olivera,mathias-olivera,M. Olivera,D,17,184,3517,M,805078,EUR,878256000,D,17,17,False,54.0,47.0,,,0.0,14.0,17.0,33.0,37.0,1.0,4.0,,,,,,,90.0,76.0,7.7,10.0,0.0337174,1,,,,,2.0,2.0,2.0,5.0,1.0,,,,,1.0,1.0,2.0,2.0,,,0.1419,,1.0,1.0,2.0,,,,1.0,,,,,
12499342,home,Napoli,Frank Anguissa,frank-anguissa,F. Anguissa,M,99,184,12968,M,787941,EUR,816480000,M,99,99,False,81.0,68.0,7.0,4.0,0.0,18.0,22.0,50.0,59.0,,6.0,,,,,,,90.0,93.0,7.4,15.0,0.0623401,1,,anguiss_29,,,2.0,6.0,5.0,10.0,2.0,,,1.0,,,1.0,2.0,1.0,,,0.0206,,2.0,,,,,1.0,1.0,1.0,1.0,,,
12499342,home,Napoli,Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4342,M,907668,EUR,992217600,M,6,6,False,68.0,60.0,4.0,4.0,0.0,13.0,13.0,49.0,59.0,,5.0,,,,,,,71.0,77.0,8.0,11.0,0.485431,1,,billygilmour,,4.0,2.0,4.0,4.0,6.0,2.0,,,1.0,,,,1.0,,1.0,,0.0247,,4.0,,,,,,1.0,,,2.0,,
12499342,home,Napoli,Scott McTominay,scott-mctominay,S. McTominay,M,8,193,25748,M,879346,EUR,850003200,M,8,8,False,22.0,19.0,,,0.0,7.0,7.0,12.0,15.0,1.0,4.0,,,,,,,90.0,34.0,6.6,7.0,0.00987206,4,,ScottMcTominay,,,3.0,3.0,8.0,5.0,2.0,1.0,1.0,2.0,,,1.0,,,2.0,,0.3308,0.0565,1.0,1.0,1.0,,,2.0,,1.0,,,,
12499342,home,Napoli,Cyril Ngonge,cyril-ngonge,C. Ngonge,F,16,179,1937,M,877037,EUR,959299200,F,26,26,False,14.0,14.0,,,0.0,3.0,3.0,12.0,18.0,3.0,,,,,,,,57.0,43.0,7.0,12.0,0.0834807,5,,,,7.0,2.0,,10.0,3.0,4.0,,3.0,2.0,,,,,,2.0,,0.3798,0.3043,1.0,,2.0,,,,3.0,2.0,3.0,1.0,,
12499342,home,Napoli,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,9,191,56823,M,78893,EUR,737251200,F,11,11,False,10.0,7.0,,,0.0,2.0,2.0,5.0,8.0,1.0,2.0,,,,,,,85.0,20.0,6.7,5.0,0.129784,2,,RLukaku,,,3.0,1.0,5.0,3.0,,1.0,1.0,,,,,1.0,1.0,,,0.4383,0.093,1.0,1.0,,,,1.0,,,2.0,,,
