match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_wasFouled,stat_shotOffTarget,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,captain,stat_accurateCross,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork
10411197,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,839,M,256667,EUR,797644800,G,30,30,False,24.0,9.0,20.0,5.0,5.0,8.0,4.0,16.0,2.0,2.0,5.0,1.0,12.0,1.0,5.0,7.0,3.0,90.0,48.0,8.0,16.0,0.0,0.0,0.0006542,19.510401367335,4.0,9.24,5.67,0,-0.2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411197,home,Lecce,Valentin Gendrey,,,valentin-gendrey,V. Gendrey,D,15,179,294,M,944899,EUR,961545600,D,17,17,False,30.0,24.0,2.0,,15.0,16.0,9.0,16.0,1.0,2.0,4.0,1.0,3.0,,,,,90.0,53.0,6.4,11.0,0.0,0.0,0.0100569,102.40076164582,9.0,44.52,15.54,0,,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10411197,home,Lecce,Mert Çetin,,,mert-cetin,M. Çetin,D,4,189,159,M,858148,EUR,852076800,D,4,4,False,3.0,2.0,1.0,,2.0,3.0,,,,2.0,1.0,1.0,3.0,,,,,21.0,9.0,6.6,3.0,0.0,0.0,2.365e-05,24.272507941751,2.0,-23.52,-8.82,0,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,
10411197,home,Lecce,Federico Baschirotto,,,federico-baschirotto,F. Baschirotto,D,6,187,1366,M,786175,EUR,843177600,D,6,6,False,31.0,25.0,6.0,4.0,19.0,22.0,6.0,9.0,3.0,5.0,10.0,2.0,2.0,,,,,90.0,50.0,7.1,6.0,0.1573,0.0,0.00314383,57.847595591351,7.0,43.155,17.745,1,,,1.0,2.0,,1.0,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
10411197,home,Lecce,Antonino Gallo,,,antonino-gallo,A. Gallo,D,25,183,673,M,945616,EUR,947030400,D,25,25,False,22.0,16.0,6.0,2.0,7.0,9.0,9.0,15.0,,,2.0,2.0,2.0,,,,,90.0,35.0,6.5,9.0,0.0,0.0,0.0150508,98.896366803639,9.0,66.675,37.17,0,,2.0,,1.0,,1.0,,,1.0,,,,1.0,37.229726885917,1.0,,,,,,,,,,,,,,
10411197,home,Lecce,Kristijan Bistrović,,,kristijan-bistrovic,K. Bistrović,M,23,182,367,M,796658,EUR,892080000,M,8,8,False,10.0,10.0,1.0,1.0,3.0,3.0,7.0,7.0,,1.0,2.0,,,,,,,74.0,19.0,6.2,3.0,0.1792,0.2193,0.00770592,33.399061315703,3.0,17.535,21.21,3,,,,4.0,1.0,,,,,,,1.0,,21.262693056149,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,
10411197,home,Lecce,Morten Hjulmand,Morten,Hjulmand,hjulmand-morten,M. Hjulmand,M,42,185,4443,M,859917,EUR,930268800,M,42,42,False,33.0,24.0,5.0,4.0,13.0,16.0,11.0,17.0,1.0,7.0,4.0,,8.0,,,,,90.0,45.0,6.8,10.0,0.0,0.0,0.00991269,42.492259472868,8.0,-0.73499999999997,6.3,0,,,1.0,4.0,,,2.0,2.0,,1.0,2.0,,2.0,,,1.0,2.0,2.0,,,True,,,,,,,,
10411197,home,Lecce,Joan González,,,joan-gonzalez,J. González,M,,190,178,M,1137730,EUR,1012521600,M,16,16,False,17.0,10.0,2.0,,6.0,9.0,4.0,8.0,2.0,5.0,1.0,2.0,5.0,,,,,74.0,29.0,6.2,10.0,0.0,0.0,0.00432987,102.83719237671,6.0,-58.17,3.36,0,,,2.0,9.0,3.0,,,,,,3.0,,1.0,,,2.0,1.0,,,,,,,,,,,,
10411197,home,Lecce,Gabriel Strefezza,,,gabriel-strefezza,G. Strefezza,M,7,168,2181,M,877201,EUR,861321600,F,27,27,False,20.0,13.0,5.0,1.0,5.0,6.0,11.0,21.0,1.0,9.0,1.0,,2.0,,,,,90.0,42.0,7.3,13.0,0.0955,0.0448,0.195724,130.8824463512,14.0,1.89,23.52,2,,7.0,1.0,6.0,,,2.0,1.0,,2.0,4.0,1.0,4.0,38.011897749293,2.0,1.0,3.0,2.0,1.0,,,3.0,,,,,,,
10411197,home,Lecce,Assan Ceesay,,,assan-ceesay,A. Ceesay,F,,188,448,M,842158,EUR,763862400,F,77,77,False,14.0,7.0,,,2.0,5.0,5.0,9.0,,3.0,,,3.0,,,,,63.0,21.0,7.3,7.0,0.1122,0.91,0.00907935,22.329245669518,4.0,5.775,8.82,2,,,,1.0,1.0,,,,,,3.0,,,,,,,,1.0,1.0,,,1.0,,,,,,
