match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_fouls,captain,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_aerialLost,stat_dispossessed,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_accurateCross,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,stat_goodHighClaim,stat_hitWoodwork
12694092,home,Crystal Palace,Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5014,M,deanhenderson,788134,EUR,858124800,G,1,1,False,20.0,19.0,2.0,1.0,0.0,19.0,20.0,5.0,3.0,3.0,90.0,25.0,7.3,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694092,home,Crystal Palace,Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175,679,M,,43215,EUR,670809600,D,17,17,False,53.0,46.0,10.0,5.0,0.0,23.0,25.0,6.0,,,90.0,58.0,6.8,7.0,0,23.0,28.0,5.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12694092,home,Crystal Palace,Marc Guéhi,,,marc-guehi,M. Guéhi,D,15,182,24476,M,MarcGuehi13,877994,EUR,963446400,D,6,6,False,87.0,80.0,16.0,12.0,0.0,40.0,42.0,9.0,,,90.0,103.0,8.0,9.0,0,40.0,45.0,1.0,,4.0,1.0,1.0,True,2.0,6.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
12694092,home,Crystal Palace,Chadi Riad,,,chadi-riad,C. Riad,D,34,186,10953,M,chadiriad17,1064218,EUR,1047859200,D,34,34,False,7.0,7.0,1.0,1.0,0.0,4.0,4.0,,,,10.0,7.0,6.6,,0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694092,home,Crystal Palace,Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,12012,M,daniel.chitiva,870360,EUR,833068800,M,12,12,False,43.0,40.0,1.0,1.0,0.0,6.0,6.0,2.0,,,79.0,58.0,6.9,8.0,0,34.0,38.0,4.0,,,,2.0,,,2.0,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12694092,home,Crystal Palace,Will Hughes,,,will-hughes,W. Hughes,M,19,185,1024,M,,193554,EUR,798076800,M,19,19,False,53.0,49.0,8.0,7.0,0.0,16.0,16.0,7.0,,,70.0,62.0,7.3,7.0,2,33.0,39.0,2.0,2.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,
12694092,home,Crystal Palace,Cheick Doucouré,,,cheick-doucoure,C. Doucouré,M,28,181,1468,M,,906047,EUR,947289600,M,28,28,False,51.0,46.0,1.0,1.0,0.0,20.0,20.0,6.0,,,70.0,56.0,6.8,6.0,1,26.0,31.0,2.0,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,
12694092,home,Crystal Palace,Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1388,M,,988275,EUR,936144000,M,3,3,False,36.0,29.0,2.0,,0.0,4.0,7.0,4.0,,,90.0,52.0,6.9,11.0,1,25.0,32.0,4.0,1.0,2.0,,2.0,,1.0,3.0,2.0,1.0,,,,3.0,,,1.0,,1.0,,1.0,,,,,,,,
12694092,home,Crystal Palace,Daichi Kamada,,,daichi-kamada,D. Kamada,M,18,184,6895,M,kamadadaichi,794338,EUR,839203200,F,18,18,False,34.0,27.0,1.0,,1.0,6.0,7.0,2.0,,,70.0,44.0,8.4,9.0,1,23.0,29.0,1.0,1.0,,,,,,2.0,1.0,1.0,,,,2.0,,,4.0,1.0,,2.0,1.0,2.0,1.0,2.0,,,,,
12694092,home,Crystal Palace,Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55955,M,eze,864921,EUR,899078400,F,10,10,False,34.0,30.0,,,2.0,5.0,6.0,4.0,,,90.0,58.0,8.8,15.0,4,25.0,30.0,7.0,,,,,,,6.0,10.0,4.0,,1.0,1.0,2.0,1.0,,5.0,,2.0,2.0,1.0,,,2.0,3.0,2.0,,,
