match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_totalCross,stat_interceptionWon,stat_bigChanceMissed,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_savedShotsFromInsideTheBox,stat_goalAssist,stat_errorLeadToAGoal
11409225,home,Sporting CP,Antonio Adán,antonio-adan,A. Adán,G,1,192,816,M,59623,EUR,547862400,G,1,1,False,28.0,27.0,6.0,5.0,23.0,23.0,4.0,5.0,1.0,1.0,7.0,1.0,2.0,90.0,35.0,6.5,1.0,0.0,0.0,0.00121002,0,-0.2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409225,home,Sporting CP,Ousmane Diomande,diomande-ousmane,O. Diomande,D,26,190,4976,M,1394342,EUR,1070496000,D,26,26,False,76.0,69.0,2.0,1.0,39.0,42.0,30.0,34.0,4.0,,7.0,,,90.0,88.0,7.1,8.0,0.1634,0.0,0.0172056,2,,Ousmane,Diomande,ousdiomande,2.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11409225,home,Sporting CP,Sebastián Coates,sebastian-coates,S. Coates,D,4,196,2042,M,47443,EUR,655257600,D,4,4,False,99.0,86.0,8.0,3.0,52.0,55.0,34.0,44.0,4.0,,6.0,,,90.0,114.0,7.7,16.0,0.0906,0.0775,0.0229862,2,,Sebastián,Coates,,2.0,6.0,12.0,,1.0,2.0,3.0,2.0,2.0,1.0,1.0,True,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,
11409225,home,Sporting CP,Gonçalo Inácio,goncalo-inacio,G. Inácio,D,25,186,6686,M,1001196,EUR,998697600,D,25,25,False,92.0,83.0,7.0,5.0,43.0,44.0,40.0,49.0,2.0,,4.0,,,90.0,104.0,7.0,13.0,0.0,0.0,0.040068,0,,Gonçalo,Inácio,goncaloinacio_25,1.0,2.0,5.0,,,2.0,3.0,3.0,2.0,,,,1.0,,,,,,1.0,1.0,,,,,,,
11409225,home,Sporting CP,Geny Catamo,geny-catamo,G. Catamo,M,10,172,10919,M,1001140,EUR,980467200,M,21,21,False,18.0,17.0,1.0,1.0,11.0,12.0,6.0,6.0,3.0,,7.0,,,55.0,39.0,6.7,6.0,0.1046,0.0,0.0036603,1,,,,,,,3.0,,1.0,,2.0,2.0,1.0,,,,2.0,2.0,1.0,,,,,1.0,,,,,,,
11409225,home,Sporting CP,Daniel Bragança,daniel-braganca,D. Bragança,M,23,178,1406,M,861979,EUR,927763200,M,23,23,False,27.0,26.0,,,7.0,8.0,19.0,19.0,1.0,,2.0,,,45.0,33.0,7.2,1.0,0.2004,0.0,0.0504702,1,,Daniel,Bragança,,,1.0,3.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,2.0,1.0,,,,,,
11409225,home,Sporting CP,Hidemasa Morita,hidemasa-morita,H. Morita,M,5,177,3106,M,926560,EUR,800064000,M,5,5,False,60.0,55.0,4.0,3.0,20.0,21.0,35.0,39.0,8.0,2.0,5.0,,,90.0,68.0,6.9,7.0,0.0,0.0,0.189908,0,,Hidemasa,Morita,,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,4.0,1.0,,,1.0,,,,1.0,,,,,,,,,
11409225,home,Sporting CP,Matheus Reis,reis-matheus,M. Reis,D,2,183,1301,M,797648,EUR,793065600,M,2,2,False,20.0,16.0,1.0,,6.0,8.0,11.0,17.0,5.0,1.0,4.0,,,65.0,42.0,6.7,12.0,0.0,0.0,0.0318307,0,,,,,1.0,,2.0,,,,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,5.0,1.0,,1.0,,,,,
11409225,home,Sporting CP,Francisco Trincão,francisco-trincao,F. Trincão,F,17,184,11949,M,830431,EUR,946425600,F,17,17,False,16.0,15.0,1.0,,6.0,6.0,9.0,10.0,4.0,,3.0,,,64.0,34.0,7.0,7.0,0.1523,0.0,0.0685137,3,,Francisco,Trincão,trincao,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,,,3.0,1.0,,,1.0,,,,,,,,,
11409225,home,Sporting CP,Viktor Gyökeres,viktor-gyokeres,V. Gyökeres,F,14,187,198098,M,804508,EUR,896918400,F,9,9,False,31.0,23.0,1.0,,6.0,8.0,17.0,24.0,9.0,,3.0,,,90.0,53.0,8.8,18.0,0.4704,1.6525,0.241752,4,,,,VGyökeres,1.0,4.0,9.0,1.0,,1.0,,,1.0,,2.0,,4.0,6.0,2.0,3.0,,3.0,1.0,,,,1.0,2.0,,,
