match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_unsuccessfulTouch,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,stat_goals,stat_wasFouled,captain,stat_bigChanceMissed,stat_punches
12764404,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4360,M,249859,EUR,727401600,G,1,1,False,21.0,19.0,3.0,1.0,0.0,19.0,20.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,90.0,32.0,6.4,2.0,0.00019909,0,-0.9718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764404,home,PSV Eindhoven,Rick Karsdorp,,,rick-karsdorp,R. Karsdorp,D,,182,704,M,363792,EUR,792460800,D,2,2,False,67.0,62.0,1.0,,0.0,16.0,17.0,56.0,2.0,,,,,,89.0,81.0,6.7,9.0,0.37978,1,,49.0,6.0,3.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.026,2.0,,,,,,,,,,,,,,,,,,
12764404,home,PSV Eindhoven,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186,1605,M,1046960,EUR,1041292800,D,6,6,False,109.0,98.0,12.0,8.0,0.0,47.0,53.0,56.0,5.0,,,,,,90.0,124.0,7.7,11.0,0.0386413,1,,51.0,,,3.0,3.0,5.0,,,,1.0,1.0,,,0.1755,,4.0,1.0,5.0,2.0,5.0,,,,,,,,,,,,,
12764404,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181,1043,M,788784,EUR,879811200,D,18,18,False,85.0,75.0,12.0,5.0,0.0,26.0,27.0,60.0,2.0,,,,,,74.0,97.0,7.0,12.0,0.184216,2,,50.0,2.0,1.0,2.0,3.0,1.0,,,1.0,1.0,,,,0.0784,4.0,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,
12764404,home,PSV Eindhoven,Matteo Dams,Matteo Dams,,matteo-dams,M. Dams,D,32,184,819,M,1162305,EUR,1078790400,D,32,32,False,25.0,23.0,3.0,2.0,0.0,9.0,10.0,18.0,4.0,,,,,,45.0,39.0,6.2,6.0,0.0432016,0,,15.0,3.0,1.0,,2.0,2.0,1.0,,,2.0,2.0,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,
12764404,home,PSV Eindhoven,Ismael Saibari,,,ismael-saibari,I. Saibari,M,34,185,23319,M,1063767,EUR,980640000,M,34,34,False,38.0,34.0,1.0,,0.0,6.0,6.0,34.0,4.0,,,,,,90.0,56.0,6.9,10.0,0.482802,3,,28.0,2.0,,,3.0,2.0,1.0,1.0,,2.0,,,,0.1857,2.0,,2.0,,,2.0,1.0,,,2.0,ismaelsaibari,1.0,0.134,,,,,,
12764404,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171,1141,M,893499,EUR,925948800,M,17,17,False,77.0,72.0,2.0,,0.0,24.0,25.0,56.0,11.0,,,,,,90.0,101.0,7.8,11.0,0.524186,4,,50.0,4.0,2.0,3.0,6.0,5.0,1.0,2.0,2.0,3.0,2.0,,,0.3362,5.0,1.0,1.0,1.0,,,1.0,,,2.0,,1.0,0.3179,1.0,,,,,
12764404,home,PSV Eindhoven,Malik Tillman,,,malik-tillman,M. Tillman,M,10,186,5859,M,975798,EUR,1022544000,M,7,7,False,49.0,43.0,2.0,1.0,0.0,15.0,17.0,34.0,7.0,,,,,,90.0,72.0,9.7,8.0,0.156969,3,,29.0,2.0,1.0,1.0,4.0,10.0,1.0,1.0,1.0,5.0,2.0,2.0,,0.1216,7.0,3.0,,,1.0,,,,,1.0,MalikTillman8,2.0,0.6644,1.0,2.0,1.0,,,
12764404,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179,6810,M,1088896,EUR,1050796800,F,11,11,False,63.0,56.0,,,0.0,13.0,13.0,58.0,3.0,,,,,,90.0,89.0,8.5,15.0,0.365566,5,,47.0,8.0,4.0,,3.0,4.0,,3.0,,,,,,0.2708,4.0,,1.0,,,1.0,3.0,,,1.0,johanbakayoko,4.0,0.8628,3.0,,1.0,,,
12764404,home,PSV Eindhoven,Luuk de Jong,,,luuk-de-jong,L. de Jong,F,26,188,8550,M,40878,EUR,651715200,F,9,9,False,18.0,13.0,,,0.0,3.0,3.0,15.0,4.0,,,,,,90.0,32.0,7.2,7.0,0.0301308,3,,10.0,,,8.0,9.0,5.0,,,1.0,1.0,1.0,,,0.3497,1.0,4.0,,2.0,1.0,1.0,1.0,,,,luukdejong9,2.0,1.0066,,,,True,1.0,
12764404,home,PSV Eindhoven,Noa Lang,,,noa-lang,N. Lang,F,77,173,15611,M,875136,EUR,929577600,F,10,10,False,31.0,26.0,2.0,2.0,0.0,3.0,3.0,40.0,2.0,,,,,,64.0,57.0,6.9,20.0,0.347382,1,,25.0,12.0,2.0,1.0,5.0,2.0,,3.0,,2.0,1.0,,,0.037,,,,,,,1.0,,,1.0,noano,1.0,0.0524,,,,,,
12764404,home,PSV Eindhoven,Ricardo Pepi,,,ricardo-pepi,R. Pepi,F,9,185,3726,M,986395,EUR,1042070400,F,14,14,True,8.0,8.0,1.0,1.0,0.0,2.0,2.0,6.0,,,,,,,45.0,16.0,8.1,,0.149643,5,,6.0,,,1.0,1.0,2.0,,,,1.0,1.0,,,0.8733,2.0,1.0,1.0,,,,,,,,,4.0,1.3959,,1.0,,,,
12764404,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183,2259,M,845798,EUR,882748800,M,20,20,True,6.0,3.0,,,0.0,,,7.0,2.0,,,,,,26.0,10.0,7.1,4.0,0.00490858,3,,3.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,0.1649,,1.0,,,,,,,,,,2.0,0.51,,,,,,
