match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_shotOffTarget,stat_totalOffside,captain,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed
10382170,home,AFC Ajax,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189,13348,M,gerorulli,128383,EUR,706320000,G,12,12,False,51.0,40.0,24.0,14.0,36.0,40.0,4.0,11.0,1.0,1.0,1.0,13.0,1.0,3.0,7.0,1.0,90.0,72.0,8.5,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10382170,home,AFC Ajax,Jorge Sánchez,jorge-sanchez,J. Sánchez,D,35,175,1456,M,,832868,EUR,881712000,D,19,19,False,36.0,28.0,6.0,1.0,18.0,23.0,10.0,13.0,,9.0,3.0,5.0,,,,,90.0,71.0,7.9,13.0,0,,,2.0,3.0,2.0,5.0,1.0,6.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10382170,home,AFC Ajax,Jurriën Timber,jurrien-timber,J. Timber,D,12,179,21701,M,jurrientimber,958959,EUR,992736000,D,2,2,False,50.0,45.0,5.0,2.0,29.0,30.0,16.0,20.0,,1.0,,3.0,,,,,90.0,58.0,6.8,7.0,0,,,5.0,,,4.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,
10382170,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,,982778,EUR,1042848000,D,15,15,False,28.0,26.0,1.0,1.0,14.0,15.0,12.0,13.0,,,,2.0,,,,,35.0,29.0,5.5,2.0,0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
10382170,home,AFC Ajax,Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,8671,M,,861972,EUR,946598400,D,3,3,False,37.0,28.0,1.0,1.0,12.0,16.0,17.0,26.0,4.0,8.0,3.0,7.0,,,,,90.0,61.0,7.5,16.0,0,,,3.0,1.0,1.0,3.0,,1.0,1.0,2.0,2.0,2.0,1.0,,5.0,1.0,1.0,,,,,,,,,
10382170,home,AFC Ajax,Davy Klaassen,davy-klaassen,D. Klaassen,M,18,179,1575,M,,97410,EUR,730252800,M,6,6,False,29.0,23.0,2.0,1.0,10.0,14.0,13.0,15.0,1.0,3.0,,1.0,,,,,90.0,39.0,7.0,8.0,2,,,4.0,,,3.0,1.0,,,2.0,2.0,1.0,2.0,,,,1.0,1.0,2.0,,,,,,,
10382170,home,AFC Ajax,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10882,M,EdsonAlvarez19,847151,EUR,877651200,M,4,4,False,44.0,38.0,4.0,4.0,29.0,32.0,9.0,12.0,2.0,6.0,2.0,8.0,,,,,90.0,63.0,7.6,9.0,1,,,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,
10382170,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3631,M,,959806,EUR,1021507200,M,8,8,False,29.0,24.0,1.0,,13.0,14.0,11.0,16.0,,2.0,1.0,3.0,,,,,90.0,42.0,7.0,8.0,2,,,1.0,,,1.0,1.0,2.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,
10382170,home,AFC Ajax,Francisco Conceição,francisco-conceicao,F. Conceição,F,7,170,19979,M,FConceicao_7,979222,EUR,1039824000,F,35,35,False,19.0,16.0,1.0,,7.0,9.0,9.0,11.0,,13.0,,5.0,,,,,71.0,38.0,7.2,7.0,1,,,8.0,2.0,1.0,,,7.0,3.0,1.0,5.0,,1.0,1.0,1.0,,1.0,5.0,1.0,,,,,,,
10382170,home,AFC Ajax,Brian Brobbey,brobbey-brian,B. Brobbey,F,9,180,7090,M,brianbrobbeyy,910048,EUR,1012521600,F,9,9,False,8.0,6.0,2.0,2.0,1.0,2.0,5.0,6.0,2.0,4.0,,,,,,,45.0,13.0,6.7,4.0,0,,,2.0,1.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,2.0,,,,,
