match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_unsuccessfulTouch,stat_shotOffTarget,stat_wonTackle,stat_ownGoals,stat_expectedGoals,captain,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_bigChanceCreated,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyMiss
12499838,home,FC St. Pauli,Nikola Vasilj,,,nikola-vasilj,N. Vasilj,G,22,194,1626,M,325061,EUR,817862400,G,22,22,False,65.0,52.0,19.0,6.0,0.0,46.0,47.0,6.0,18.0,8.0,2.0,1.0,1.0,3.0,90.0,73.0,7.2,13.0,0.0048752,0,0.3194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499838,home,FC St. Pauli,Hauke Wahl,,,hauke-wahl,H. Wahl,D,5,189,150,M,253469,EUR,766368000,D,5,5,False,86.0,75.0,7.0,2.0,0.0,53.0,58.0,22.0,28.0,4.0,,,,,90.0,98.0,6.8,11.0,0.0137479,0,,1.0,1.0,1.0,1.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12499838,home,FC St. Pauli,Eric Smith,,,eric-smith,E. Smith,D,8,191,412,M,542038,EUR,852681600,D,8,8,False,57.0,52.0,6.0,3.0,0.0,39.0,39.0,14.0,20.0,3.0,,,,,90.0,72.0,7.0,6.0,0.055676,0,,3.0,4.0,4.0,,,8.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12499838,home,FC St. Pauli,David Nemeth,,,david-nemeth,D. Nemeth,D,4,191,155,M,966889,EUR,984873600,D,4,4,False,84.0,80.0,6.0,4.0,0.0,62.0,63.0,18.0,21.0,4.0,,,,,89.0,95.0,6.4,6.0,0.059755,0,,3.0,8.0,1.0,,,6.0,,,,,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12499838,home,FC St. Pauli,Philipp Treu,,,treu-philipp,P. Treu,M,29,172,176,M,979820,EUR,975801600,M,23,23,False,41.0,35.0,2.0,,0.0,23.0,26.0,12.0,19.0,3.0,,,,,90.0,66.0,6.7,14.0,0.00879198,1,,,1.0,5.0,,,3.0,,4.0,,2.0,1.0,,,1.0,,2.0,1.0,1.0,2.0,1.0,0.0191,,,,,,,,,,,
12499838,home,FC St. Pauli,Jackson Irvine,,,jackson-irvine,J. Irvine,M,7,190,924,M,181581,EUR,731462400,M,7,7,False,36.0,23.0,5.0,3.0,0.0,18.0,20.0,5.0,18.0,4.0,,,,,90.0,49.0,6.3,18.0,0.0137224,1,,4.0,6.0,2.0,,,2.0,,2.0,,,1.0,1.0,,,1.0,1.0,2.0,1.0,,,0.0742,True,1.0,,,,,,,,,
12499838,home,FC St. Pauli,James Sands,,,james-sands,J. Sands,M,6,186,445,M,885892,EUR,962841600,M,6,6,False,43.0,34.0,,,0.0,14.0,15.0,20.0,29.0,4.0,,,,,89.0,59.0,7.0,11.0,0.0486457,0,,3.0,5.0,8.0,,,3.0,3.0,1.0,,4.0,,2.0,,,1.0,4.0,,,2.0,,,,,,,,,,,,,
12499838,home,FC St. Pauli,Siebe Van Der Heyden,,,siebe-van-der-heyden,S. V. D. Heyden,D,44,185,270,M,842164,EUR,896486400,M,44,44,False,33.0,22.0,4.0,1.0,0.0,11.0,15.0,13.0,20.0,2.0,,,,,82.0,56.0,7.0,13.0,0.0576336,0,,,2.0,10.0,,,3.0,1.0,2.0,2.0,6.0,1.0,,,1.0,1.0,3.0,,,2.0,,,,,,,,,,,,,
12499838,home,FC St. Pauli,Noah Weißhaupt,,,noah-weisshaupt,N. Weißhaupt,F,10,181,339,M,1048820,EUR,1000944000,F,13,13,False,17.0,11.0,2.0,,0.0,5.0,7.0,7.0,16.0,1.0,,,,,82.0,35.0,6.6,14.0,0.0696976,0,,,3.0,5.0,3.0,1.0,2.0,,6.0,1.0,1.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
12499838,home,FC St. Pauli,Johannes Eggestein,,,johannes-eggestein,J. Eggestein,F,19,183,466,M,591588,EUR,894585600,F,11,11,False,24.0,19.0,,,0.0,3.0,6.0,16.0,19.0,4.0,,,,,89.0,29.0,6.8,8.0,0.126451,0,,5.0,7.0,2.0,1.0,,,,1.0,,2.0,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,
