match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_blockedScoringAttempt,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_fouls,captain,player_firstName,player_lastName,stat_hitWoodwork,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches,player_sofascoreId
10980650,home,Ipswich Town,Václav Hladký,vaclav-hladky,V. Hladký,G,32,189.0,173,M,151518,EUR,658540800,G,31,31,False,36.0,26.0,14.0,4.0,25.0,28.0,1.0,8.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,4.0,90.0,48.0,7.9,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
10980650,home,Ipswich Town,Janoi Donacien,janoi-donacien,J. Donacien,D,44,183.0,54,M,371364,EUR,752284800,D,44,44,False,32.0,14.0,8.0,4.0,9.0,19.0,5.0,13.0,7.0,1.0,1.0,1.0,2.0,1.0,,,90.0,58.0,7.2,21.0,0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
10980650,home,Ipswich Town,Luke Woolfenden,luke-woolfenden,L. Woolfenden,D,26,193.0,195,M,893478,EUR,908928000,D,6,6,False,58.0,41.0,12.0,,38.0,44.0,3.0,14.0,3.0,,,6.0,6.0,1.0,,,90.0,70.0,7.0,18.0,2,1.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10980650,home,Ipswich Town,George Edmundson,george-edmundson,G. Edmundson,D,25,191.0,107,M,803678,EUR,872985600,D,4,4,False,45.0,36.0,9.0,4.0,30.0,35.0,6.0,10.0,5.0,,,2.0,2.0,1.0,,,90.0,56.0,7.7,9.0,1,2.0,2.0,2.0,,3.0,2.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,
10980650,home,Ipswich Town,Greg Leigh,greg-leigh,G. Leigh,D,22,181.0,587,M,329431,EUR,780883200,D,21,21,False,35.0,26.0,3.0,1.0,14.0,17.0,13.0,22.0,9.0,1.0,1.0,1.0,9.0,,,,90.0,61.0,7.7,15.0,2,,4.0,1.0,,,4.0,1.0,,2.0,,,,4.0,1.0,1.0,2.0,,,,,,,,,
10980650,home,Ipswich Town,Lee Evans,lee-evans,L. Evans,M,8,186.0,80,M,219060,EUR,775008000,M,8,8,False,54.0,50.0,9.0,6.0,26.0,28.0,26.0,33.0,4.0,,,1.0,12.0,1.0,,,90.0,73.0,7.4,11.0,0,1.0,1.0,5.0,2.0,3.0,2.0,2.0,,,,,,7.0,2.0,1.0,2.0,1.0,,,,,,,,
10980650,home,Ipswich Town,Sam Morsy,sam-morsy,S. Morsy,M,40,175.0,1812,M,108515,EUR,684460800,M,5,5,False,41.0,33.0,2.0,1.0,19.0,20.0,16.0,24.0,3.0,2.0,1.0,1.0,10.0,,,,78.0,56.0,7.1,12.0,1,3.0,1.0,7.0,,2.0,1.0,1.0,1.0,,,,1.0,3.0,2.0,,1.0,3.0,True,,,,,,,
10980650,home,Ipswich Town,Kayden Jackson,kayden-jackson,K. Jackson,F,19,181.0,95,M,340689,EUR,761875200,M,19,19,False,9.0,6.0,1.0,,3.0,3.0,3.0,9.0,5.0,1.0,,1.0,2.0,2.0,,,85.0,23.0,6.5,8.0,1,2.0,2.0,8.0,2.0,1.0,2.0,1.0,1.0,,,,1.0,3.0,,,1.0,3.0,,,,,,,,
10980650,home,Ipswich Town,Sone Aluko,sone-aluko,S. Aluko,F,,173.0,56,M,13251,EUR,603849600,M,23,23,False,15.0,10.0,2.0,,5.0,8.0,6.0,9.0,4.0,2.0,1.0,,2.0,3.0,,,60.0,34.0,6.3,13.0,0,,,6.0,1.0,1.0,,,1.0,,,,,2.0,1.0,3.0,1.0,1.0,,,,,,,,
10980650,home,Ipswich Town,Marcus Harness,marcus-harness,M. Harness,M,10,182.0,157,M,368146,EUR,825120000,M,11,11,False,15.0,11.0,,,5.0,6.0,6.0,10.0,5.0,1.0,,,4.0,,,,60.0,24.0,6.6,8.0,1,,3.0,5.0,1.0,,2.0,1.0,1.0,1.0,,,,1.0,,,,3.0,,,,1.0,,,,
10980650,home,Ipswich Town,George Hirst,george-hirst,G. Hirst,F,9,191.0,459,M,839712,EUR,919036800,F,27,27,False,7.0,3.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,,,1.0,,,,60.0,15.0,6.5,11.0,1,1.0,1.0,5.0,,,,,5.0,1.0,,,,,,1.0,1.0,2.0,,,,,,,,
10980650,home,Ipswich Town,Conor Chaplin,conor-chaplin,C. Chaplin,M,36,170.0,452,M,784625,EUR,856051200,F,10,10,True,9.0,8.0,1.0,1.0,4.0,5.0,4.0,5.0,2.0,,,,4.0,1.0,,,30.0,12.0,6.7,3.0,0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,
10980650,home,Ipswich Town,Nathan Broadhead,nathan-broadhead,N. Broadhead,M,33,178.0,422,M,911710,EUR,891734400,F,33,33,True,8.0,4.0,,,3.0,5.0,1.0,3.0,3.0,2.0,1.0,,,,,,30.0,12.0,6.6,5.0,0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10980650,home,Ipswich Town,Freddie Ladapo,freddie-ladapo,F. Ladapo,F,45,183.0,154,M,254813,EUR,728524800,F,9,9,True,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,30.0,4.0,6.5,2.0,0,2.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,
10980650,home,Ipswich Town,Massimo Luongo,massimo-luongo,M. Luongo,M,21,174.0,250,M,204300,EUR,717379200,M,25,25,True,7.0,5.0,,,3.0,3.0,2.0,5.0,5.0,,,,1.0,1.0,,,12.0,14.0,6.9,4.0,0,,1.0,2.0,,,3.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,
10980650,home,Ipswich Town,Kyle Edwards,kyle-edwards,K. Edwards,M,22,172.0,40,M,817562,EUR,887673600,M,29,29,True,1.0,1.0,,,,,1.0,1.0,,,,,,,,,10.0,1.0,6.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,
10980650,home,Ipswich Town,Christian Walton,christian-walton,C. Walton,G,28,196.0,219,M,198038,EUR,815875200,G,1,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
