match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,captain,stat_challengeLost,stat_wasFouled,stat_accurateCross,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_bigChanceMissed
10408439,home,Sevilla,Bono,,,bono,Bono,G,37,195,54576,M,BonoY,360938,EUR,670809600,G,13,13,False,28.0,23.0,11.0,6.0,22.0,24.0,1.0,4.0,1.0,4.0,9.0,1.0,1.0,2.0,4.0,2.0,2.0,90.0,44.0,7.0,5.0,0.0,0.0,0.00013422,0,-0.4961,,,,,,,,,,,,,,,,,,,,,,,,,
10408439,home,Sevilla,José Ángel Carmona,,,jose-angel-carmona,J. Á. Carmona,D,2,183,1021,M,,1015240,EUR,1012262400,D,30,30,False,74.0,65.0,3.0,3.0,30.0,33.0,35.0,45.0,6.0,6.0,10.0,4.0,4.0,,,,,90.0,105.0,7.3,18.0,0.0538,0.0,0.023784,2,,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,
10408439,home,Sevilla,Tanguy Nianzou,,,tanguy-nianzou,T. Nianzou,D,5,192,1231,M,,1003007,EUR,1023408000,D,14,14,False,60.0,59.0,,,40.0,41.0,19.0,19.0,,,6.0,,,,,,,67.0,64.0,6.6,1.0,0.0,0.0,0.00788884,0,,,1.0,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,
10408439,home,Sevilla,Kike Salas,,,kike-salas,K. Salas,D,4,186,890,M,,1097719,EUR,1019433600,D,29,29,False,51.0,46.0,6.0,4.0,33.0,37.0,13.0,14.0,1.0,1.0,3.0,,,,,,,45.0,54.0,6.6,5.0,0.0,0.0,0.00542781,0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10408439,home,Sevilla,Karim Rekik,,,karim-rekik,K. Rekik,D,4,185,255,M,,138827,EUR,786326400,D,4,4,False,15.0,13.0,,,9.0,10.0,4.0,5.0,,,,,,,,,,28.0,19.0,6.5,2.0,0.0,0.0,0.00234904,0,,,2.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,
10408439,home,Sevilla,Nemanja Gudelj,,,nemanja-gudelj,N. Gudelj,M,6,187,1647,M,,68332,EUR,690249600,M,6,6,False,53.0,49.0,,,24.0,24.0,25.0,29.0,3.0,5.0,4.0,,,,,,,90.0,66.0,6.6,6.0,0.0222,0.0,0.0181162,1,,,3.0,2.0,8.0,,,1.0,,,2.0,3.0,3.0,True,2.0,1.0,,,,,,,,,,
10408439,home,Sevilla,Thomas Delaney,,,thomas-delaney,T. Delaney,M,27,182,1298,M,,66477,EUR,683856000,M,18,18,False,24.0,21.0,2.0,,13.0,13.0,9.0,12.0,2.0,,3.0,,,,,,,45.0,29.0,6.6,4.0,0.0846,0.0,0.0395844,1,,1.0,,2.0,2.0,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,
10408439,home,Sevilla,Erik Lamela,,,erik-lamela,E. Lamela,M,,183,2389,M,,122702,EUR,699667200,M,17,17,False,60.0,50.0,5.0,4.0,10.0,10.0,40.0,52.0,5.0,,8.0,3.0,1.0,,,,,90.0,77.0,6.3,19.0,0.0316,0.0647,0.117088,1,,2.0,,,11.0,2.0,1.0,,,,1.0,1.0,,,4.0,1.0,,,5.0,1.0,1.0,,,,,
10408439,home,Sevilla,Óliver Torres,,,oliver-torres,Ó. Torres,M,8,178,952,M,,231776,EUR,784425600,M,21,21,False,47.0,39.0,1.0,1.0,9.0,10.0,31.0,40.0,1.0,,8.0,,,,,,,67.0,60.0,6.1,16.0,0.0465,0.0,0.229005,1,,3.0,,,6.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,5.0,,,,,,,
10408439,home,Sevilla,Isco,,,isco,Isco,M,22,176,26276,M,iscoalarcon,103417,EUR,703814400,M,22,22,False,61.0,49.0,8.0,3.0,9.0,10.0,40.0,54.0,1.0,2.0,5.0,,,,,,,90.0,75.0,6.9,17.0,0.0307,0.0,0.0932935,1,,3.0,1.0,,4.0,,,1.0,,2.0,,1.0,,,,1.0,,4.0,2.0,,,,,,,
