match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_goalAssist,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_saves,stat_hitWoodwork
11967754,home,Juventus,Mattia Perin,mattia-perin,M. Perin,G,1,188,3286,M,79645,EUR,721353600,G,36,36,False,21.0,15.0,11.0,5.0,12.0,12.0,3.0,9.0,5.0,90.0,25.0,6.7,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11967754,home,Juventus,Federico Gatti,federico-gatti,F. Gatti,D,4,190,4989,M,1128063,EUR,898646400,D,4,4,False,21.0,15.0,3.0,,10.0,12.0,5.0,9.0,2.0,90.0,43.0,7.2,10.0,2,Federico Gatti,,FedericoGatti,4.0,2.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
11967754,home,Juventus,Bremer,bremer,Bremer,D,3,188,9607,M,885197,EUR,858643200,D,3,3,False,34.0,25.0,6.0,3.0,14.0,17.0,11.0,17.0,6.0,90.0,43.0,7.3,9.0,0,,,Bremer,2.0,,3.0,1.0,1.0,,,5.0,2.0,,,1.0,,,,,,,,,,,,,,,,,
11967754,home,Juventus,Danilo,danilo,Danilo,D,13,184,15246,M,124992,EUR,679536000,D,6,6,False,62.0,56.0,10.0,5.0,30.0,32.0,26.0,30.0,3.0,90.0,82.0,7.8,6.0,1,,,Danilo,1.0,2.0,2.0,,,1.0,,6.0,2.0,4.0,,,1.0,True,1.0,1.0,1.0,,,,,,,,,,,,
11967754,home,Juventus,Andrea Cambiaso,cambiaso-andrea,A. Cambiaso,D,27,181,7434,M,917048,EUR,951004800,M,27,27,False,27.0,25.0,2.0,2.0,10.0,11.0,15.0,18.0,6.0,81.0,46.0,7.1,11.0,0,,,andrea_cambiaso,,9.0,2.0,3.0,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,
11967754,home,Juventus,Weston McKennie,weston-mckennie,W. McKennie,M,22,185,7748,M,881931,EUR,904262400,M,16,16,False,24.0,18.0,2.0,1.0,8.0,13.0,11.0,14.0,1.0,89.0,42.0,7.4,9.0,0,,,west.mckennie,,4.0,5.0,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,3.0,2.0,2.0,1.0,3.0,,,,,2.0,1.0,,,,
11967754,home,Juventus,Manuel Locatelli,manuel-locatelli,M. Locatelli,M,5,185,8636,M,363860,EUR,884217600,M,5,5,False,41.0,34.0,5.0,2.0,18.0,20.0,16.0,22.0,4.0,90.0,58.0,7.0,11.0,0,,,locamanuel73,,3.0,2.0,1.0,,,,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,
11967754,home,Juventus,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11334,M,250737,EUR,796867200,M,25,25,False,41.0,38.0,3.0,2.0,20.0,22.0,19.0,20.0,7.0,90.0,57.0,7.3,5.0,1,,,adrienrabiot_25,1.0,3.0,5.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,1.0,,1.0,,,,1.0,1.0,,,
11967754,home,Juventus,Filip Kostić,filip-kostic,F. Kostić,M,18,184,7055,M,126588,EUR,720576000,M,11,11,False,50.0,41.0,5.0,3.0,21.0,24.0,23.0,35.0,4.0,89.0,79.0,7.4,19.0,0,,,filipkostic,,2.0,4.0,1.0,1.0,,,2.0,1.0,,4.0,3.0,1.0,,1.0,,,,9.0,,,,,2.0,3.0,,,,
11967754,home,Juventus,Dušan Vlahović,dusan-vlahovic,D. Vlahović,F,9,190,42890,M,832208,EUR,949017600,F,9,9,False,30.0,22.0,4.0,3.0,11.0,14.0,11.0,17.0,5.0,86.0,46.0,7.4,15.0,3,,,DV9,5.0,6.0,9.0,2.0,1.0,,2.0,2.0,,,1.0,3.0,,,2.0,,,,1.0,,3.0,,1.0,,,1.0,1.0,,
