match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_unsuccessfulTouch,stat_accurateCross,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_errorLeadToAShot,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyMiss,stat_penaltyWon,stat_penaltyFaced,stat_outfielderBlock,stat_bigChanceCreated,player_sofascoreId,stat_totalOffside,stat_penaltyConceded
14773685,home,Al-Riyadh,Milan Borjan,milan-borjan,M. Borjan,G,82,193.0,807,M,79413,EUR,561945600,G,82,82,False,True,25.0,21.0,8.0,4.0,0.0,18.0,18.0,3.0,7.0,1.0,8.0,2.0,3.0,90.0,36.0,6.7,5.0,0.00195494,40.071897583107,7.0,38.01,9.24,0.0812,0,0.3956,0.06,-0.01,-0.06,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773685,home,Al-Riyadh,Abdullah Hassoun,abdullah-hassoun,A. Hassoun,D,17,177.0,31,M,983081,EUR,858729600,D,17,17,False,,28.0,24.0,2.0,1.0,0.0,6.0,6.0,18.0,22.0,2.0,4.0,,,61.0,44.0,6.6,7.0,0.0380611,110.0583614037,12.0,69.825,30.45,,0,,0.29,0.05,-0.26,,4.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,31.323103869189,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773685,home,Al-Riyadh,Mohammed Alkhaibari,mohammed-alkhaibari,M. Alkhaibari,D,23,184.0,21,M,1048753,EUR,1019088000,D,23,23,False,,43.0,37.0,6.0,2.0,0.0,25.0,25.0,12.0,18.0,,2.0,,,90.0,54.0,6.3,9.0,0.00953964,125.10673276454,14.0,65.205,18.165,,0,,0.1,0.05,-0.16,,5.0,3.0,,2.0,,,2.0,1.0,19.001552594459,1.0,1.0,Mohammed Alkhaibari,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14773685,home,Al-Riyadh,Yoann Barbet,yoann-barbet,Y. Barbet,D,5,190.0,128,M,369544,EUR,736992000,D,5,5,False,,69.0,61.0,9.0,5.0,0.0,35.0,35.0,26.0,34.0,3.0,5.0,,,90.0,86.0,8.4,12.0,0.108434,261.15988086958,25.0,209.58,37.59,,4,,0.35,0.33,-0.13,,1.0,5.0,,2.0,2.0,2.0,,,104.0689078417,4.0,1.0,,,,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.2681,0.0478,0.5,,,,,,,,,,,
14773685,home,Al-Riyadh,Osama Al-Boardi,osama-al-boardi,O. Al-Boardi,D,7,166.0,9,M,1914902,EUR,923616000,D,7,7,False,,30.0,26.0,2.0,1.0,0.0,9.0,11.0,17.0,19.0,8.0,2.0,,,88.0,57.0,6.7,15.0,0.0519418,149.87403817657,13.0,46.305,19.845,,0,,0.1,0.11,-0.19,,1.0,4.0,,1.0,,,,,20.912466162555,1.0,2.0,Osama Al-Boardi,,,1.0,1.0,3.0,2.0,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,
14773685,home,Al-Riyadh,Teddy Okou,teddy-okou,T. Okou,M,10,165.0,622,M,878821,EUR,895190400,M,10,10,False,,23.0,14.0,,,0.0,2.0,3.0,12.0,20.0,5.0,,,,78.0,44.0,6.2,22.0,0.237539,96.255750988474,11.0,20.475,29.19,,3,,0.28,-0.13,-0.13,,9.0,4.0,1.0,,1.0,1.0,,1.0,29.364443056186,1.0,2.0,,,1.0,1.0,2.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,,,0.0924,0.0672,-0.08,,,,,,,,,,,
14773685,home,Al-Riyadh,Ismaila Soro,ismaila-soro,I. Soro,M,19,173.0,162,M,892808,EUR,894499200,M,19,19,False,,34.0,31.0,2.0,1.0,0.0,17.0,17.0,14.0,17.0,3.0,1.0,,,78.0,44.0,6.0,9.0,0.0124391,45.545553931413,6.0,30.87,12.81,,0,,0.04,0.06,-0.13,,7.0,,1.0,1.0,,,,4.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
14773685,home,Al-Riyadh,Tozé,toze,Tozé,M,20,165.0,386,M,1089231,EUR,726969600,M,20,20,False,,60.0,54.0,8.0,5.0,0.0,18.0,19.0,36.0,41.0,10.0,4.0,,,90.0,90.0,6.5,17.0,0.224984,168.42346290671,22.0,86.625,14.91,,6,,0.39,-0.03,-0.07,,7.0,5.0,,1.0,1.0,1.0,4.0,4.0,,,1.0,,,,,,3.0,,3.0,,1.0,2.0,3.0,,2.0,0.9593,0.5879,-1.0,,1.0,1.0,1.0,,,,,,,
14773685,home,Al-Riyadh,Ibrahim Bayesh,ibrahim-bayesh,I. Bayesh,M,29,177.0,2466,M,920815,EUR,957139200,M,8,8,False,,29.0,26.0,,,0.0,6.0,6.0,20.0,23.0,3.0,1.0,,,90.0,42.0,6.0,11.0,0.0667717,101.98956053804,12.0,52.185,26.145,,0,,-0.55,0.08,-0.15,,5.0,3.0,2.0,,1.0,1.0,1.0,2.0,51.274310339431,3.0,,,,1.0,1.0,,,5.0,,,,,,,2.0,,,,,,,,,,,,,,
14773685,home,Al-Riyadh,Luca Ramirez,luca-ramirez,L. Ramirez,F,32,,29,M,2158886,EUR,1143763200,F,32,32,False,,6.0,5.0,,,0.0,2.0,2.0,3.0,4.0,,,,,61.0,12.0,5.9,6.0,0.00525378,3.264,1.0,0.0,0.0,,1,,-0.01,-0.06,-0.08,,5.0,,,,,,,1.0,,,,Luca Ramirez,,1.0,,2.0,1.0,2.0,,,1.0,,,,,0.102,,-0.47,,,,,,,,,,,
14773685,home,Al-Riyadh,Mamadou Sylla,mamadou-sylla,M. Sylla,F,9,184.0,1348,M,793761,EUR,764121600,F,9,9,False,,16.0,13.0,2.0,1.0,0.0,2.0,2.0,11.0,14.0,2.0,2.0,,,90.0,21.0,6.6,6.0,0.052671,76.319299611796,8.0,40.11,13.125,,0,,0.15,0.23,0.13,,6.0,2.0,,,,,1.0,2.0,13.202454658131,1.0,1.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
