match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_errorLeadToAGoal,stat_keyPass,stat_dispossessed,stat_goals,stat_goodHighClaim,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_totalOffside
10913496,home,Damac FC,Moustapha Zeghba,moustapha-zeghba,M. Zeghba,G,1,190.0,852,M,888378,EUR,659145600,G,30,30,False,39.0,30.0,17.0,9.0,26.0,27.0,4.0,12.0,1.0,1.0,10.0,3.0,3.0,90.0,51.0,6.8,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913496,home,Damac FC,Ibrahim Alnakhli,ibrahim-alnakhli,I. Alnakhli,D,88,176.0,35,M,847004,EUR,857865600,D,4,4,False,43.0,34.0,4.0,,22.0,24.0,13.0,22.0,4.0,,10.0,,,90.0,66.0,7.0,15.0,2,3.0,1.0,2.0,4.0,7.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,
10913496,home,Damac FC,Farouk Chafaï,farouk-chafai,F. Chafaï,D,5,182.0,329,M,880083,EUR,646099200,D,15,15,False,46.0,37.0,9.0,3.0,23.0,26.0,14.0,20.0,9.0,1.0,4.0,,,90.0,55.0,6.0,10.0,2,,,6.0,1.0,3.0,,2.0,1.0,,,1.0,,2.0,True,2.0,2.0,1.0,1.0,,,,,,,,,,,
10913496,home,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,3,185.0,1163,M,906407,EUR,702172800,D,3,3,False,54.0,49.0,13.0,10.0,35.0,38.0,14.0,16.0,4.0,1.0,8.0,,,90.0,68.0,6.3,6.0,1,,,1.0,1.0,5.0,,5.0,,2.0,1.0,1.0,2.0,2.0,,,,1.0,,,,1.0,,,,,,,,
10913496,home,Damac FC,Abdullah Al-Amar,abdullah-al-amar,A. Al-Amar,D,,177.0,110,M,817911,EUR,762480000,D,13,13,False,34.0,21.0,4.0,,13.0,15.0,10.0,30.0,3.0,2.0,6.0,,,90.0,56.0,6.4,24.0,0,11.0,2.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,
10913496,home,Damac FC,El Arbi Hillel Soudani,el-arbi-hillel-soudani,E. A. Soudani,M,2,182.0,1269,M,173713,EUR,564796800,M,2,2,False,6.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,,,22.0,9.0,6.4,5.0,0,,,,,,,,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,
10913496,home,Damac FC,Adam Maher,adam-maher,A. Maher,M,,174.0,90,M,111719,EUR,743126400,M,6,6,False,30.0,25.0,2.0,2.0,15.0,18.0,10.0,12.0,3.0,,4.0,,,65.0,37.0,7.1,6.0,0,,,1.0,,3.0,,,1.0,3.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,
10913496,home,Damac FC,Domagoj Antolić,domagoj-antolic,D. Antolić,M,8,180.0,103,M,67645,EUR,646704000,M,17,17,False,35.0,32.0,3.0,2.0,14.0,14.0,20.0,27.0,2.0,,4.0,,,90.0,49.0,6.9,8.0,0,6.0,2.0,1.0,1.0,5.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,3.0,,,,,,,
10913496,home,Damac FC,Nono,nono,Nono,M,14,179.0,56,M,232434,EUR,733449600,M,10,10,False,43.0,39.0,3.0,2.0,15.0,16.0,24.0,29.0,4.0,1.0,4.0,,,88.0,56.0,6.8,7.0,2,2.0,,,,4.0,,,2.0,,,,3.0,3.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,
10913496,home,Damac FC,Mansour Hamzi,mansour-hamzi,M. Hamzi,M,15,170.0,31,M,818581,EUR,738892800,M,7,7,False,12.0,9.0,,,2.0,2.0,7.0,12.0,7.0,1.0,,,,88.0,24.0,6.6,9.0,2,2.0,,2.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,2.0,1.0,,,,,
10913496,home,Damac FC,Abdulelah Alshamary,abdulelah-alshamary,A. Alshamary,M,8,172.0,38,M,931838,EUR,917136000,F,11,11,False,23.0,19.0,2.0,1.0,4.0,4.0,16.0,20.0,3.0,1.0,4.0,,,88.0,35.0,6.8,6.0,0,1.0,1.0,,,5.0,,,,1.0,1.0,,3.0,,,1.0,1.0,,,,,,3.0,2.0,,,,,,
10913496,home,Damac FC,Ammar Al Najjar,ammar-al-najjar,A. A. Najjar,F,90,166.0,17,M,869269,EUR,856742400,M,38,38,True,14.0,12.0,,,4.0,4.0,11.0,18.0,3.0,1.0,2.0,,,68.0,37.0,6.9,12.0,3,8.0,3.0,,1.0,2.0,1.0,,,1.0,1.0,3.0,,,,,,2.0,,,,,,2.0,,,,,,
10913496,home,Damac FC,Abdullah Hassoun,abdullah-hassoun,A. Hassoun,D,17,177.0,31,M,983081,EUR,858729600,D,32,32,True,21.0,18.0,5.0,4.0,8.0,8.0,10.0,14.0,2.0,,2.0,,,25.0,23.0,6.6,4.0,0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
10913496,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200,D,20,20,True,4.0,3.0,,,1.0,1.0,2.0,7.0,,,,,,12.0,15.0,6.7,5.0,0,4.0,,,,2.0,,,,1.0,1.0,,,,,1.0,1.0,,,Dhari Al-Enezi,,,,,,,,,,
10913496,home,Damac FC,Ryan Al-Mousa,ryan-al-mousa,R. Al-Mousa,M,,174.0,6,M,817914,EUR,775008000,M,8,8,True,8.0,7.0,2.0,2.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,,,12.0,10.0,6.4,1.0,0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
