match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_interceptionWon,stat_wasFouled,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_clearanceOffLine,stat_outfielderBlock,stat_penaltyMiss,stat_unsuccessfulTouch,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_accurateCross,stat_blockedScoringAttempt,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_punches,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_penaltyConceded,stat_totalOffside,stat_goals
11369988,home,Royal Antwerp FC,Jean Butez,jean-butez,J. Butez,G,1,188,1350,M,599114,EUR,802569600,G,1,1,False,30.0,19.0,14.0,3.0,16.0,21.0,3.0,9.0,1.0,1.0,7.0,2.0,2.0,90.0,38.0,6.4,11.0,0.0317934,0,-0.4848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369988,home,Royal Antwerp FC,Jelle Bataille,jelle-bataille,J. Bataille,D,25,175,224,M,889387,EUR,927158400,D,34,34,False,97.0,87.0,4.0,2.0,43.0,44.0,44.0,55.0,4.0,1.0,6.0,,,90.0,115.0,6.9,12.0,0.0823347,1,,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0154,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369988,home,Royal Antwerp FC,Zeno Van Den Bosch,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191,594,M,1103765,EUR,1057449600,D,33,33,False,104.0,95.0,8.0,4.0,48.0,54.0,47.0,50.0,,,3.0,,,90.0,109.0,7.0,9.0,0.177294,0,,,,2.0,4.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11369988,home,Royal Antwerp FC,Toby Alderweireld,toby-alderweireld,T. Alderweireld,D,,186,1445,M,44575,EUR,604800000,D,23,23,False,74.0,64.0,16.0,13.0,48.0,51.0,16.0,23.0,6.0,,3.0,,,90.0,85.0,7.5,10.0,0.00975403,2,,,6.0,5.0,7.0,2.0,2.0,1.0,1.0,,0.8491,,,,,1.0,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11369988,home,Royal Antwerp FC,Owen Wijndal,owen-wijndal,O. Wijndal,D,5,174,794,M,836673,EUR,943747200,D,5,5,False,61.0,52.0,8.0,3.0,20.0,22.0,32.0,40.0,4.0,1.0,1.0,,,90.0,80.0,6.9,11.0,0.102564,1,,1.0,2.0,,5.0,1.0,1.0,4.0,3.0,1.0,0.0154,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
11369988,home,Royal Antwerp FC,Jürgen Ekkelenkamp,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1195,M,904887,EUR,954892800,M,24,24,False,42.0,38.0,1.0,1.0,15.0,16.0,23.0,26.0,2.0,,1.0,,,72.0,53.0,7.2,8.0,0.026812,2,,,,1.0,4.0,1.0,1.0,2.0,1.0,1.0,0.3414,,,,,1.0,,,,,,,3.0,1.0,1.0,0.2625,,,,,,,,,,,,,,
11369988,home,Royal Antwerp FC,Mandela Keita,mandela-keita,M. Keita,M,16,180,1237,M,1110136,EUR,1020988800,M,27,27,False,56.0,50.0,4.0,3.0,20.0,22.0,30.0,34.0,3.0,,6.0,,,84.0,74.0,7.4,10.0,0.052847,1,,,1.0,4.0,8.0,1.0,1.0,1.0,,,0.0394,2.0,Mandela Keita,,3.0,2.0,,,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,
11369988,home,Royal Antwerp FC,Jacob Ondrejka,ondrejka-jacob,J. Ondrejka,M,17,180,1006,M,1004790,EUR,1030924800,M,17,17,False,27.0,22.0,2.0,,2.0,2.0,21.0,31.0,11.0,1.0,3.0,,,59.0,43.0,6.7,14.0,0.292446,2,,6.0,4.0,,3.0,,,2.0,1.0,2.0,0.0645,1.0,,,,,,,,,,,,1.0,2.0,0.5229,4.0,1.0,1.0,,,,,,,,,,,
11369988,home,Royal Antwerp FC,Mahamadou Doumbia,mahamadou-doumbia,M. Doumbia,M,17,186,5407,M,1400846,EUR,1084579200,M,84,84,False,28.0,23.0,,,3.0,5.0,20.0,23.0,3.0,,3.0,,,60.0,45.0,7.1,10.0,0.0389394,2,,,,,8.0,1.0,,3.0,1.0,,0.0324,,Mahamadou Doumbia,,1.0,1.0,,,,,,,2.0,2.0,,,5.0,4.0,,1.0,,,,,,,,,,
11369988,home,Royal Antwerp FC,Chidera Ejuke,chidera-ejuke,C. Ejuke,M,21,176,3126,M,875890,EUR,883699200,M,19,19,False,48.0,43.0,1.0,1.0,10.0,10.0,34.0,41.0,9.0,,4.0,,,84.0,66.0,6.7,14.0,0.364046,0,,3.0,3.0,,4.0,,,1.0,,1.0,,2.0,,,,,,,,,,,2.0,2.0,,,6.0,3.0,1.0,,,,,,,,,,,
