match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,player_firstName,player_lastName,player_sofascoreId,stat_dispossessed,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,captain
12625027,home,Al-Ittihad,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192,2722,M,188107,EUR,815097600,G,1,1,False,20.0,17.0,5.0,2.0,0.0,17.0,17.0,3.0,1.0,10.0,3.0,5.0,1.0,1.0,90.0,32.0,7.4,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625027,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173,417,M,894437,EUR,921196800,D,13,13,False,25.0,22.0,,,0.0,8.0,8.0,18.0,,3.0,,,,,45.0,41.0,6.8,7.0,1,14.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12625027,home,Al-Ittihad,Abdulelah Al-Amri,abdulelah-al-amri,A. Al-Amri,D,5,185,1135,M,881831,EUR,853286400,D,4,4,False,69.0,64.0,4.0,2.0,0.0,38.0,38.0,31.0,1.0,8.0,,,,,90.0,79.0,7.4,5.0,1,26.0,,,2.0,6.0,,,,,,6.0,4.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
12625027,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187,9249,M,243585,EUR,751334400,D,8,8,False,77.0,73.0,5.0,3.0,0.0,45.0,45.0,32.0,1.0,6.0,,,,,90.0,83.0,7.1,5.0,0,28.0,,1.0,,3.0,,,,,,2.0,2.0,,,,,,,,1.0,,,Fabinho,,,,,,,
12625027,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179,398,M,847235,EUR,712627200,D,15,15,False,36.0,33.0,1.0,1.0,0.0,10.0,10.0,28.0,,5.0,,,,,45.0,51.0,6.9,5.0,1,23.0,2.0,2.0,2.0,3.0,,,,1.0,3.0,,,,1.0,2.0,,,,,,,,,,,,,,,
12625027,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169,44806,M,234148,EUR,670204800,M,7,7,False,79.0,73.0,3.0,3.0,0.0,24.0,24.0,55.0,,4.0,,,,,84.0,96.0,7.7,10.0,0,49.0,,,5.0,9.0,6.0,4.0,,,1.0,5.0,5.0,1.0,,1.0,1.0,,1.0,,,,,nglkante,1.0,,,,,,
12625027,home,Al-Ittihad,Mario Mitaj,mitaj-mario,M. Mitaj,D,12,180,1741,M,1006089,EUR,1060128000,M,12,12,False,82.0,78.0,2.0,,0.0,25.0,25.0,57.0,,2.0,,,,,90.0,91.0,7.0,6.0,0,53.0,,,2.0,3.0,,,,,2.0,3.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,
12625027,home,Al-Ittihad,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7562,M,855817,EUR,931305600,M,19,19,False,46.0,42.0,,,1.0,10.0,10.0,44.0,,1.0,,,,,90.0,77.0,7.4,22.0,2,33.0,8.0,,7.0,4.0,11.0,4.0,,2.0,,,,2.0,,,3.0,,,,,,,moussadiaby,,1.0,2.0,,,,
12625027,home,Al-Ittihad,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175,14747,M,846081,EUR,899164800,M,10,10,False,61.0,55.0,4.0,3.0,1.0,17.0,18.0,43.0,,10.0,,,,,90.0,71.0,7.9,12.0,1,38.0,,,7.0,1.0,3.0,,,,,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,,houssem_aouar,1.0,,1.0,1.0,1.0,1.0,
12625027,home,Al-Ittihad,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178,5144,M,361798,EUR,876268800,M,34,34,False,26.0,24.0,,,0.0,1.0,1.0,27.0,,1.0,,,,,69.0,43.0,7.7,6.0,1,25.0,2.0,,5.0,7.0,5.0,3.0,,,1.0,3.0,2.0,,1.0,1.0,2.0,,1.0,,,,,StevenBergwijn,1.0,2.0,,1.0,1.0,1.0,
12625027,home,Al-Ittihad,Karim Benzema,karim-benzema,K. Benzema,F,90,184,194410,M,3306,EUR,566870400,F,9,9,False,35.0,26.0,,,1.0,3.0,4.0,33.0,,1.0,,,,,90.0,50.0,8.4,15.0,5,23.0,2.0,1.0,4.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,,,,KBenz9,,,,2.0,1.0,1.0,True
12625027,home,Al-Ittihad,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176,240,M,818572,EUR,830217600,D,27,27,True,8.0,6.0,,,0.0,2.0,2.0,7.0,2.0,,,,,,45.0,20.0,6.7,5.0,1,4.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,
12625027,home,Al-Ittihad,Muath Faqeehi,muath-faqeehi,M. Faqeehi,D,42,188,464,M,1457521,EUR,1022716800,D,42,42,True,20.0,20.0,1.0,1.0,1.0,7.0,7.0,19.0,1.0,2.0,,,,,45.0,33.0,7.7,4.0,0,16.0,6.0,,1.0,1.0,,,,,1.0,1.0,,,,1.0,3.0,,,,,Muath Muath,,,,3.0,2.0,,,,
12625027,home,Al-Ittihad,Saleh Al-Shehri,saleh-al-shehri,S. Al-Shehri,F,11,184,1112,M,818779,EUR,752112000,F,21,21,True,6.0,6.0,,,0.0,3.0,3.0,3.0,,,,,,,21.0,11.0,6.6,1.0,1,3.0,,,2.0,3.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,
12625027,home,Al-Ittihad,Hamed Al-Ghamdi,hamed-al-ghamdi,H. Al-Ghamdi,M,80,162,225,M,985140,EUR,923011200,M,80,80,True,12.0,11.0,2.0,2.0,0.0,4.0,4.0,8.0,,1.0,,,,,13.0,14.0,7.9,1.0,1,7.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,
12625027,home,Al-Ittihad,Mohammed Al-Mahasneh,mohammed-al-mahasneh,M. Al-Mahasneh,G,33,180,55,M,1018709,EUR,862185600,G,33,33,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625027,home,Al-Ittihad,Ahmed Al-Ghamdi,ahmed-al-ghamdi,A. Al-Ghamdi,M,27,178,356,M,984415,EUR,1000944000,F,11,11,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625027,home,Al-Ittihad,Abduleallah Hawsawi,abduleallah-hawsawi,A. Hawsawi,M,77,170,210,M,1533745,EUR,991440000,M,77,77,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Abduleallah Hawsawi,,,,,,,,,
