match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_keyPass,stat_unsuccessfulTouch,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_totalOffside
11396385,home,Darmstadt 98,Marcel Schuhen,marcel-schuhen,M. Schuhen,G,1,188,101,M,132654,EUR,726883200,G,1,1,False,True,72.0,65.0,18.0,11.0,54.0,57.0,11.0,15.0,8.0,1.0,1.0,1.0,90.0,78.0,7.2,7.0,0.0116258,0,0.2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396385,home,Darmstadt 98,Christoph Zimmermann,christoph-zimmermann,C. Zimmermann,D,,194,50,M,142568,EUR,726796800,D,4,4,False,,65.0,57.0,9.0,4.0,48.0,49.0,9.0,16.0,1.0,,,,90.0,81.0,7.7,8.0,0.00491318,0,,1.0,3.0,2.0,6.0,8.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11396385,home,Darmstadt 98,Jannik Müller,jannik-muller,J. Müller,D,24,187,18,M,169249,EUR,758851200,D,20,20,False,,80.0,71.0,12.0,5.0,61.0,63.0,10.0,17.0,5.0,,,,90.0,92.0,7.4,9.0,0.0109298,0,,1.0,3.0,2.0,4.0,7.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
11396385,home,Darmstadt 98,Christoph Klarer,christoph-klarer,C. Klarer,D,4,191,230,M,865554,EUR,960940800,D,14,14,False,,57.0,45.0,9.0,2.0,32.0,36.0,14.0,23.0,4.0,,,,90.0,78.0,7.1,15.0,0.0516378,0,,3.0,4.0,10.0,8.0,7.0,,3.0,2.0,,3.0,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,
11396385,home,Darmstadt 98,Matthias Bader,matthias-bader,M. Bader,M,26,176,59,M,800444,EUR,866505600,M,26,26,False,,31.0,21.0,4.0,1.0,13.0,19.0,9.0,15.0,6.0,,,,90.0,60.0,7.1,16.0,0.0991511,0,,1.0,1.0,2.0,7.0,2.0,,2.0,,4.0,,,,2.0,3.0,1.0,,,1.0,,2.0,2.0,,,,,,,,,
11396385,home,Darmstadt 98,Bartol Franjić,bartol-franjic,B. Franjić,D,4,188,631,M,880742,EUR,947808000,M,28,28,False,,41.0,38.0,2.0,,30.0,31.0,8.0,10.0,6.0,,,,90.0,55.0,6.6,5.0,0.00403022,0,,2.0,1.0,7.0,3.0,4.0,,,,,3.0,,,3.0,,,2.0,1.0,2.0,2.0,,1.0,,,,,,,,,
11396385,home,Darmstadt 98,Tim Skarke,tim-skarke,T. Skarke,M,21,179,194,M,800252,EUR,842054400,M,27,27,False,,19.0,15.0,,,9.0,9.0,6.0,11.0,4.0,,,,83.0,42.0,6.4,12.0,0.00423878,4,,2.0,3.0,9.0,7.0,2.0,,2.0,1.0,1.0,1.0,,,,1.0,,1.0,2.0,5.0,2.0,,2.0,1.0,3.0,0.1546,,,,,,
11396385,home,Darmstadt 98,Marvin Mehlem,marvin-mehlem,M. Mehlem,M,10,174,150,M,797691,EUR,873936000,M,6,6,False,,51.0,39.0,1.0,1.0,18.0,20.0,21.0,31.0,4.0,,,,90.0,74.0,7.8,14.0,0.19226,1,,1.0,1.0,5.0,9.0,2.0,,4.0,3.0,3.0,3.0,,,2.0,,,1.0,,1.0,1.0,3.0,1.0,,,0.0268,1.0,1.0,0.0399,,,
11396385,home,Darmstadt 98,Fabian Nürnberger,fabian-nurnberger,F. Nürnberger,D,15,180,308,M,940886,EUR,933120000,M,15,15,False,,47.0,39.0,5.0,4.0,26.0,28.0,13.0,21.0,8.0,,,,90.0,81.0,7.3,14.0,0.0437566,1,,1.0,1.0,7.0,6.0,3.0,,3.0,2.0,1.0,,,,3.0,2.0,,2.0,3.0,2.0,1.0,1.0,,,1.0,0.0244,,,,,,
11396385,home,Darmstadt 98,Luca Pfeiffer,luca-pfeiffer,L. Pfeiffer,F,16,196,147,M,842212,EUR,840499200,F,24,24,False,,21.0,13.0,,,9.0,11.0,4.0,11.0,4.0,,,,61.0,28.0,6.6,10.0,0.00286386,1,,2.0,4.0,4.0,5.0,1.0,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,1.0,0.0327,,,,,,
