match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_dispossessed,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_wonTackle,stat_totalOffside,stat_blockedScoringAttempt,stat_wasFouled,player_sofascoreId,captain,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_errorLeadToAGoal,stat_goalAssist
10389737,home,Angers,Paul Bernardoni,,,paul-bernardoni,P. Bernardoni,G,40,190,166,M,361314,EUR,861321600,G,1,1,False,19.0,16.0,3.0,16.0,17.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,90.0,26.0,6.0,4.0,0.0,0.0,4.611e-05,0,-0.8986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389737,home,Angers,Yan Valery,,,yan-valery,Y. Valery,D,22,186,2305,M,826202,EUR,919641600,D,94,94,False,39.0,30.0,5.0,10.0,13.0,33.0,8.0,1.0,7.0,,,,90.0,64.0,6.5,18.0,0.0,0.0,0.201829,0,,3.0,22.0,7.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,
10389737,home,Angers,Cédric Hountondji,,,cedric-hountondji,C. Hountondji,D,4,195,551,M,342911,EUR,758937600,D,22,22,False,56.0,47.0,7.0,31.0,35.0,21.0,2.0,,5.0,,,,90.0,72.0,7.1,9.0,0.0,0.0,0.00732813,0,,3.0,16.0,,,1.0,9.0,,,,,5.0,4.0,5.0,,1.0,,4.0,4.0,,,,,,,,,,,,
10389737,home,Angers,Ousmane Camara,Ousmane Camara,,ousmane-camara,O. Camara,D,4,197,1730,M,1049538,EUR,1046908800,D,29,29,False,61.0,53.0,6.0,36.0,40.0,21.0,3.0,1.0,6.0,,,,90.0,72.0,6.5,10.0,0.0,0.0,0.00470528,0,,4.0,17.0,,,1.0,4.0,,,,,2.0,3.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,
10389737,home,Angers,Faouzi Ghoulam,Faouzi,Ghoulam,faouzi-ghoulam,F. Ghoulam,D,,188,1998,M,133236,EUR,665366400,D,8,8,False,25.0,21.0,2.0,13.0,15.0,13.0,,,1.0,,,,70.0,34.0,6.8,8.0,0.0,0.0,0.0357613,0,,1.0,9.0,3.0,1.0,,2.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,
10389737,home,Angers,Batista Mendy,,,batista-mendy,B. Mendy,M,19,191,1300,M,859021,EUR,947635200,M,2,2,False,42.0,39.0,3.0,16.0,16.0,26.0,4.0,,9.0,,,,90.0,57.0,7.2,7.0,0.0384,0.0,0.160155,1,,2.0,23.0,,,,8.0,1.0,5.0,4.0,,,,3.0,1.0,2.0,3.0,,2.0,,1.0,1.0,,,,,,,,,
10389737,home,Angers,Nabil Bentaleb,,,nabil-bentaleb,N. Bentaleb,M,6,187,8306,M,368120,EUR,785635200,M,6,6,False,68.0,59.0,7.0,47.0,51.0,17.0,5.0,3.0,17.0,,,,84.0,84.0,7.1,13.0,0.0208,0.0,0.0205877,1,,5.0,12.0,,,,7.0,,3.0,3.0,,1.0,3.0,2.0,1.0,2.0,,1.0,2.0,,,1.0,nabilbentaleb,True,1.0,,,,,,
10389737,home,Angers,Himad Abdelli,,,himad-abdelli,H. Abdelli,M,8,185,7344,M,945830,EUR,942796800,M,10,10,False,51.0,42.0,7.0,22.0,24.0,27.0,7.0,1.0,6.0,,,,90.0,67.0,7.1,11.0,0.0589,0.0,0.0288381,1,,4.0,20.0,,,1.0,6.0,1.0,2.0,2.0,,,4.0,4.0,,4.0,2.0,,2.0,,,,,,1.0,,,,,,
10389737,home,Angers,Abdallah Sima,,,abdallah-sima,A.Sima,F,19,188,2455,M,1029018,EUR,992736000,F,19,19,False,17.0,16.0,1.0,7.0,8.0,10.0,10.0,3.0,10.0,,,,90.0,37.0,6.9,10.0,0.8924,0.6405,0.00522582,3,,,9.0,1.0,,2.0,5.0,1.0,4.0,2.0,,,,1.0,1.0,2.0,1.0,,1.0,1.0,,2.0,,,2.0,1.0,1.0,1.0,,,
10389737,home,Angers,Ibrahima Niane,,,ibrahima-niane,I. Niane,F,,187,431,M,880775,EUR,921110400,F,7,7,False,9.0,4.0,,1.0,2.0,8.0,2.0,1.0,,,,,66.0,21.0,6.5,12.0,0.2381,0.0,0.00535438,2,,,3.0,1.0,,,2.0,,1.0,,,,,1.0,4.0,,,,,,,1.0,,,2.0,,,,,,
