match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,confirmed,player_id,player_name,length
10389737,FT,1.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,
10389737,,,,,90,2.0,,1,,,substitution,121586448.0,False,False,regular,,,,
10389737,,,,,90,2.0,,1,,,varDecision,15605.0,,False,goalNotAwarded,False,1022204.0,Amin Sarr,
10389737,,1.0,3.0,,90,,,1,,,goal,168163225.0,,False,regular,,996952.0,Bradley Barcola,
10389737,,,,,90,0.0,,1,,,injuryTime,,,,,,,,3.0
10389737,,,,,89,,,2,,,substitution,121586423.0,True,False,injury,,,,
10389737,,1.0,2.0,,87,,,4,,,goal,168163137.0,,True,regular,,1029018.0,Abdallah Sima,
10389737,,,,,85,,,6,,,substitution,121586405.0,False,True,regular,,,,
10389737,,,,,84,,,7,,,substitution,121586404.0,False,True,regular,,,,
10389737,,0.0,2.0,,80,,,11,,,goal,168163029.0,,False,regular,,1022204.0,Amin Sarr,
10389737,,,,,70,,,21,,,substitution,121586340.0,True,True,injury,,,,
10389737,,,,,67,,,24,,,substitution,121586316.0,False,False,regular,,,,
10389737,,,,,67,,,24,,,substitution,121586315.0,False,False,regular,,,,
10389737,,,,,66,,,25,,,substitution,121586291.0,False,True,regular,,,,
10389737,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,
10389737,,0.0,1.0,,38,,,8,,,goal,168161686.0,,False,regular,,329303.0,Thiago Mendes,
