match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_aerialLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_shotValueNormalized,stat_interceptionWon,stat_totalOffside,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,captain,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt
15197262,home,Doncaster Rovers,Thimothee Lo-Tutala,,,lo-tutala-thimothee,T. Lo-Tutala,G,29,185.0,93,M,1008256,EUR,1045094400.0,G,29,29,False,36.0,17.0,23.0,4.0,0.0,14.0,15.0,3.0,21.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,90.0,43.0,5.7,20.0,50.099328007269,9.0,28.98,8.19,0.3562,0,-0.09,0.0,-0.38,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15197262,home,Doncaster Rovers,Jamie Sterry,,,sterry-jamie,J. Sterry,D,2,180.0,30,M,794106,EUR,816912000.0,D,2,2,False,30.0,25.0,2.0,,0.0,8.0,9.0,17.0,21.0,1.0,3.0,1.0,5.0,,,,,90.0,51.0,6.3,9.0,117.63361358219,13.0,61.845,18.795,,0,0.18,0.14,-0.43,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,35.815414162257,2.0,,,,,,,,,,,,,,,,,,,,
15197262,home,Doncaster Rovers,Matthew Pearson,,,matthew-pearson,M. Pearson,D,5,190.0,29,M,216584,EUR,744336000.0,D,5,5,False,42.0,38.0,6.0,4.0,0.0,27.0,28.0,11.0,14.0,2.0,2.0,8.0,3.0,,,,,90.0,56.0,7.1,5.0,102.20336394479,16.0,13.965,8.295,,2,0.11,0.05,-0.27,,,,5.0,,,,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,0.41,,,,,,,,,,,,,
15197262,home,Doncaster Rovers,Jay McGrath,,,mcgrath-jay,J. McGrath,D,6,190.0,38,M,1491126,EUR,1050364800.0,D,6,6,False,29.0,23.0,4.0,2.0,0.0,15.0,16.0,8.0,13.0,3.0,3.0,3.0,3.0,,,,,54.0,36.0,5.8,8.0,49.751595053186,8.0,20.055,10.5,,0,0.0,0.01,-0.52,,,,3.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
15197262,home,Doncaster Rovers,Jack Senior,,,jack-senior,J. Senior,D,23,173.0,21,M,849743,EUR,853113600.0,D,23,23,False,34.0,28.0,1.0,,0.0,15.0,16.0,13.0,18.0,3.0,5.0,1.0,9.0,,,,,84.0,47.0,6.2,11.0,78.900972603188,8.0,48.51,24.255,,0,0.02,0.14,-0.51,,4.0,,1.0,2.0,2.0,1.0,,45.200074319779,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
15197262,home,Doncaster Rovers,Robbie Gotts,,,robbie-gotts,R. Gotts,M,22,177.0,43,M,967501,EUR,942105600.0,M,22,22,False,43.0,37.0,6.0,1.0,1.0,17.0,20.0,20.0,23.0,,12.0,,6.0,,,,,84.0,69.0,7.7,13.0,55.369434571358,9.0,9.555,4.41,,0,0.66,0.13,-0.16,,7.0,1.0,5.0,7.0,3.0,,2.0,,,1.0,,,,,,,1.0,,2.0,2.0,2.0,1.0,3.0,1.0,,,,,
15197262,home,Doncaster Rovers,Luke Molyneux,,,molyneux-luke,L. Molyneux,M,7,180.0,130,M,920577,EUR,891129600.0,M,7,7,False,27.0,21.0,2.0,,0.0,11.0,11.0,10.0,16.0,1.0,5.0,,3.0,,,,,90.0,52.0,6.4,17.0,210.54712185079,23.0,61.32,26.985,,1,0.26,0.22,-0.22,,9.0,5.0,8.0,1.0,1.0,1.0,1.0,87.805092204844,5.0,,1.0,1.0,,,,-0.1,,,1.0,5.0,,1.0,3.0,1.0,,,,,
15197262,home,Doncaster Rovers,Owen Bailey,,,bailey-owen,O. Bailey,M,4,180.0,97,M,920604,EUR,916963200.0,M,4,4,False,27.0,24.0,2.0,1.0,1.0,12.0,14.0,12.0,13.0,1.0,3.0,,2.0,,,,,90.0,44.0,6.3,11.0,61.836554835351,8.0,37.905,13.65,,1,0.28,0.08,-0.22,,2.0,,8.0,1.0,,3.0,1.0,,,2.0,2.0,,1.0,,,-0.21,1.0,,2.0,1.0,,2.0,1.0,3.0,True,1.0,,,
15197262,home,Doncaster Rovers,Jordan Gibson,,,jordan-gibson,J. Gibson,M,11,178.0,42,M,895179,EUR,888624000.0,M,11,11,False,23.0,19.0,2.0,1.0,0.0,3.0,4.0,16.0,19.0,1.0,4.0,,4.0,,,,,76.0,42.0,7.8,11.0,95.237048987832,11.0,56.595,26.565,,4,0.34,0.23,-0.27,,3.0,,6.0,1.0,,1.0,1.0,27.037386134758,1.0,1.0,1.0,1.0,3.0,1.0,,0.7,,,2.0,4.0,2.0,,,,,,,,
15197262,home,Doncaster Rovers,Hakeeb Adelakun,,,hakeeb-adelakun,H. Adelakun,F,47,190.0,59,M,303450,EUR,834451200.0,M,47,47,False,29.0,20.0,5.0,2.0,0.0,3.0,4.0,17.0,25.0,1.0,1.0,1.0,1.0,,,,,76.0,43.0,6.3,17.0,91.240090765619,10.0,44.52,14.385,,1,-0.18,0.14,-0.19,,4.0,,4.0,,,,,35.482321768515,2.0,1.0,1.0,1.0,,,,0.01,1.0,,1.0,1.0,,,,,,,,,
