match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_errorLeadToAShot,stat_wasFouled,stat_fouls,stat_dispossessed,stat_shotOffTarget,stat_wonTackle,stat_expectedGoals,stat_totalCross,stat_unsuccessfulTouch,stat_errorLeadToAGoal,captain,stat_wonContest,stat_keyPass,stat_totalOffside,stat_accurateCross,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_punches,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals
12499410,home,FC St. Pauli,Nikola Vasilj,,,nikola-vasilj,N. Vasilj,G,22,194,1626,M,325061,EUR,817862400,G,22,22,False,35.0,30.0,16.0,11.0,0.0,24.0,24.0,6.0,11.0,3.0,4.0,1.0,1.0,1.0,90.0,46.0,6.8,7.0,0.00543554,0,-0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499410,home,FC St. Pauli,David Nemeth,,,david-nemeth,D. Nemeth,D,4,191,155,M,966889,EUR,984873600,D,4,4,False,46.0,38.0,4.0,2.0,0.0,25.0,27.0,13.0,19.0,1.0,6.0,,,,90.0,53.0,6.2,9.0,0.00569599,0,,2.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12499410,home,FC St. Pauli,Hauke Wahl,,,hauke-wahl,H. Wahl,D,5,189,150,M,253469,EUR,766368000,D,5,5,False,55.0,52.0,6.0,6.0,0.0,33.0,33.0,19.0,22.0,2.0,5.0,,,,90.0,64.0,6.8,4.0,0.0162645,1,,3.0,1.0,7.0,2.0,,,2.0,,1.0,,,3.0,1.0,1.0,1.0,0.0636,,,,,,,,,,,,,,,,
12499410,home,FC St. Pauli,Siebe Van Der Heyden,,,siebe-van-der-heyden,S. V. D. Heyden,D,44,185,270,M,842164,EUR,896486400,D,44,44,False,50.0,38.0,4.0,2.0,0.0,30.0,30.0,8.0,21.0,8.0,6.0,,,,90.0,71.0,6.9,15.0,0.00696371,0,,4.0,5.0,6.0,8.0,1.0,1.0,1.0,4.0,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
12499410,home,FC St. Pauli,Philipp Treu,,,treu-philipp,P. Treu,M,29,172,176,M,979820,EUR,975801600,M,23,23,False,35.0,30.0,2.0,1.0,0.0,18.0,18.0,12.0,17.0,3.0,4.0,,,,90.0,61.0,6.2,13.0,0.0467992,0,,2.0,,6.0,4.0,1.0,1.0,1.0,,3.0,,1.0,2.0,,,2.0,,,3.0,1.0,,,,,,,,,,,,,
12499410,home,FC St. Pauli,Jackson Irvine,,,jackson-irvine,J. Irvine,M,7,190,924,M,181581,EUR,731462400,M,7,7,False,34.0,25.0,3.0,1.0,0.0,7.0,10.0,18.0,25.0,1.0,1.0,,,,90.0,47.0,6.2,15.0,0.0201907,1,,1.0,2.0,5.0,3.0,1.0,2.0,,,,1.0,,2.0,1.0,1.0,,0.0529,1.0,2.0,,True,1.0,1.0,,,,,,,,,,
12499410,home,FC St. Pauli,Eric Smith,,,eric-smith,E. Smith,D,8,191,412,M,542038,EUR,852681600,M,8,8,False,55.0,39.0,7.0,2.0,0.0,16.0,19.0,23.0,41.0,,7.0,,,,90.0,64.0,6.5,23.0,0.0545366,0,,,1.0,3.0,2.0,1.0,1.0,,,,,1.0,,1.0,,,,5.0,,,,,,,,,,,,,,,
12499410,home,FC St. Pauli,Lars Ritzka,,,lars-ritzka,L. Ritzka,D,21,185,86,M,873347,EUR,894499200,M,21,21,False,23.0,14.0,3.0,,0.0,7.0,7.0,7.0,18.0,1.0,3.0,,,,83.0,40.0,6.5,13.0,0.00754747,0,,,1.0,3.0,4.0,1.0,,,,3.0,,,2.0,,,2.0,,2.0,1.0,,,,,1.0,,,,,,,,,
12499410,home,FC St. Pauli,Noah Weißhaupt,,,noah-weisshaupt,N. Weißhaupt,F,10,181,339,M,1048820,EUR,1000944000,F,13,13,False,15.0,11.0,2.0,1.0,0.0,3.0,4.0,10.0,17.0,1.0,1.0,,,,83.0,31.0,7.0,10.0,0.443657,0,,2.0,,5.0,6.0,2.0,3.0,,,,,4.0,,,,,,6.0,1.0,,,2.0,2.0,1.0,2.0,,,,,,,,
12499410,home,FC St. Pauli,Johannes Eggestein,,,johannes-eggestein,J. Eggestein,F,19,183,466,M,591588,EUR,894585600,F,11,11,False,22.0,18.0,,,0.0,12.0,12.0,6.0,11.0,,1.0,,,,73.0,32.0,6.7,7.0,0.00597615,0,,2.0,3.0,3.0,5.0,,1.0,,,,,2.0,,1.0,,,,1.0,1.0,,,1.0,,2.0,,,,,,,,,
12499410,home,FC St. Pauli,Elias Saad,Elias Saad,,elias-saad,E. Saad,F,24,185,4301,M,1130946,EUR,946252800,F,26,26,False,9.0,5.0,2.0,1.0,0.0,2.0,3.0,3.0,7.0,,2.0,,,,57.0,33.0,6.9,13.0,0.00378744,1,,,2.0,6.0,9.0,,3.0,,,3.0,,2.0,,5.0,1.0,2.0,0.1111,1.0,2.0,,,2.0,,1.0,,,,,,,,,
12499410,home,FC St. Pauli,Oladapo Afolayan,,,oladapo-afolayan,O. Afolayan,F,21,180,303,M,871621,EUR,873936000,F,17,17,True,16.0,14.0,1.0,,0.0,2.0,2.0,12.0,16.0,,3.0,,,,33.0,31.0,6.5,10.0,0.0226141,1,,1.0,1.0,4.0,3.0,,3.0,,,1.0,,,,1.0,,,0.0378,2.0,3.0,,,1.0,,,,1.0,,,,,,,
12499410,home,FC St. Pauli,Abdoulie Ceesay,Abdoulie Ceesay,,abdoulie-ceesay,A. Ceesay,F,9,185,615,M,1888501,EUR,1073260800,F,9,9,True,5.0,3.0,,,0.0,,,3.0,5.0,,2.0,,,,17.0,10.0,6.6,4.0,0.00311132,0,,1.0,,5.0,2.0,1.0,,,,2.0,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,
12499410,home,FC St. Pauli,Manolis Saliakas,,,manolis-saliakas,M. Saliakas,M,2,175,358,M,280551,EUR,842486400,D,2,2,True,5.0,4.0,,,0.0,2.0,2.0,2.0,3.0,,,,,,12.0,8.0,6.7,1.0,0.00752863,2,,,,,,,,,,,,,,,,,0.0956,,,,,,1.0,,,2.0,,,,,,,
12499410,home,FC St. Pauli,Danel Sinani,,,danel-sinani,D. Sinani,F,10,185,628,M,887500,EUR,860198400,F,10,10,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,12.0,6.0,6.7,1.0,0.0107505,1,,1.0,,1.0,,,,,,,,,,,,,0.0458,,1.0,,,,,,,,1.0,0.4559,,,,,
