match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_accurateLongBalls,stat_outfielderBlock,stat_errorLeadToAGoal,stat_penaltyConceded,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyWon,stat_errorLeadToAShot,stat_goodHighClaim,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId
10406693,home,Oud-Heverlee Leuven,Valentin Cojocaru,valentin-cojocaru,V. Cojocaru,G,77,195,225,M,182363,EUR,812505600,G,12,12,False,21.0,7.0,14.0,7.0,10.0,11.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,90.0,28.0,6.4,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406693,home,Oud-Heverlee Leuven,Louis Patris,louis-patris,L. Patris,M,27,187,275,M,923972,EUR,991872000,D,25,25,False,34.0,26.0,3.0,12.0,15.0,21.0,1.0,11.0,5.0,6.0,,,,,90.0,68.0,6.8,15.0,0,,,14.0,2.0,2.0,9.0,2.0,1.0,4.0,3.0,3.0,7.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
10406693,home,Oud-Heverlee Leuven,Ewoud Pletinckx,ewoud-pletinckx,E. Pletinckx,D,28,190,193,M,949101,EUR,971136000,D,28,28,False,22.0,17.0,6.0,13.0,15.0,7.0,1.0,2.0,1.0,3.0,,,,,90.0,27.0,6.3,5.0,0,,,4.0,,2.0,3.0,,,,,1.0,1.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,
10406693,home,Oud-Heverlee Leuven,Federico Ricca,federico-ricca,F. Ricca,D,16,175,168,M,590036,EUR,786240000,D,14,14,False,27.0,18.0,8.0,14.0,20.0,7.0,2.0,2.0,8.0,8.0,,,,,90.0,40.0,6.3,9.0,0,Federico,Ricca,4.0,,2.0,5.0,1.0,,,,2.0,,,3.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10406693,home,Oud-Heverlee Leuven,Hamza Mendyl,hamza-mendyl,H. Mendyl,D,37,179,703,M,846447,EUR,877392000,D,20,20,False,32.0,22.0,6.0,12.0,15.0,18.0,3.0,3.0,1.0,10.0,,,,,90.0,52.0,5.9,18.0,0,,,10.0,1.0,,6.0,,1.0,5.0,,1.0,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,
10406693,home,Oud-Heverlee Leuven,Joren Dom,joren-dom,J. Dom,D,,177,26,M,804233,EUR,628300800,M,6,6,False,19.0,12.0,2.0,6.0,8.0,12.0,2.0,7.0,2.0,4.0,,,,,90.0,31.0,6.7,9.0,0,,,6.0,1.0,3.0,5.0,,1.0,1.0,1.0,3.0,1.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,
10406693,home,Oud-Heverlee Leuven,Casper De Norre,casper-de-norre,C. D. Norre,M,24,175,155,M,823654,EUR,855273600,M,24,24,False,54.0,45.0,7.0,20.0,22.0,34.0,,4.0,1.0,12.0,,,,,90.0,78.0,7.7,16.0,1,,,26.0,2.0,1.0,6.0,,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,,,,2.0,1.0,True,1.0,1.0,1.0,1.0,,,,,,,,,
10406693,home,Oud-Heverlee Leuven,Jón Dagur Þórsteinsson,jon-dagur-thorsteinsson,J. D. Þórsteinsson,F,16,177,285,M,862449,EUR,912038400,M,7,7,False,19.0,11.0,4.0,3.0,4.0,17.0,,7.0,,6.0,,,,,80.0,41.0,8.5,14.0,5,,,8.0,2.0,,3.0,,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,1.0,3.0,2.0,1.0,2.0,2.0,,,,,,
10406693,home,Oud-Heverlee Leuven,Siebe Schrijvers,siebe-schrijvers,S. Schrijvers,M,8,178,212,M,190413,EUR,837648000,M,8,8,False,18.0,11.0,3.0,3.0,4.0,15.0,,6.0,,4.0,,,,,53.0,30.0,7.7,10.0,1,,,9.0,1.0,3.0,4.0,,1.0,1.0,1.0,,5.0,4.0,,,1.0,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,
10406693,home,Oud-Heverlee Leuven,Mousa Tamari,mousa-al-taamari,M. Tamari,F,11,175,5676,M,876600,EUR,865900800,M,11,11,False,13.0,11.0,1.0,4.0,5.0,8.0,,9.0,,7.0,,,,,81.0,34.0,7.4,9.0,1,,,7.0,,1.0,4.0,,2.0,8.0,7.0,1.0,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,,,,1.0,,,,,,
