match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_interceptionWon,stat_wasFouled,stat_totalCross,stat_keyPass,stat_accurateCross,captain,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,player_firstName,player_lastName,stat_totalContest,stat_clearanceOffLine,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
11396427,home,VfL Bochum 1848,Manuel Riemann,manuel-riemann,M. Riemann,G,1,186,218,M,24937,EUR,589766400,G,1,1,False,56.0,32.0,45.0,22.0,10.0,12.0,22.0,44.0,13.0,5.0,5.0,90.0,64.0,7.2,24.0,0.0,0.0,0.0280494,0,-0.1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396427,home,VfL Bochum 1848,Erhan Mašović,erhan-masovic,E. Mašović,D,4,189,232,M,833213,EUR,911692800,D,4,4,False,37.0,29.0,6.0,4.0,14.0,20.0,15.0,17.0,7.0,,,90.0,53.0,6.6,10.0,0.16,0.0,0.00901834,2,,3.0,2.0,7.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11396427,home,VfL Bochum 1848,Ivan Ordets,ivan-ordets,I. Ordets,D,,194,123,M,137673,EUR,710553600,D,20,20,False,36.0,28.0,2.0,,20.0,23.0,8.0,13.0,5.0,,,90.0,48.0,7.0,8.0,0.0772,0.0,0.0065044,2,,3.0,5.0,3.0,6.0,,,2.0,,,2.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,
11396427,home,VfL Bochum 1848,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,5,5,False,52.0,36.0,10.0,6.0,16.0,18.0,20.0,35.0,10.0,,,90.0,73.0,7.0,18.0,0.013,0.0,0.0347144,1,,2.0,7.0,6.0,11.0,1.0,,,1.0,3.0,2.0,3.0,2.0,1.0,3.0,,1.0,1.0,2.0,,,,,,,,,,,,,,
11396427,home,VfL Bochum 1848,Felix Passlack,passlack-felix,F. Passlack,M,25,170,280,M,795000,EUR,896400000,M,15,15,False,10.0,5.0,3.0,,3.0,4.0,3.0,8.0,4.0,,,45.0,26.0,6.3,8.0,0.0,0.0,0.00365908,0,,,1.0,2.0,2.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,
11396427,home,VfL Bochum 1848,Matúš Bero,matus-bero,M. Bero,M,19,181,413,M,187207,EUR,810345600,M,19,19,False,,,,,,,,,,,,6.0,,,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396427,home,VfL Bochum 1848,Anthony Losilla,anthony-losilla,A. Losilla,M,,185,68,M,119179,EUR,510796800,M,8,8,False,35.0,30.0,,,12.0,12.0,18.0,23.0,2.0,,,90.0,46.0,7.3,7.0,0.6593,0.8814,0.0696475,2,,1.0,3.0,5.0,5.0,1.0,,1.0,,1.0,,2.0,,2.0,3.0,1.0,,,1.0,,True,1.0,1.0,1.0,,,,,,,,,
11396427,home,VfL Bochum 1848,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,29.0,19.0,,,5.0,6.0,14.0,29.0,3.0,,,45.0,39.0,6.6,16.0,0.0359,0.0,0.0711794,1,,,,2.0,1.0,,,,1.0,1.0,,,,,2.0,,1.0,6.0,2.0,,,,,,,,,,,,,,
11396427,home,VfL Bochum 1848,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,M,32,32,False,16.0,10.0,4.0,,2.0,4.0,9.0,15.0,5.0,,,45.0,30.0,6.7,10.0,0.0695,0.0,0.0375993,3,,1.0,1.0,1.0,2.0,,,3.0,,1.0,,,,,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,
11396427,home,VfL Bochum 1848,Takuma Asano,takuma-asano,T. Asano,M,11,173,2035,M,309546,EUR,784425600,F,11,11,False,14.0,11.0,,,1.0,3.0,10.0,14.0,,,,68.0,22.0,6.6,10.0,0.0,0.0,0.0299892,0,,1.0,,2.0,,,,,,1.0,,,,3.0,,,,3.0,2.0,,,,,,,,1.0,,,,,,
11396427,home,VfL Bochum 1848,Philipp Hofmann,philipp-hofmann,P. Hofmann,F,33,195,413,M,340719,EUR,733449600,F,33,33,False,33.0,18.0,1.0,1.0,2.0,4.0,16.0,30.0,4.0,,,90.0,44.0,7.2,19.0,0.0728,0.0,0.0470247,2,,15.0,12.0,16.0,15.0,,1.0,1.0,1.0,,,,,2.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,
11396427,home,VfL Bochum 1848,Christopher Antwi-Adjei,christopher-antwi-adjei,C. Antwi-Adjei,M,18,171,469,M,844203,EUR,760579200,F,22,22,True,30.0,26.0,2.0,2.0,4.0,4.0,23.0,31.0,3.0,,,84.0,57.0,7.5,15.0,0.2531,0.0963,0.47656,6,,1.0,,5.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,,1.0,,,,5.0,3.0,1.0,,3.0,,1.0,,,1.0,,,,,,
