match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_totalCross,stat_challengeLost,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_ownGoals
12421088,home,KV Mechelen,Ortwin De Wolf,,,de-wolf-ortwin,O. D. Wolf,G,1,190,160,M,877292,EUR,830217600,G,1,1,False,38.0,33.0,10.0,6.0,0.0,30.0,31.0,3.0,7.0,10.0,2.0,3.0,90.0,46.0,7.4,5.0,0.00365342,0,0.8394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421088,home,KV Mechelen,Toon Raemaekers,,,toon-raemaekers,T. Raemaekers,D,28,195,180,M,1006483,EUR,968457600,D,4,4,False,98.0,87.0,13.0,7.0,0.0,63.0,69.0,24.0,29.0,4.0,,,90.0,105.0,7.2,11.0,0.0189348,0,,2.0,1.0,3.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421088,home,KV Mechelen,Ahmed Touba,,,ahmed-touba,A. Touba,D,5,190,4979,M,856216,EUR,889747200,D,6,6,False,75.0,70.0,4.0,4.0,0.0,50.0,55.0,20.0,20.0,6.0,,,90.0,90.0,7.1,7.0,0.0263051,1,,3.0,6.0,8.0,2.0,1.0,1.0,1.0,Toubaahmed59,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0804,1.0,,,,,,,,,,,,,,,
12421088,home,KV Mechelen,José Marsà,,,jose-marsa,J. Martinez,D,3,181,217,M,962625,EUR,1015200000,D,3,3,False,31.0,29.0,4.0,2.0,0.0,19.0,19.0,10.0,12.0,1.0,,,45.0,36.0,6.5,3.0,0.00681374,0,,,2.0,,2.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
12421088,home,KV Mechelen,Rafik Belghali,,,belghali-rafik,R. Belghali,M,7,177,6622,M,1103488,EUR,1023408000,M,17,17,False,28.0,23.0,3.0,2.0,0.0,11.0,13.0,12.0,17.0,4.0,,,65.0,43.0,6.8,12.0,0.0139854,0,,,5.0,4.0,,1.0,,2.0,,1.0,2.0,2.0,1.0,,,3.0,3.0,,,,,2.0,,,,,,,,,,,,,
12421088,home,KV Mechelen,Kerim Mrabti,,,kerim-mrabti,K. Mrabti,F,19,175,187,M,338869,EUR,769392000,M,19,19,False,65.0,63.0,5.0,5.0,0.0,28.0,29.0,35.0,36.0,7.0,,,90.0,76.0,7.1,2.0,0.0358407,1,,1.0,3.0,1.0,5.0,2.0,,1.0,,1.0,,,,,,,,,0.0155,,,,1.0,1.0,,,,,,,,,,,
12421088,home,KV Mechelen,Rob Schoofs,,,rob-schoofs,R. Schoofs,M,17,179,194,M,133164,EUR,764380800,M,16,16,False,56.0,51.0,6.0,5.0,0.0,21.0,22.0,30.0,34.0,5.0,,,90.0,71.0,7.9,7.0,0.0400496,1,,1.0,2.0,6.0,3.0,3.0,2.0,,,,1.0,,,,,3.0,,,0.6181,,,,1.0,,True,1.0,1.0,0.59,,,,,,,
12421088,home,KV Mechelen,Daam Foulon,,,daam-foulon,D. Foulon,M,5,180,205,M,826170,EUR,922147200,M,23,23,False,52.0,45.0,4.0,3.0,1.0,15.0,16.0,30.0,36.0,2.0,,,90.0,64.0,7.3,9.0,0.0622358,1,,1.0,3.0,5.0,1.0,,3.0,1.0,,,1.0,,,,1.0,1.0,,,0.0225,1.0,1.0,,1.0,,,,,,,,,,,,
12421088,home,KV Mechelen,Geoffry Hairemans,,,geoffry-hairemans,G. Hairemans,F,11,184,140,M,58917,EUR,688003200,F,7,7,False,46.0,40.0,5.0,3.0,0.0,11.0,11.0,30.0,39.0,2.0,,,78.0,60.0,7.6,11.0,0.304188,0,,,4.0,3.0,2.0,,3.0,,,1.0,1.0,1.0,,,,,,,,3.0,,4.0,1.0,,,,,,1.0,1.0,,,,,
12421088,home,KV Mechelen,Nikola Storm,,,nikola-storm,N. Storm,F,26,178,277,M,149796,EUR,780883200,F,11,11,False,25.0,22.0,1.0,1.0,2.0,5.0,6.0,19.0,22.0,,,,72.0,37.0,8.6,9.0,0.416526,2,,,3.0,2.0,,,1.0,,,,2.0,2.0,1.0,,1.0,,,,0.0595,3.0,,3.0,,,,1.0,,0.0597,2.0,3.0,1.0,,,,
12421088,home,KV Mechelen,Lion Lauberbach,,,lion-lauberbach,L. Lauberbach,F,29,197,268,M,886171,EUR,887500800,F,20,20,False,7.0,7.0,,,0.0,2.0,2.0,5.0,5.0,,,,78.0,20.0,6.2,5.0,0.00675226,4,,1.0,4.0,1.0,1.0,,,1.0,,,1.0,1.0,,3.0,1.0,,,,1.0977,,,,1.0,1.0,,2.0,1.0,0.6221,,,3.0,1.0,1.0,,
12421088,home,KV Mechelen,Bilal Bafdili,,,bafdili-bilal,B. Bafdili,M,11,180,191,M,1445119,EUR,1091491200,M,35,35,True,20.0,16.0,2.0,1.0,0.0,10.0,11.0,6.0,9.0,2.0,,,45.0,25.0,7.3,5.0,0.0715932,2,,,4.0,1.0,,,1.0,,,2.0,1.0,,,,1.0,,,,0.2481,2.0,,,1.0,,,1.0,1.0,0.7784,,,,,,,
