match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,confirmed,isHome,id,incidentClass,player_id,player_name,length,injury,playerName,reason,rescinded,from
12448281,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12448281,,,,,90,2.0,,1,,,varDecision,False,False,30267.0,goalAwarded,1509752.0,Nick Fichtinger,,,,,,
12448281,,,,,90,0.0,,1,,,injuryTime,,,,,,,6.0,,,,,
12448281,,,,,89,,,2,,,substitution,,False,123408123.0,regular,,,,False,,,,
12448281,,,,,86,,,5,,,substitution,,True,123408111.0,regular,,,,False,,,,
12448281,,,,,85,,,6,,,card,,True,121800138.0,yellow,896215.0,Kevin Felida,,,Kevin Felida,Foul,False,
12448281,,,,,84,,,7,,,card,,True,121800129.0,yellow,1010846.0,Yassin Oukili,,,Yassin Oukili,Foul,False,
12448281,,,,,83,,,8,,,substitution,,False,123408098.0,regular,,,,False,,,,
12448281,,,,,83,,,8,,,substitution,,False,123408097.0,regular,,,,False,,,,
12448281,,,,,75,,,16,,,substitution,,True,123408063.0,regular,,,,False,,,,
12448281,,,,,75,,,16,,,substitution,,True,123408062.0,regular,,,,False,,,,
12448281,,,,,54,,,37,,,substitution,,True,123407998.0,regular,,,,False,,,,
12448281,,,,,54,,,37,,,substitution,,True,123407997.0,regular,,,,False,,,,
12448281,,,,,53,,,38,,,card,,False,121800051.0,yellow,1509752.0,Nick Fichtinger,,,Nick Fichtinger,Foul,False,
12448281,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12448281,,,,,45,0.0,,1,,,injuryTime,,,,,,,3.0,,,,,
12448281,,1.0,1.0,,41,,,5,,,goal,,False,192879448.0,penalty,825843.0,Dylan Vente,,,,,,penalty
12448281,,,,,32,,,14,,,substitution,,False,123407901.0,injury,,,,True,,,,
12448281,,1.0,0.0,,10,,,36,,,goal,,True,192877222.0,regular,318745.0,Oskar Zawada,,,,,,
